Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,31-291,MIL,@,PHI,W (+15),0,20:54,.500,.500,5.7,12.5,9.7,6.8,0.0,3.4,0.0,19.2,111,112,6.9,-3.6
2,2,2024-10-25,31-293,MIL,,CHI,L (-11),0,16:33,.250,.250,12.9,18.1,15.6,6.7,0.0,0.0,25.0,19.5,62,127,-0.2,-15.2
3,3,2024-10-27,31-295,MIL,@,BRK,L (-13),0,17:04,.375,.375,6.7,11.7,9.4,18.6,0.0,0.0,20.0,13.3,87,123,1.5,-6.9
4,4,2024-10-28,31-296,MIL,@,BOS,L (-11),0,15:24,1.330,1.500,0.0,16.0,7.7,0.0,0.0,0.0,0.0,5.2,271,121,4.9,3.3
5,5,2024-10-31,31-299,MIL,@,MEM,L (-23),0,15:55,.214,.214,0.0,25.1,9.6,15.9,0.0,0.0,12.5,21.1,50,122,-1.0,-13.0
6,6,2024-11-02,31-301,MIL,,CLE,L (-1),0,9:41,,,0.0,22.0,11.0,23.1,0.0,0.0,,0.0,242,121,1.6,1.9
7,7,2024-11-04,31-303,MIL,@,CLE,L (-2),0,22:29,.875,.875,0.0,18.2,9.7,30.0,4.3,0.0,0.0,7.9,194,110,10.9,11.6
8,8,2024-11-07,31-306,MIL,,UTA,W (+23),0,16:47,.399,.000,0.0,0.0,0.0,6.7,0.0,0.0,21.0,12.6,82,116,0.9,-10.6
9,9,2024-11-08,31-307,MIL,@,NYK,L (-22),0,16:09,.250,.250,0.0,0.0,0.0,18.0,0.0,0.0,0.0,11.3,77,132,1.0,-7.3
10,10,2024-11-10,31-309,MIL,,BOS,L (-6),0,13:14,.902,.833,0.0,0.0,0.0,22.9,0.0,0.0,20.5,17.1,149,127,5.7,3.9
11,11,2024-11-12,31-311,MIL,,TOR,W (+14),0,19:59,.381,.357,0.0,18.5,9.5,14.5,2.4,0.0,11.3,18.3,82,87,3.7,-5.7
12,12,2024-11-13,31-312,MIL,,DET,W (+7),0,23:42,.429,.429,5.2,9.1,7.3,11.0,0.0,3.6,22.2,17.1,83,119,3.3,-7.4
13,13,2024-11-16,31-315,MIL,@,CHO,L (-1),0,20:55,.625,.625,5.1,28.7,17.3,12.1,0.0,0.0,11.1,19.5,117,119,8.1,-2.9
14,,2024-11-18,31-317,MIL,,HOU,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2024-11-20,31-319,MIL,,CHI,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,2024-11-22,31-321,MIL,,IND,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,2024-11-23,31-322,MIL,,CHO,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,14,2024-11-26,31-325,MIL,@,MIA,W (+3),0,21:25,.563,.563,11.8,32.8,22.7,8.3,0.0,9.3,0.0,20.4,130,112,9.7,1.2
19,,2024-11-30,31-329,MIL,,WAS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,,2024-12-03,31-332,MIL,@,DET,W (+21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,15,2024-12-04,31-333,MIL,,ATL,L (-15),0,5:18,,,0.0,0.0,0.0,27.4,0.0,12.9,100.0,8.1,48,116,0.0,-3.7
22,,2024-12-06,31-335,MIL,@,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2024-12-08,31-337,MIL,@,BRK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2024-12-10,31-339,MIL,,ORL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,,2024-12-14,31-343,MIL,,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,16,2024-12-20,31-349,MIL,@,CLE,L (-23),0,13:16,1.500,1.500,0.0,8.2,3.9,0.0,0.0,0.0,0.0,3.2,300,129,2.6,-3.1
