Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,22-112,MIL,@,PHI,W (+15),0,1:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-0.4,-24.1
2,2,2024-10-25,22-114,MIL,,CHI,L (-11),0,1:49,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,250,132,2.0,14.8
3,,2024-10-27,22-116,MIL,@,BRK,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2024-10-28,22-117,MIL,@,BOS,L (-11),0,2:44,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-0.4,-13.1
5,4,2024-10-31,22-120,MIL,@,MEM,L (-23),0,4:44,.694,.750,0.0,0.0,0.0,32.9,0.0,18.8,25.8,34.4,107,111,3.0,18.0
6,,2024-11-02,22-122,MIL,,CLE,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5,2024-11-04,22-124,MIL,@,CLE,L (-2),0,6:42,.500,.500,17.5,30.5,24.4,20.6,0.0,0.0,0.0,13.3,140,118,2.6,-0.3
8,6,2024-11-07,22-127,MIL,,UTA,W (+23),0,4:23,1.000,1.000,0.0,28.8,13.7,34.2,11.4,0.0,0.0,10.1,209,81,3.3,20.9
9,7,2024-11-08,22-128,MIL,@,NYK,L (-22),0,12:12,.700,.700,0.0,8.9,4.4,48.8,4.2,0.0,37.5,29.9,93,119,4.3,2.4
10,8,2024-11-10,22-130,MIL,,BOS,L (-6),0,12:13,.000,.000,10.1,0.0,4.7,0.0,0.0,32.7,50.0,7.6,40,109,1.1,-0.9
11,9,2024-11-12,22-132,MIL,,TOR,W (+14),1,22:21,.500,.500,4.4,16.5,10.6,21.9,10.9,0.0,14.3,25.9,97,69,11.4,11.2
12,,2024-11-13,22-133,MIL,,DET,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2024-11-16,22-136,MIL,@,CHO,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2024-11-18,22-138,MIL,,HOU,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2024-11-20,22-140,MIL,,CHI,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2024-11-22,22-142,MIL,,IND,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2024-11-23,22-143,MIL,,CHO,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
