Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,12:00,1,4,.250,0,1,.000,1,2,.500,0,2,2,3,0,0,1,0,3,1.9,+10,daniedy01
Trae Young,7:40,2,6,.333,1,4,.250,0,0,,0,0,0,2,0,0,0,0,5,3.0,0,youngtr01
Onyeka Okongwu,5:44,1,2,.500,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,4,4.3,-5,okongon01
Zaccharie Risacher,6:59,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,3.6,-3,risacza01
Dominick Barlow,6:59,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,2,2.3,-3,barlodo01
Vit Krejci,5:01,2,2,1.000,2,2,1.000,0,0,,0,4,4,2,0,0,0,0,6,8.0,+13,krejcvi01
Mouhamed Gueye,5:01,2,3,.667,1,2,.500,0,0,,0,2,2,0,1,1,0,0,5,6.0,+13,gueyemo02
Larry Nance Jr.,6:16,2,3,.667,2,2,1.000,0,0,,0,0,0,1,1,0,0,0,6,6.4,+15,nancela02
Keaton Wallace,4:20,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,0.7,+10,wallake01
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,,-9999
Jalen Johnson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,johnsja05
Daeqwon Plowden,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,plowdda01
Team Totals,60,13,25,.520,7,14,.500,3,4,.750,1,12,13,10,2,2,1,2,36,,,-9999
