Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-22,23-078,MIN,@,LAL,L (-7),1,41:04,.513,.500,0.0,14.0,7.5,15.0,0.0,0.0,13.2,31.4,98,117,11.8,-0.4
2,2,2024-10-24,23-080,MIN,@,SAC,W (+2),1,39:12,.591,.521,3.1,18.4,10.7,17.0,1.2,0.0,10.0,33.3,114,113,20.9,2.8
3,3,2024-10-26,23-082,MIN,,TOR,W (+11),1,39:11,.538,.548,0.0,16.7,8.4,17.5,1.2,2.0,15.2,30.0,92,103,13.2,-2.9
4,4,2024-10-29,23-085,MIN,,DAL,L (-6),1,37:20,.732,.775,0.0,17.9,9.4,16.4,0.0,2.4,16.5,35.9,113,126,24.6,7.0
5,5,2024-11-01,23-088,MIN,,DEN,W (+3),1,38:18,.630,.630,0.0,10.7,6.0,17.2,1.3,2.1,8.0,29.0,114,120,20.6,3.9
6,6,2024-11-02,23-089,MIN,@,SAS,L (-10),1,35:33,.560,.559,0.0,20.5,8.9,9.6,2.8,0.0,13.8,28.3,95,116,13.4,0.2
7,7,2024-11-04,23-091,MIN,,CHO,W (+21),1,29:05,.746,.727,0.0,18.3,9.9,5.7,1.7,0.0,6.6,23.6,140,99,16.7,6.9
8,8,2024-11-07,23-094,MIN,@,CHI,W (+16),1,34:49,.691,.674,12.9,17.2,15.3,25.0,0.0,2.7,7.7,31.2,145,124,27.8,9.7
9,9,2024-11-08,23-095,MIN,,POR,W (+25),1,30:07,.797,.786,0.0,18.8,11.1,28.6,1.5,2.4,20.5,37.8,124,96,26.9,16.5
10,10,2024-11-10,23-097,MIN,,MIA,L (-1),1,37:16,.434,.417,2.4,13.9,7.2,31.3,2.6,0.0,19.2,35.5,84,98,8.9,-2.6
11,11,2024-11-12,23-099,MIN,@,POR,L (-14),1,37:01,.601,.526,0.0,0.0,0.0,14.6,2.6,2.5,4.4,27.7,119,125,18.9,2.0
12,12,2024-11-13,23-100,MIN,@,POR,L (-8),1,40:08,.448,.400,0.0,12.3,5.4,19.1,4.8,2.1,10.1,30.2,92,102,15.4,3.1
13,13,2024-11-15,23-102,MIN,@,SAC,W (+4),1,41:56,.646,.630,2.5,12.0,6.9,8.3,0.0,0.0,6.7,31.7,121,126,22.4,2.1
14,14,2024-11-17,23-104,MIN,,PHO,W (+3),1,38:50,.783,.750,0.0,14.1,6.8,24.0,1.3,0.0,11.5,20.3,147,123,21.4,4.5
