Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-22,37-011,MIN,@,LAL,L (-7),1,20:13,.300,.143,11.0,9.5,10.2,14.6,2.5,0.0,26.5,23.8,68,114,1.5,-9.2
2,2,2024-10-24,37-013,MIN,@,SAC,W (+2),1,27:20,.333,.333,4.4,4.4,4.4,18.7,0.0,3.3,0.0,14.3,99,114,4.2,-3.6
3,3,2024-10-26,37-015,MIN,,TOR,W (+11),1,25:57,.465,.333,4.3,8.4,6.4,31.4,7.5,3.0,8.5,20.2,115,92,13.3,9.0
4,4,2024-10-29,37-018,MIN,,DAL,L (-6),1,21:35,.615,.500,5.7,15.5,10.8,38.6,0.0,0.0,21.5,19.1,132,128,7.8,-1.1
5,5,2024-11-01,37-021,MIN,,DEN,W (+3),1,26:19,.514,.429,0.0,0.0,0.0,23.2,1.9,0.0,10.2,16.5,119,124,6.4,-5.2
6,6,2024-11-02,37-022,MIN,@,SAS,L (-10),1,20:53,.625,.625,5.3,13.9,9.1,20.0,7.2,0.0,33.3,13.3,103,107,6.6,3.9
7,7,2024-11-04,37-024,MIN,,CHO,W (+21),1,23:20,.688,.688,5.4,18.3,12.4,26.7,0.0,4.5,0.0,15.6,159,100,12.4,9.6
8,8,2024-11-07,37-027,MIN,@,CHI,W (+16),1,26:15,.742,.722,0.0,9.1,5.1,48.1,0.0,0.0,0.0,15.1,183,128,17.2,10.6
9,9,2024-11-08,37-028,MIN,,POR,W (+25),1,18:18,.143,.143,0.0,5.1,3.0,11.8,2.5,0.0,0.0,14.9,58,99,-0.6,-14.3
10,10,2024-11-10,37-030,MIN,,MIA,L (-1),1,24:03,.222,.222,3.8,21.6,11.1,19.3,6.1,0.0,30.8,22.8,49,89,0.7,-10.4
11,11,2024-11-12,37-032,MIN,@,POR,L (-14),1,24:17,.600,.600,0.0,20.3,11.1,35.9,4.0,0.0,16.7,11.2,130,118,9.3,4.2
