Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-22,25-057,MIN,@,LAL,L (-7),0,26:21,.615,.500,4.2,10.9,7.8,6.2,0.0,0.0,9.3,17.4,127,118,7.7,1.0
2,2,2024-10-24,25-059,MIN,@,SAC,W (+2),0,26:31,.839,.800,0.0,58.8,29.4,18.0,0.0,0.0,15.0,21.8,141,112,16.8,11.1
3,3,2024-10-26,25-061,MIN,,TOR,W (+11),0,21:11,.571,.429,5.3,15.4,10.4,7.0,2.3,0.0,0.0,18.5,130,103,9.6,0.0
4,4,2024-10-29,25-064,MIN,,DAL,L (-6),0,25:40,.788,.750,0.0,39.1,20.5,12.6,0.0,3.5,36.0,23.9,92,119,9.8,-0.2
5,5,2024-11-01,25-067,MIN,,DEN,W (+3),0,23:29,.766,.750,5.5,8.7,7.3,14.2,0.0,10.2,8.7,21.7,139,120,14.0,5.9
6,6,2024-11-02,25-068,MIN,@,SAS,L (-10),0,26:15,.619,.625,0.0,22.2,9.6,11.5,0.0,0.0,0.0,15.6,127,123,8.8,1.8
7,7,2024-11-04,25-070,MIN,,CHO,W (+21),0,25:59,.901,.885,9.7,28.7,20.0,16.5,1.9,4.0,6.7,26.1,166,93,23.9,20.6
8,8,2024-11-07,25-073,MIN,@,CHI,W (+16),0,17:41,.286,.286,8.5,6.8,7.5,6.0,2.8,0.0,0.0,16.6,87,122,1.8,-12.4
9,9,2024-11-08,25-074,MIN,,POR,W (+25),0,22:05,.682,.682,0.0,17.0,10.1,6.4,2.1,0.0,8.3,21.2,123,97,10.0,2.2
10,10,2024-11-10,25-076,MIN,,MIA,L (-1),0,22:31,.656,.636,4.0,11.5,7.1,17.5,0.0,0.0,8.0,23.3,129,104,10.2,7.2
11,11,2024-11-12,25-078,MIN,@,POR,L (-14),0,33:58,.746,.706,0.0,21.7,11.9,6.2,1.4,0.0,5.1,26.3,136,124,21.0,4.1
12,12,2024-11-13,25-079,MIN,@,POR,L (-8),0,28:10,.545,.500,3.5,8.7,5.8,12.0,1.7,2.9,0.0,19.9,125,109,11.4,5.3
13,13,2024-11-15,25-081,MIN,@,SAC,W (+4),0,23:45,.667,.667,4.5,21.3,12.1,13.8,0.0,0.0,0.0,22.5,140,124,13.3,5.4
14,14,2024-11-17,25-083,MIN,,PHO,W (+3),0,22:28,.533,.450,11.2,12.2,11.7,6.4,2.2,0.0,14.1,28.8,106,122,8.5,-7.6
15,15,2024-11-21,25-087,MIN,@,TOR,L (-5),0,21:52,.125,.125,10.2,11.0,10.6,7.1,0.0,4.5,20.0,19.7,42,118,-3.8,-20.3
16,16,2024-11-24,25-090,MIN,@,BOS,L (-2),0,25:43,.278,.278,0.0,20.3,10.5,11.2,2.1,0.0,18.2,19.5,59,114,0.2,-9.8
17,17,2024-11-26,25-092,MIN,,HOU,L (-6),0,26:59,.638,.607,3.9,26.2,14.3,0.0,3.7,0.0,11.8,26.8,115,104,14.5,8.8
18,18,2024-11-27,25-093,MIN,,SAC,L (-11),0,23:34,.444,.429,0.0,14.9,7.6,7.6,6.2,10.7,27.6,22.0,64,103,5.4,-4.7
19,19,2024-11-29,25-095,MIN,,LAC,W (+1),0,22:59,.424,.389,0.0,27.2,14.2,8.4,2.2,7.9,9.6,20.6,84,89,6.8,0.9
20,20,2024-12-02,25-098,MIN,,LAL,W (+29),0,27:36,.656,.636,0.0,7.7,4.2,11.4,3.7,3.6,0.0,19.4,132,82,13.2,8.4
21,21,2024-12-04,25-100,MIN,@,LAC,W (+28),0,20:34,.410,.250,0.0,17.6,9.7,6.0,0.0,10.9,17.0,12.7,80,82,3.5,-5.4
22,22,2024-12-06,25-102,MIN,@,GSW,W (+17),0,32:16,.450,.450,3.7,27.3,16.7,17.5,4.4,6.9,0.0,12.9,112,78,13.8,7.2
23,23,2024-12-08,25-104,MIN,@,GSW,L (-8),0,20:51,.490,.438,0.0,30.0,16.4,15.8,0.0,9.4,16.4,27.1,91,114,6.6,-3.8
24,24,2024-12-13,25-109,MIN,,LAL,W (+10),0,25:32,.460,.400,3.8,14.5,9.3,0.0,0.0,3.7,15.5,21.7,84,93,3.6,-5.9
25,25,2024-12-15,25-111,MIN,@,SAS,W (+14),0,26:45,.144,.100,0.0,29.3,14.2,14.1,0.0,3.9,0.0,15.7,52,91,1.2,-8.6
26,26,2024-12-19,25-115,MIN,,NYK,L (-26),0,15:38,.214,.214,0.0,13.1,6.5,16.2,0.0,0.0,12.5,22.8,52,137,-2.1,-21.3
27,27,2024-12-21,25-117,MIN,,GSW,L (-10),0,24:40,.727,.727,4.3,13.0,8.6,16.0,0.0,4.3,21.4,24.3,106,119,10.2,5.2
28,28,2024-12-23,25-119,MIN,@,ATL,L (-13),0,28:48,.605,.605,6.9,5.1,6.2,22.4,1.7,0.0,5.0,28.3,124,122,16.7,5.8
29,29,2024-12-25,25-121,MIN,@,DAL,W (+6),0,21:57,.500,.500,0.0,8.9,4.9,13.1,2.4,0.0,14.3,15.0,96,110,4.6,-3.3
30,30,2024-12-27,25-123,MIN,@,HOU,W (+1),0,24:26,.526,.542,9.6,4.3,6.8,6.5,0.0,3.2,13.1,28.4,100,123,5.9,-10.2
31,31,2024-12-29,25-125,MIN,,SAS,W (+2),0,20:32,.463,.500,0.0,20.3,9.6,14.9,2.4,4.9,0.0,23.5,108,106,7.2,2.9
32,32,2024-12-31,25-127,MIN,@,OKC,L (-8),0,32:55,.638,.607,7.7,20.8,14.6,5.3,1.5,8.3,21.2,25.4,105,108,13.8,2.3
33,33,2025-01-02,25-129,MIN,,BOS,L (-3),0,25:33,.784,.727,17.6,9.4,13.0,21.9,0.0,0.0,13.6,27.8,154,141,17.1,9.9
34,34,2025-01-04,25-131,MIN,@,DET,L (-14),0,25:29,.514,.429,0.0,14.5,7.1,6.2,0.0,0.0,0.0,15.2,112,125,5.3,-3.3
