Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-22,19-292,MIN,@,LAL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-24,19-294,MIN,@,SAC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2024-10-26,19-296,MIN,,TOR,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2024-10-29,19-299,MIN,,DAL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-11-01,19-302,MIN,,DEN,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1,2024-11-02,19-303,MIN,@,SAS,L (-10),0,3:08,.000,.000,0.0,0.0,0.0,78.6,0.0,0.0,0.0,14.8,87,126,0.7,-2.6
7,2,2024-11-04,19-305,MIN,,CHO,W (+21),0,8:07,.667,.667,0.0,0.0,0.0,43.5,0.0,0.0,25.0,22.4,118,108,3.1,-2.0
8,3,2024-11-07,19-308,MIN,@,CHI,W (+16),0,1:48,,,0.0,0.0,0.0,52.3,0.0,0.0,,0.0,231,130,0.7,7.2
9,4,2024-11-08,19-309,MIN,,POR,W (+25),0,5:42,1.167,1.167,0.0,49.5,29.4,77.5,0.0,0.0,25.0,27.3,164,91,7.0,23.8
10,,2024-11-10,19-311,MIN,,MIA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2024-11-12,19-313,MIN,@,POR,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,5,2024-11-13,19-314,MIN,@,POR,L (-8),0,9:23,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21.7,51,117,-1.0,-16.1
13,6,2024-11-15,19-316,MIN,@,SAC,W (+4),0,3:15,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,0.0,-10.2
14,7,2024-11-17,19-318,MIN,,PHO,W (+3),0,5:33,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,24.6,0,130,-2.4,-35.6
