Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Keaton Wallace,34:48,4,12,.333,3,9,.333,2,2,1.000,1,2,3,7,2,0,3,3,13,10.2,-7,wallake01
Vit Krejci,34:26,2,6,.333,0,4,.000,0,0,,1,4,5,6,1,0,4,3,4,2.5,-11,krejcvi01
Onyeka Okongwu,26:47,2,9,.222,1,3,.333,2,4,.500,0,7,7,1,1,0,4,4,7,-1.1,-14,okongon01
Zaccharie Risacher,20:17,4,13,.308,2,6,.333,1,2,.500,3,4,7,3,2,0,2,0,11,8.5,-4,risacza01
David Roddy,18:02,1,3,.333,0,2,.000,0,0,,1,4,5,0,0,1,1,1,2,1.5,-3,roddyda01
De'Andre Hunter,31:36,12,21,.571,4,8,.500,7,8,.875,0,2,2,1,0,0,3,2,35,22.2,-4,huntede01
Garrison Mathews,25:31,2,4,.500,2,4,.500,0,0,,0,1,1,1,1,1,2,2,6,3.9,-9,mathega01
Clint Capela,21:14,5,7,.714,0,0,,0,2,.000,6,9,15,3,1,1,2,2,10,14.2,+6,capelca01
Mouhamed Gueye,18:49,2,9,.222,0,6,.000,0,0,,1,3,4,1,2,0,0,1,4,2.4,+9,gueyemo02
Dominick Barlow,8:30,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,2,0,-0.5,-3,barlodo01
Bogdan Bogdanović,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,bogdabo01
Dyson Daniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,daniedy01
Team Totals,240,34,86,.395,12,43,.279,12,18,.667,14,37,51,24,10,3,22,20,92,,,-9999
