Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Keaton Wallace,9:34,1,5,.200,1,4,.250,2,2,1.000,0,1,1,1,1,0,0,0,5,3.9,-9,wallake01
Vit Krejci,8:08,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,0.7,-7,krejcvi01
Onyeka Okongwu,6:49,0,3,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-1.5,-4,okongon01
Zaccharie Risacher,4:16,1,4,.250,0,1,.000,0,0,,2,2,4,0,1,0,1,0,2,1.6,-9,risacza01
David Roddy,5:20,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-6,roddyda01
De'Andre Hunter,7:44,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,1,2,0.6,+1,huntede01
Garrison Mathews,6:40,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,3,3.3,-2,mathega01
Clint Capela,5:11,1,2,.500,0,0,,0,0,,3,2,5,1,0,0,1,1,2,3.0,-4,capelca01
Mouhamed Gueye,6:18,2,6,.333,0,3,.000,0,0,,1,0,1,0,1,0,0,0,4,2.3,0,gueyemo02
Dominick Barlow,,,,,,,,,,,,,,,,,,,,,,-9999
Bogdan Bogdanović,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,bogdabo01
Dyson Daniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,daniedy01
Team Totals,60,8,27,.296,2,11,.182,2,2,1.000,6,8,14,5,3,1,3,4,20,,,-9999
