Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,23-338,NOP,,CHI,W (+12),0,1:00,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0,115,-3.1,-166.0
2,,2024-10-25,23-340,NOP,@,POR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2024-10-27,23-342,NOP,@,POR,L (-22),0,3:43,.000,.000,0.0,28.1,14.3,0.0,0.0,0.0,0.0,33.5,0,125,-1.8,-40.7
4,,2024-10-29,23-344,NOP,@,GSW,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,23-345,NOP,@,GSW,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-01,23-347,NOP,,IND,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,3,2024-11-03,23-349,NOP,,ATL,L (-15),0,3:33,.750,.750,0.0,38.6,16.1,0.0,0.0,0.0,0.0,23.2,152,129,2.3,9.8
8,4,2024-11-04,23-350,NOP,,POR,L (-18),0,1:53,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,134,0.0,-11.8
9,,2024-11-06,23-352,NOP,,CLE,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5,2024-11-08,23-354,NOP,@,ORL,L (-27),0,18:21,.300,.300,0.0,21.8,10.6,8.9,2.7,0.0,0.0,12.2,71,116,2.1,-6.4
11,6,2024-11-11,23-357,NOP,,BRK,L (-2),0,8:12,1.000,1.000,0.0,0.0,0.0,0.0,12.6,0.0,0.0,5.3,200,99,3.7,7.5
12,7,2024-11-13,23-359,NOP,@,OKC,L (-18),0,8:03,.600,.600,0.0,14.2,6.7,0.0,0.0,0.0,0.0,25.4,131,117,4.0,4.0
13,,2024-11-15,23-361,NOP,,DEN,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,,2024-11-16,23-362,NOP,,LAL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,8,2024-11-19,23-365,NOP,@,DAL,L (-41),0,7:04,.827,.800,0.0,0.0,0.0,0.0,0.0,0.0,26.9,46.7,98,141,4.3,3.6
16,9,2024-11-20,24-000,NOP,@,CLE,L (-28),0,39:34,.657,.640,2.3,12.1,6.6,16.5,0.0,0.0,0.0,27.9,140,141,25.7,6.2
17,10,2024-11-22,24-002,NOP,,GSW,L (-4),0,12:40,.085,.000,14.9,0.0,8.0,9.2,0.0,0.0,0.0,20.0,54,125,-1.2,-20.9
18,,2024-11-25,24-005,NOP,@,IND,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,11,2024-11-27,24-007,NOP,,TOR,L (-26),0,6:17,1.064,1.000,0.0,15.6,7.7,0.0,0.0,0.0,0.0,12.3,229,122,4.0,3.9
20,,2024-11-29,24-009,NOP,@,MEM,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,12,2024-12-01,24-011,NOP,@,NYK,L (-33),0,19:25,.167,.167,4.2,5.7,4.8,0.0,2.5,0.0,14.3,15.0,38,125,-1.6,-17.9
22,,2024-12-02,24-012,NOP,@,ATL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2024-12-05,24-015,NOP,,PHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-07,24-017,NOP,,OKC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,13,2024-12-08,24-018,NOP,@,SAS,L (-5),0,4:20,.000,.000,0.0,0.0,0.0,25.8,11.1,0.0,0.0,19.1,32,107,-0.1,-11.3
26,14,2024-12-12,24-022,NOP,,SAC,L (-2),0,3:29,,,32.0,0.0,14.8,35.3,0.0,0.0,,0.0,234,127,1.4,9.5
27,,2024-12-15,24-025,NOP,@,IND,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,15,2024-12-19,24-029,NOP,@,HOU,L (-20),0,2:03,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,132,139,2.0,22.0
29,,2024-12-21,24-031,NOP,,NYK,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,,2024-12-22,24-032,NOP,,DEN,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,16,2024-12-26,24-036,NOP,,HOU,L (-17),0,8:54,.400,.400,10.2,0.0,5.5,50.2,0.0,0.0,16.7,26.3,98,138,3.1,-5.8
32,,2024-12-27,24-037,NOP,,MEM,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,,2024-12-30,24-040,NOP,,LAC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,,2025-01-01,24-042,NOP,@,MIA,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2025-01-03,24-044,NOP,,WAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2025-01-05,24-046,NOP,@,WAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,,2025-01-07,24-048,NOP,,MIN,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,17,2025-01-08,24-049,NOP,,POR,L (-19),0,6:01,1.014,1.000,0.0,0.0,0.0,0.0,8.7,0.0,0.0,31.1,199,120,8.4,43.0
39,,2025-01-10,24-051,NOP,@,PHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,,2025-01-12,24-053,NOP,@,BOS,L (-1),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
41,,2025-01-14,24-055,NOP,@,CHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
