Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-23,25-217,NOP,,CHI,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,25-219,NOP,@,POR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-27,25-221,NOP,@,POR,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1,2024-10-29,25-223,NOP,@,GSW,L (-18),0,2:43,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,300,136,2.7,29.0
5,2,2024-10-30,25-224,NOP,@,GSW,L (-15),0,23:52,.717,.750,4.3,4.6,4.4,7.5,2.2,4.1,17.0,10.4,121,115,5.8,-3.1
6,3,2024-11-01,25-226,NOP,,IND,W (+7),0,9:03,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,125,-1.4,-18.8
7,4,2024-11-03,25-228,NOP,,ATL,L (-15),0,17:52,.799,.786,11.0,7.7,9.6,0.0,0.0,0.0,0.0,20.1,173,135,11.6,7.8
8,5,2024-11-04,25-229,NOP,,POR,L (-18),0,12:10,.200,.200,10.7,45.1,27.4,0.0,0.0,7.2,37.5,29.5,34,119,-1.9,-26.3
9,6,2024-11-06,25-231,NOP,,CLE,L (-9),0,0:07,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,141,0.0,-8.6
10,7,2024-11-08,25-233,NOP,@,ORL,L (-27),0,8:51,.000,.000,0.0,30.1,14.7,0.0,0.0,0.0,0.0,5.0,0,120,-1.3,-17.9
11,,2024-11-11,25-236,NOP,,BRK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8,2024-11-13,25-238,NOP,@,OKC,L (-18),0,18:59,1.011,1.000,5.4,18.1,11.4,10.6,0.0,0.0,15.5,13.9,165,116,10.0,10.7
13,9,2024-11-15,25-240,NOP,,DEN,W (+7),0,19:34,.184,.200,4.9,22.3,13.0,14.2,0.0,9.8,15.5,14.4,60,96,1.8,-6.8
14,10,2024-11-16,25-241,NOP,,LAL,L (-5),0,20:44,.338,.313,26.3,14.2,19.9,15.2,0.0,4.7,10.1,20.8,101,119,4.7,-7.2
