Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,22-177,NOP,,CHI,W (+12),0,27:54,.658,.611,0.0,27.4,13.5,4.5,0.0,3.3,16.8,17.3,105,107,9.4,-3.8
2,2,2024-10-25,22-179,NOP,@,POR,W (+2),0,29:01,.872,.833,3.4,15.4,9.0,0.0,0.0,0.0,0.0,20.0,170,108,20.3,9.6
3,3,2024-10-27,22-181,NOP,@,POR,L (-22),0,34:13,.594,.538,3.2,18.3,10.9,14.2,0.0,0.0,12.3,19.8,118,131,12.9,-3.0
4,4,2024-10-29,22-183,NOP,@,GSW,L (-18),0,25:46,.258,.000,0.0,8.1,4.8,4.7,1.9,0.0,20.5,16.7,56,129,-1.1,-16.9
5,5,2024-10-30,22-184,NOP,@,GSW,L (-15),1,38:49,.526,.524,2.6,8.4,5.4,5.7,0.0,0.0,8.4,25.9,106,121,10.6,-4.1
6,6,2024-11-01,22-186,NOP,,IND,W (+7),1,36:43,.560,.471,0.0,14.1,6.2,3.3,0.0,0.0,0.0,22.9,127,124,15.0,-4.8
7,7,2024-11-03,22-188,NOP,,ATL,L (-15),1,31:17,.503,.472,3.1,8.8,5.5,16.3,0.0,3.0,17.5,30.1,98,133,8.5,-8.1
8,,2024-11-04,22-189,NOP,,POR,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8,2024-11-06,22-191,NOP,,CLE,L (-9),0,18:30,.400,.214,0.0,28.0,13.1,6.6,0.0,4.3,10.2,23.0,84,132,4.1,-9.5
10,,2024-11-08,22-193,NOP,@,ORL,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-11,22-196,NOP,,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2024-11-13,22-198,NOP,@,OKC,L (-18),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
13,,2024-11-15,22-200,NOP,,DEN,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,,2024-11-16,22-201,NOP,,LAL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2024-11-19,22-204,NOP,@,DAL,L (-41),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2024-11-20,22-205,NOP,@,CLE,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,9,2024-11-22,22-207,NOP,,GSW,L (-4),0,19:47,.304,.278,4.8,0.0,2.6,0.0,2.5,4.9,0.0,21.5,73,118,2.1,-10.9
18,10,2024-11-25,22-210,NOP,@,IND,L (-4),0,17:56,.200,.200,0.0,12.4,6.3,12.6,2.6,0.0,16.7,14.6,53,111,0.9,-10.3
19,11,2024-11-27,22-212,NOP,,TOR,L (-26),0,22:01,.333,.333,0.0,13.3,6.6,6.9,0.0,0.0,0.0,16.8,74,123,2.1,-10.4
20,,2024-11-29,22-214,NOP,@,MEM,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,2024-12-01,22-216,NOP,@,NYK,L (-33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-02,22-217,NOP,@,ATL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
