Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,32-180,MIL,@,PHI,W (+15),0,13:09,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,1.3,+2
2,2,2024-10-25,32-182,MIL,,CHI,L (-11),0,13:08,2,3,.667,1,2,.500,0,0,,0,0,0,3,1,0,0,1,5,6.4,-6
3,3,2024-10-27,32-184,MIL,@,BRK,L (-13),0,13:17,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,1,1,0,-1.5,-13
4,4,2024-10-28,32-185,MIL,@,BOS,L (-11),0,9:44,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-5
5,5,2024-10-31,32-188,MIL,@,MEM,L (-23),0,20:42,3,4,.750,2,2,1.000,0,0,,0,1,1,2,0,1,0,2,8,8.0,+10
6,6,2024-11-02,32-190,MIL,,CLE,L (-1),0,17:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,2,0,-2.2,-5
7,7,2024-11-04,32-192,MIL,@,CLE,L (-2),0,4:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
8,,2024-11-07,32-195,MIL,,UTA,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-08,32-196,MIL,@,NYK,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-10,32-198,MIL,,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,8,2024-11-12,32-200,MIL,,TOR,W (+14),0,23:43,1,5,.200,0,4,.000,0,0,,2,1,3,2,5,0,0,0,2,7.0,+5
12,9,2024-11-13,32-201,MIL,,DET,W (+7),1,26:59,0,4,.000,0,2,.000,0,0,,1,3,4,8,2,0,1,1,0,5.0,-12
13,10,2024-11-16,32-204,MIL,@,CHO,L (-1),1,33:10,3,10,.300,1,7,.143,0,2,.000,1,2,3,6,1,3,0,1,7,8.6,0
14,11,2024-11-18,32-206,MIL,,HOU,W (+1),0,23:28,2,4,.500,2,4,.500,0,0,,1,3,4,2,1,0,1,1,6,6.6,-3
15,12,2024-11-20,32-208,MIL,,CHI,W (+16),0,11:54,0,0,,0,0,,3,4,.750,1,0,1,0,0,0,0,0,3,3.3,+5
16,13,2024-11-22,32-210,MIL,,IND,W (+12),0,10:50,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,2.3,-9
17,14,2024-11-23,32-211,MIL,,CHO,W (+6),0,13:18,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,1,1,0,0,-1.4,+2
18,15,2024-11-26,32-214,MIL,@,MIA,W (+3),0,16:35,1,4,.250,1,2,.500,2,4,.500,3,2,5,3,0,0,0,1,5,6.2,+1
19,16,2024-11-30,32-218,MIL,,WAS,W (+10),0,8:09,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2
20,17,2024-12-03,32-221,MIL,@,DET,W (+21),0,15:56,0,2,.000,0,1,.000,0,0,,1,3,4,1,1,0,0,0,0,1.9,+14
21,18,2024-12-04,32-222,MIL,,ATL,L (-15),0,12:01,2,4,.500,2,2,1.000,0,0,,1,1,2,0,1,0,2,1,6,3.6,-4
22,,2024-12-06,32-224,MIL,@,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2024-12-08,32-226,MIL,@,BRK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2024-12-10,32-228,MIL,,ORL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,,2024-12-14,32-232,MIL,,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,19,2024-12-20,32-238,MIL,@,CLE,L (-23),0,17:02,1,4,.250,0,2,.000,0,0,,1,1,2,2,2,0,1,2,2,2.2,+5
27,20,2024-12-21,32-239,MIL,,WAS,W (+11),0,17:22,0,4,.000,0,1,.000,2,2,1.000,2,1,3,1,1,0,1,0,2,1.6,+21
28,21,2024-12-23,32-241,MIL,@,CHI,W (+21),0,25:41,3,6,.500,2,4,.500,1,2,.500,1,3,4,5,2,0,2,2,9,9.9,+20
29,22,2024-12-26,32-244,MIL,,BRK,L (-6),0,18:11,0,3,.000,0,3,.000,0,0,,0,0,0,5,1,0,1,1,0,1.0,+5
30,,2024-12-28,32-246,MIL,@,CHI,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
