Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,28-052,NYK,@,BOS,L (-23),1,24:30,9,14,.643,1,2,.500,3,3,1.000,0,1,1,2,0,0,4,3,22,12.3,-23
2,2,2024-10-25,28-055,NYK,,IND,W (+25),1,29:55,10,19,.526,3,5,.600,3,4,.750,2,3,5,5,0,0,1,1,26,20.7,+36
3,3,2024-10-28,28-058,NYK,,CLE,L (-6),1,37:36,8,24,.333,0,4,.000,5,7,.714,0,3,3,7,0,0,1,2,21,10.6,0
4,4,2024-10-30,28-060,NYK,@,MIA,W (+9),1,36:22,6,18,.333,3,7,.429,7,8,.875,0,2,2,9,0,0,1,0,22,17.3,+5
5,5,2024-11-01,28-062,NYK,@,DET,W (+30),1,30:40,14,22,.636,6,8,.750,2,4,.500,0,1,1,5,2,0,2,2,36,28.4,+23
6,6,2024-11-04,28-065,NYK,@,HOU,L (-12),1,42:25,9,24,.375,2,4,.500,9,9,1.000,1,2,3,8,1,0,1,2,29,21.9,-8
7,7,2024-11-06,28-067,NYK,@,ATL,L (-5),1,36:45,8,18,.444,4,11,.364,1,2,.500,0,3,3,4,0,0,3,3,21,10.7,-5
8,8,2024-11-08,28-069,NYK,,MIL,W (+22),1,31:46,6,14,.429,0,5,.000,3,4,.750,1,1,2,9,1,0,0,2,15,14.7,+28
9,9,2024-11-10,28-071,NYK,@,IND,L (-11),1,40:37,11,17,.647,1,2,.500,10,12,.833,0,6,6,10,0,0,3,4,33,28.9,-8
10,10,2024-11-12,28-073,NYK,@,PHI,W (+12),1,34:52,5,15,.333,0,4,.000,8,8,1.000,0,3,3,5,1,0,6,1,18,8.5,+7
11,11,2024-11-13,28-074,NYK,,CHI,L (-1),1,34:29,9,20,.450,3,9,.333,3,5,.600,1,2,3,8,0,0,2,3,24,16.5,-13
12,12,2024-11-15,28-076,NYK,,BRK,W (+2),1,34:07,12,20,.600,3,8,.375,10,12,.833,0,3,3,7,0,0,3,4,37,28.2,-1
13,13,2024-11-17,28-078,NYK,,BRK,W (+10),1,34:22,3,14,.214,0,5,.000,6,8,.750,1,4,5,10,2,0,3,4,12,8.9,-1
14,14,2024-11-18,28-079,NYK,,WAS,W (+28),1,30:18,9,15,.600,5,9,.556,3,3,1.000,0,1,1,11,1,0,0,1,26,27.7,+26
15,15,2024-11-20,28-081,NYK,@,PHO,W (+16),1,36:42,12,21,.571,7,11,.636,5,5,1.000,1,1,2,10,1,0,5,1,36,29.7,+16
16,16,2024-11-23,28-084,NYK,@,UTA,L (-15),1,37:03,8,19,.421,2,9,.222,5,5,1.000,0,2,2,8,1,0,2,3,23,16.9,-15
17,17,2024-11-25,28-086,NYK,@,DEN,W (+27),1,37:52,8,14,.571,4,5,.800,3,3,1.000,0,3,3,17,0,0,2,2,23,26.4,+19
18,18,2024-11-27,28-088,NYK,@,DAL,L (-15),1,36:22,14,21,.667,0,3,.000,9,10,.900,0,3,3,7,2,0,2,4,37,31.7,-12
19,19,2024-11-29,28-090,NYK,@,CHO,W (+1),1,36:41,9,18,.500,4,6,.667,9,12,.750,0,6,6,6,1,1,2,4,31,24.9,0
