Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,29-230,NYK,@,BOS,L (-23),1,24:30,4,6,.667,0,2,.000,4,6,.667,1,3,4,3,0,0,1,0,12,11.3,-23
2,2,2024-10-25,29-233,NYK,,IND,W (+25),1,36:40,8,15,.533,1,6,.167,3,4,.750,3,7,10,3,1,0,3,1,20,16.2,+35
3,3,2024-10-28,29-236,NYK,,CLE,L (-6),1,37:50,4,10,.400,2,5,.400,6,6,1.000,4,9,13,2,3,0,5,1,16,15.1,-4
4,4,2024-10-30,29-238,NYK,@,MIA,W (+9),1,42:15,4,7,.571,2,5,.400,0,0,,1,13,14,6,1,0,0,3,10,15.3,+9
5,5,2024-11-01,29-240,NYK,@,DET,W (+30),1,37:05,6,9,.667,1,3,.333,0,0,,3,6,9,4,2,0,3,2,13,14.0,+24
6,6,2024-11-04,29-243,NYK,@,HOU,L (-12),1,37:50,4,9,.444,0,2,.000,4,4,1.000,0,4,4,7,1,0,1,3,12,12.2,-20
7,7,2024-11-06,29-245,NYK,@,ATL,L (-5),1,38:04,6,9,.667,2,4,.500,0,0,,1,7,8,8,1,1,3,6,14,14.8,-14
8,8,2024-11-08,29-247,NYK,,MIL,W (+22),1,33:06,4,5,.800,1,1,1.000,2,2,1.000,2,7,9,7,0,0,0,3,11,16.3,+19
9,9,2024-11-10,29-249,NYK,@,IND,L (-11),1,42:40,7,12,.583,0,3,.000,2,3,.667,2,8,10,6,1,1,1,1,16,18.3,-16
10,10,2024-11-12,29-251,NYK,@,PHI,W (+12),1,37:23,6,8,.750,1,3,.333,1,1,1.000,1,11,12,10,1,1,4,3,14,18.3,+16
11,11,2024-11-13,29-252,NYK,,CHI,L (-1),1,33:42,3,6,.500,0,0,,0,0,,4,4,8,6,0,0,2,3,6,8.0,+9
12,12,2024-11-15,29-254,NYK,,BRK,W (+2),1,40:15,3,7,.429,2,5,.400,6,6,1.000,0,9,9,9,2,0,2,3,14,18.1,+2
13,13,2024-11-17,29-256,NYK,,BRK,W (+10),1,46:05,8,13,.615,3,7,.429,1,1,1.000,0,8,8,8,0,0,1,1,20,20.7,+8
14,14,2024-11-18,29-257,NYK,,WAS,W (+28),1,32:00,6,9,.667,2,5,.400,0,0,,0,6,6,3,0,0,1,1,14,12.6,+26
15,15,2024-11-20,29-259,NYK,@,PHO,W (+16),1,39:05,8,11,.727,2,3,.667,1,2,.500,4,7,11,6,3,0,1,2,19,24.4,+22
16,16,2024-11-23,29-262,NYK,@,UTA,L (-15),1,40:57,6,11,.545,2,4,.500,3,4,.750,1,5,6,6,2,3,3,2,17,18.0,-37
17,17,2024-11-25,29-264,NYK,@,DEN,W (+27),1,27:46,5,5,1.000,1,1,1.000,1,1,1.000,2,4,6,5,1,1,1,5,12,15.3,+13
18,18,2024-11-27,29-266,NYK,@,DAL,L (-15),1,41:33,5,10,.500,1,2,.500,1,1,1.000,1,1,2,3,4,0,1,3,12,11.9,-8
19,19,2024-11-29,29-268,NYK,@,CHO,W (+1),1,41:29,6,12,.500,1,4,.250,0,0,,4,8,12,5,2,0,3,3,13,13.5,+1
20,20,2024-12-01,29-270,NYK,,NOP,W (+33),1,30:58,5,9,.556,2,3,.667,0,0,,1,5,6,3,2,1,0,2,12,13.9,+23
21,21,2024-12-03,29-272,NYK,,ORL,W (+15),1,38:49,4,6,.667,0,1,.000,3,3,1.000,1,12,13,10,3,0,4,2,11,17.9,+18
22,22,2024-12-05,29-274,NYK,,CHO,W (+24),1,38:23,6,9,.667,4,6,.667,2,2,1.000,0,10,10,6,1,0,1,2,18,20.5,+17
23,23,2024-12-07,29-276,NYK,,DET,L (-9),1,38:58,7,11,.636,1,4,.250,2,3,.667,1,5,6,3,1,0,0,3,17,15.8,-3
24,24,2024-12-09,29-278,NYK,@,TOR,W (+5),1,31:51,4,9,.444,1,2,.500,1,2,.500,1,3,4,3,1,0,0,1,10,9.2,-2
25,25,2024-12-11,29-280,NYK,,ATL,L (-8),1,34:28,8,12,.667,3,5,.600,2,2,1.000,2,6,8,6,1,0,1,4,21,21.6,-2
26,26,2024-12-15,29-284,NYK,@,ORL,W (+9),1,33:02,5,9,.556,1,3,.333,1,3,.333,0,5,5,5,4,1,5,1,12,11.2,+9
27,,2024-12-19,29-288,NYK,@,MIN,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,27,2024-12-21,29-290,NYK,@,NOP,W (+11),1,41:57,6,13,.462,1,4,.250,1,2,.500,1,7,8,5,2,1,1,3,14,13.7,+12
29,28,2024-12-23,29-292,NYK,,TOR,W (+14),1,30:55,3,6,.500,1,2,.500,4,4,1.000,0,3,3,4,0,0,3,2,11,7.9,+16
30,29,2024-12-25,29-294,NYK,,SAS,W (+3),1,38:27,4,8,.500,1,3,.333,3,4,.750,5,7,12,6,2,0,1,4,12,16.8,-1
31,30,2024-12-27,29-296,NYK,@,ORL,W (+23),1,38:26,7,11,.636,1,3,.333,8,10,.800,3,10,13,1,2,2,3,3,23,22.3,+23
32,31,2024-12-28,29-297,NYK,@,WAS,W (+4),1,38:36,5,10,.500,0,3,.000,3,3,1.000,3,8,11,7,1,0,2,1,13,16.0,+6
33,32,2024-12-30,29-299,NYK,@,WAS,W (+20),1,41:17,7,15,.467,4,8,.500,5,7,.714,4,11,15,10,2,0,1,4,23,27.0,+25
34,33,2025-01-01,29-301,NYK,,UTA,W (+16),1,45:08,6,12,.500,1,4,.250,2,3,.667,2,12,14,12,1,1,7,4,15,15.1,+15
35,34,2025-01-03,29-303,NYK,@,OKC,L (-10),1,44:14,8,15,.533,2,7,.286,1,2,.500,3,4,7,2,1,1,2,4,19,14.1,-12
36,35,2025-01-04,29-304,NYK,@,CHI,L (-13),1,40:23,0,5,.000,0,3,.000,2,2,1.000,3,13,16,10,1,0,2,3,2,9.3,-14
37,36,2025-01-06,29-306,NYK,,ORL,L (-9),1,41:43,5,9,.556,1,3,.333,4,4,1.000,3,11,14,2,2,1,1,2,15,18.4,-8
38,37,2025-01-08,29-308,NYK,,TOR,W (+14),1,38:22,9,14,.643,2,5,.400,1,2,.500,6,5,11,7,1,0,1,4,21,23.4,+19
39,38,2025-01-10,29-310,NYK,,OKC,L (-25),1,30:28,6,13,.462,0,1,.000,4,4,1.000,6,7,13,2,3,0,1,2,16,18.2,-23
40,39,2025-01-12,29-312,NYK,,MIL,W (+34),1,35:21,5,5,1.000,1,1,1.000,0,0,,2,9,11,4,1,0,3,4,11,12.8,+24
41,40,2025-01-13,29-313,NYK,,DET,L (-5),1,37:52,3,5,.600,1,2,.500,5,6,.833,3,11,14,5,0,0,1,4,12,15.6,+6
42,41,2025-01-15,29-315,NYK,@,PHI,W (+6),1,49:25,4,9,.444,0,3,.000,2,3,.667,5,12,17,12,4,0,3,3,10,20.2,+10
43,42,2025-01-17,29-317,NYK,,MIN,L (-17),1,38:07,3,12,.250,1,5,.200,5,6,.833,2,7,9,0,3,0,3,4,12,6.3,-24
44,43,2025-01-20,29-320,NYK,,ATL,W (+9),1,37:13,7,12,.583,0,1,.000,0,0,,4,5,9,5,2,0,2,4,14,14.6,-3
45,44,2025-01-21,29-321,NYK,@,BRK,W (+4),1,38:54,3,5,.600,1,2,.500,0,0,,1,11,12,9,2,0,2,2,7,14.2,-3
46,45,2025-01-25,29-325,NYK,,SAC,W (+23),1,39:43,8,14,.571,1,2,.500,3,3,1.000,7,11,18,11,1,2,3,3,20,27.5,+17
