Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,28-342,NYK,@,BOS,L (-23),1,23:37,5,9,.556,1,2,.500,1,1,1.000,0,7,7,3,0,0,0,1,12,11.5,-18
2,2,2024-10-25,28-345,NYK,,IND,W (+25),1,32:17,5,11,.455,2,2,1.000,9,10,.900,4,11,15,0,1,2,0,2,21,22.6,+17
3,3,2024-10-28,28-348,NYK,,CLE,L (-6),1,32:17,4,8,.500,1,2,.500,4,4,1.000,1,9,10,3,1,0,3,6,13,10.1,-1
4,4,2024-10-30,28-350,NYK,@,MIA,W (+9),1,38:47,17,25,.680,4,5,.800,6,6,1.000,3,10,13,2,0,0,2,5,44,35.8,+15
5,5,2024-11-01,28-352,NYK,@,DET,W (+30),1,27:28,8,18,.444,3,6,.500,2,3,.667,3,8,11,7,2,1,1,1,21,21.9,+28
6,6,2024-11-04,28-355,NYK,@,HOU,L (-12),1,32:25,7,17,.412,0,2,.000,3,4,.750,9,10,19,0,0,1,3,4,17,12.9,-26
7,7,2024-11-06,28-357,NYK,@,ATL,L (-5),1,38:01,11,23,.478,5,9,.556,7,7,1.000,5,11,16,1,1,3,3,2,34,29.1,-12
8,8,2024-11-08,28-359,NYK,,MIL,W (+22),1,32:03,12,20,.600,4,8,.500,4,5,.800,3,8,11,5,0,0,2,4,32,26.8,+24
9,9,2024-11-10,28-361,NYK,@,IND,L (-11),1,38:52,11,19,.579,2,5,.400,6,8,.750,1,8,9,0,0,1,2,4,30,20.5,-13
10,10,2024-11-12,28-363,NYK,@,PHI,W (+12),1,38:27,7,16,.438,2,6,.333,5,6,.833,3,10,13,6,1,1,2,3,21,20.0,+11
11,11,2024-11-13,28-364,NYK,,CHI,L (-1),1,39:04,18,30,.600,6,12,.500,4,8,.500,1,9,10,3,3,0,4,5,46,33.1,+4
12,,2024-11-15,29-000,NYK,,BRK,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
13,12,2024-11-17,29-002,NYK,,BRK,W (+10),1,29:55,10,16,.625,1,3,.333,5,5,1.000,4,11,15,6,1,1,1,5,26,27.8,+14
14,13,2024-11-18,29-003,NYK,,WAS,W (+28),1,24:41,8,14,.571,3,4,.750,5,5,1.000,1,11,12,3,0,0,0,1,24,23.1,+22
15,14,2024-11-20,29-005,NYK,@,PHO,W (+16),1,34:09,12,19,.632,3,8,.375,7,8,.875,1,9,10,2,1,0,3,4,34,26.3,+23
16,15,2024-11-23,29-008,NYK,@,UTA,L (-15),1,38:45,6,19,.316,1,9,.111,3,3,1.000,8,8,16,5,0,1,2,2,16,14.5,-34
17,16,2024-11-25,29-010,NYK,@,DEN,W (+27),1,33:53,12,15,.800,2,2,1.000,4,6,.667,1,14,15,4,3,0,4,4,30,28.6,+21
18,17,2024-11-27,29-012,NYK,@,DAL,L (-15),1,34:54,7,16,.438,2,4,.500,9,10,.900,1,13,14,4,0,1,1,4,25,21.7,-7
19,18,2024-11-29,29-014,NYK,@,CHO,W (+1),1,39:29,8,16,.500,2,5,.400,1,1,1.000,4,8,12,5,1,2,6,4,19,14.5,+5
20,19,2024-12-01,29-016,NYK,,NOP,W (+33),1,24:34,4,12,.333,1,5,.200,5,5,1.000,3,16,19,2,1,1,2,1,14,14.8,+17
21,20,2024-12-03,29-018,NYK,,ORL,W (+15),1,35:43,8,18,.444,2,5,.400,5,5,1.000,2,13,15,0,0,2,5,4,23,13.7,+25
22,21,2024-12-05,29-020,NYK,,CHO,W (+24),1,39:25,9,15,.600,2,5,.400,7,9,.778,3,13,16,2,0,2,2,4,27,24.5,+25
23,,2024-12-07,29-022,NYK,,DET,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,22,2024-12-09,29-024,NYK,@,TOR,W (+5),1,35:48,7,13,.538,2,5,.400,8,10,.800,2,13,15,6,2,2,3,3,24,25.6,+10
25,23,2024-12-11,29-026,NYK,,ATL,L (-8),1,36:36,7,15,.467,2,6,.333,3,6,.500,4,15,19,5,3,3,4,6,19,19.6,-11
26,24,2024-12-15,29-030,NYK,@,ORL,W (+9),1,43:17,7,15,.467,1,3,.333,7,7,1.000,4,18,22,5,0,1,6,4,22,19.1,+9
27,25,2024-12-19,29-034,NYK,@,MIN,W (+26),1,37:38,10,12,.833,5,5,1.000,7,9,.778,3,17,20,6,2,0,4,2,32,35.4,+31
28,26,2024-12-21,29-036,NYK,@,NOP,W (+11),1,27:14,3,10,.300,2,5,.400,3,3,1.000,2,8,10,4,0,1,5,5,11,5.5,+1
29,27,2024-12-23,29-038,NYK,,TOR,W (+14),1,32:07,11,15,.733,1,3,.333,8,10,.800,3,7,10,7,1,0,1,6,31,30.8,+17
30,28,2024-12-25,29-040,NYK,,SAS,W (+3),1,29:33,9,16,.563,1,5,.200,2,2,1.000,2,7,9,2,0,0,1,5,21,15.3,-13
31,29,2024-12-27,29-042,NYK,@,ORL,W (+23),1,32:35,6,10,.600,2,4,.500,2,4,.500,1,7,8,0,1,0,4,4,16,8.8,+17
32,30,2024-12-28,29-043,NYK,@,WAS,W (+4),1,43:37,13,19,.684,2,5,.400,2,3,.667,3,11,14,3,0,2,3,3,30,26.2,+8
33,31,2024-12-30,29-045,NYK,@,WAS,W (+20),1,31:50,13,19,.684,0,3,.000,6,7,.857,5,8,13,1,1,0,1,4,32,28.5,+21
34,32,2025-01-01,29-047,NYK,,UTA,W (+16),1,37:23,10,20,.500,3,6,.500,8,9,.889,2,19,21,4,1,1,2,3,31,29.0,+11
35,33,2025-01-03,29-049,NYK,@,OKC,L (-10),1,42:18,7,13,.538,0,0,,3,4,.750,4,18,22,4,3,0,2,4,17,20.7,-6
36,34,2025-01-04,29-050,NYK,@,CHI,L (-13),1,37:15,17,29,.586,3,7,.429,7,10,.700,6,10,16,5,1,0,3,3,44,36.8,-5
37,,2025-01-06,29-052,NYK,,ORL,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
38,35,2025-01-08,29-054,NYK,,TOR,W (+14),1,34:14,9,14,.643,3,3,1.000,6,6,1.000,4,9,13,2,3,2,2,3,27,28.9,+25
39,36,2025-01-10,29-056,NYK,,OKC,L (-25),1,29:29,9,16,.563,1,2,.500,4,4,1.000,3,7,10,1,1,0,3,3,23,17.1,-10
40,37,2025-01-12,29-058,NYK,,MIL,W (+34),1,35:32,10,16,.625,2,5,.400,8,9,.889,5,13,18,4,1,0,2,3,30,30.4,+28
41,38,2025-01-13,29-059,NYK,,DET,L (-5),1,43:02,7,17,.412,4,9,.444,8,10,.800,0,12,12,3,1,0,6,5,26,14.8,-4
42,,2025-01-15,29-061,NYK,@,PHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2025-01-17,29-063,NYK,,MIN,L (-17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
44,39,2025-01-20,29-066,NYK,,ATL,W (+9),1,36:32,5,18,.278,1,6,.167,2,2,1.000,0,9,9,7,0,1,1,2,13,8.9,+11
45,40,2025-01-21,29-067,NYK,@,BRK,W (+4),1,39:23,11,18,.611,0,3,.000,3,4,.750,5,11,16,6,3,2,5,4,25,25.2,+16
46,41,2025-01-25,29-071,NYK,,SAC,W (+23),1,27:49,7,18,.389,0,1,.000,4,4,1.000,5,10,15,2,1,0,1,1,18,15.7,-3
47,42,2025-01-27,29-073,NYK,,MEM,W (+37),1,32:50,9,17,.529,2,4,.500,4,4,1.000,6,5,11,1,2,0,2,1,24,21.7,+23
48,43,2025-01-29,29-075,NYK,,DEN,W (+10),1,29:51,6,12,.500,0,4,.000,2,3,.667,3,7,10,5,0,1,0,4,14,14.4,-1
49,44,2025-02-01,29-078,NYK,,LAL,L (-16),1,35:08,3,12,.250,1,2,.500,4,4,1.000,2,4,6,3,0,0,3,5,11,3.5,-15
50,45,2025-02-03,29-080,NYK,,HOU,W (+6),1,38:30,9,20,.450,1,5,.200,3,5,.600,2,7,9,2,1,1,1,6,22,14.0,+16
51,46,2025-02-04,29-081,NYK,@,TOR,W (+6),1,38:48,10,19,.526,2,3,.667,5,5,1.000,9,11,20,2,0,1,2,1,27,27.0,+13
52,47,2025-02-08,29-085,NYK,,BOS,L (-27),1,27:42,3,8,.375,2,2,1.000,1,2,.500,1,8,9,1,1,1,2,4,9,6.1,-26
