Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,28-053,NYK,@,BOS,L (-23),1,34:37,7,13,.538,2,7,.286,0,1,.000,0,0,0,2,0,0,1,0,16,9.7,-33
2,2,2024-10-25,28-056,NYK,,IND,W (+25),1,33:29,8,12,.667,2,3,.667,3,4,.750,1,0,1,5,1,0,1,4,21,18.0,+13
3,3,2024-10-28,28-059,NYK,,CLE,L (-6),1,40:10,9,15,.600,1,4,.250,0,0,,4,2,6,3,2,1,2,4,19,16.7,-14
4,4,2024-10-30,28-061,NYK,@,MIA,W (+9),1,39:51,6,16,.375,4,11,.364,1,2,.500,1,2,3,6,2,2,1,2,17,14.9,+10
5,5,2024-11-01,28-063,NYK,@,DET,W (+30),1,34:40,6,13,.462,3,6,.500,0,0,,0,7,7,3,3,1,0,0,15,16.2,+31
6,6,2024-11-04,28-066,NYK,@,HOU,L (-12),1,40:21,6,14,.429,3,8,.375,0,1,.000,1,2,3,0,1,0,4,0,15,5.5,-21
7,7,2024-11-06,28-068,NYK,@,ATL,L (-5),1,38:38,4,10,.400,2,7,.286,0,0,,0,2,2,5,1,0,2,2,10,6.9,-15
8,8,2024-11-08,28-070,NYK,,MIL,W (+22),1,36:32,7,18,.389,3,11,.273,0,0,,1,2,3,3,1,1,1,1,17,10.9,+21
9,9,2024-11-10,28-072,NYK,@,IND,L (-11),1,41:32,4,11,.364,0,6,.000,0,0,,3,4,7,4,0,1,2,4,8,5.1,-11
10,10,2024-11-12,28-074,NYK,@,PHI,W (+12),1,35:22,7,13,.538,0,2,.000,0,0,,1,3,4,3,2,1,1,1,14,12.7,+5
11,11,2024-11-13,28-075,NYK,,CHI,L (-1),1,42:58,8,15,.533,1,4,.250,3,3,1.000,0,6,6,5,1,0,3,0,20,16.0,+2
12,12,2024-11-15,28-077,NYK,,BRK,W (+2),1,41:11,9,17,.529,4,7,.571,0,0,,2,3,5,4,1,1,1,0,22,19.5,+7
13,13,2024-11-17,28-079,NYK,,BRK,W (+10),1,44:57,9,18,.500,3,10,.300,0,0,,2,4,6,1,1,1,1,2,21,15.2,+16
14,14,2024-11-18,28-080,NYK,,WAS,W (+28),1,34:42,7,14,.500,0,4,.000,0,0,,2,1,3,5,0,0,2,1,14,9.8,+32
15,15,2024-11-20,28-082,NYK,@,PHO,W (+16),1,40:04,7,14,.500,2,5,.400,0,0,,0,3,3,5,1,0,0,0,16,14.4,+19
16,16,2024-11-23,28-085,NYK,@,UTA,L (-15),1,32:36,3,15,.200,1,7,.143,0,0,,0,3,3,0,1,1,2,0,7,-1.7,-1
17,17,2024-11-25,28-087,NYK,@,DEN,W (+27),1,36:11,6,16,.375,2,8,.250,0,0,,0,2,2,6,0,0,0,1,14,9.6,+18
18,18,2024-11-27,28-089,NYK,@,DAL,L (-15),1,39:15,8,19,.421,4,10,.400,0,0,,2,3,5,0,0,0,2,1,20,9.8,-11
19,19,2024-11-29,28-091,NYK,@,CHO,W (+1),1,36:40,3,10,.300,1,4,.250,1,2,.500,1,1,2,2,2,0,3,2,8,2.4,-14
20,20,2024-12-01,28-093,NYK,,NOP,W (+33),1,35:30,12,19,.632,7,12,.583,0,0,,0,4,4,1,0,1,1,1,31,23.7,+40
21,21,2024-12-03,28-095,NYK,,ORL,W (+15),1,35:32,8,13,.615,2,6,.333,1,1,1.000,0,2,2,5,2,0,2,3,19,16.0,+33
22,22,2024-12-05,28-097,NYK,,CHO,W (+24),1,46:30,7,15,.467,2,7,.286,3,5,.600,0,3,3,7,1,0,2,1,19,14.9,+26
23,23,2024-12-07,28-099,NYK,,DET,L (-9),1,37:49,8,17,.471,3,9,.333,1,2,.500,1,2,3,3,2,1,1,0,20,16.0,+1
24,24,2024-12-09,28-101,NYK,@,TOR,W (+5),1,41:15,9,14,.643,5,8,.625,0,0,,0,3,3,3,1,0,1,1,23,19.4,+9
25,25,2024-12-11,28-103,NYK,,ATL,L (-8),1,37:41,9,17,.529,1,5,.200,0,0,,2,2,4,2,0,1,2,2,19,12.0,-17
26,26,2024-12-15,28-107,NYK,@,ORL,W (+9),1,40:49,7,11,.636,1,3,.333,2,2,1.000,0,1,1,1,1,1,1,2,17,13.0,+2
27,27,2024-12-19,28-111,NYK,@,MIN,W (+26),1,35:36,12,18,.667,4,8,.500,1,1,1.000,2,4,6,6,1,0,3,2,29,25.2,+35
28,28,2024-12-21,28-113,NYK,@,NOP,W (+11),1,45:01,7,16,.438,3,6,.500,1,2,.500,0,0,0,2,2,0,3,0,18,9.6,+20
29,29,2024-12-23,28-115,NYK,,TOR,W (+14),1,40:41,5,10,.500,4,8,.500,0,0,,0,1,1,4,1,0,2,0,14,11.1,+1
30,30,2024-12-25,28-117,NYK,,SAS,W (+3),1,43:15,17,25,.680,6,9,.667,1,1,1.000,1,0,1,4,2,2,0,2,41,36.4,+8
31,31,2024-12-27,28-119,NYK,@,ORL,W (+23),1,43:31,6,12,.500,0,1,.000,5,6,.833,0,2,2,3,2,0,2,2,17,12.5,+21
32,32,2024-12-28,28-120,NYK,@,WAS,W (+4),1,46:39,8,14,.571,3,9,.333,2,2,1.000,1,2,3,3,3,0,3,5,21,15.8,+4
33,33,2024-12-30,28-122,NYK,@,WAS,W (+20),1,35:48,6,15,.400,1,6,.167,0,0,,2,4,6,6,2,0,1,1,13,12.3,+7
34,34,2025-01-01,28-124,NYK,,UTA,W (+16),1,44:29,12,17,.706,2,5,.400,1,2,.500,0,1,1,0,0,1,0,2,27,19.7,+13
35,35,2025-01-03,28-126,NYK,@,OKC,L (-10),1,40:59,10,19,.526,4,11,.364,0,0,,1,2,3,2,1,1,2,1,24,16.7,-10
36,36,2025-01-04,28-127,NYK,@,CHI,L (-13),1,33:16,8,18,.444,0,5,.000,2,3,.667,3,0,3,1,0,1,1,2,18,9.9,-21
37,37,2025-01-06,28-129,NYK,,ORL,L (-9),1,42:23,10,20,.500,1,7,.143,3,4,.750,0,5,5,2,0,0,2,2,24,13.7,-8
38,38,2025-01-08,28-131,NYK,,TOR,W (+14),1,35:47,4,18,.222,2,11,.182,0,0,,1,2,3,3,1,0,1,0,10,2.4,+26
39,39,2025-01-10,28-133,NYK,,OKC,L (-25),1,31:49,0,9,.000,0,7,.000,0,0,,0,1,1,2,0,0,0,1,0,-5.0,-23
40,40,2025-01-12,28-135,NYK,,MIL,W (+34),1,37:18,2,5,.400,1,4,.250,1,2,.500,1,1,2,6,0,2,1,1,6,8.1,+17
41,41,2025-01-13,28-136,NYK,,DET,L (-5),1,37:01,9,13,.692,6,8,.750,3,3,1.000,1,1,2,1,0,1,1,3,27,21.7,-3
42,42,2025-01-15,28-138,NYK,@,PHI,W (+6),1,43:28,9,19,.474,5,10,.500,0,0,,0,2,2,2,0,0,1,0,23,14.3,+3
43,43,2025-01-17,28-140,NYK,,MIN,L (-17),1,38:45,6,17,.353,3,7,.429,0,0,,3,1,4,5,0,0,1,1,15,10.0,-21
