Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,24-044,NYK,@,BOS,L (-23),0,25:51,8,10,.800,4,5,.800,2,3,.667,0,0,0,2,0,0,1,1,22,17.8,-18
2,2,2024-10-25,24-047,NYK,,IND,W (+25),0,20:37,3,4,.750,2,2,1.000,0,0,,0,2,2,2,0,0,2,3,8,5.2,+7
3,3,2024-10-28,24-050,NYK,,CLE,L (-6),0,29:08,6,12,.500,2,6,.333,0,0,,1,2,3,4,0,0,1,2,14,10.3,-3
4,4,2024-10-30,24-052,NYK,@,MIA,W (+9),0,25:02,3,8,.375,2,5,.400,2,2,1.000,1,2,3,2,2,1,2,1,10,8.6,-3
5,5,2024-11-01,24-054,NYK,@,DET,W (+30),0,28:20,4,12,.333,2,8,.250,0,1,.000,1,2,3,2,4,0,0,2,10,8.7,+14
6,6,2024-11-04,24-057,NYK,@,HOU,L (-12),0,26:17,0,9,.000,0,5,.000,0,0,,0,0,0,2,2,1,0,3,0,-3.4,+10
7,7,2024-11-06,24-059,NYK,@,ATL,L (-5),0,28:26,5,9,.556,4,6,.667,2,2,1.000,0,4,4,7,0,1,3,3,16,14.3,+13
8,8,2024-11-08,24-061,NYK,,MIL,W (+22),0,28:01,5,11,.455,2,6,.333,2,2,1.000,1,4,5,2,0,0,0,0,14,11.6,+21
9,9,2024-11-10,24-063,NYK,@,IND,L (-11),0,29:19,3,9,.333,1,5,.200,0,0,,0,1,1,1,2,0,1,3,7,2.7,-5
10,10,2024-11-12,24-065,NYK,@,PHI,W (+12),0,25:52,6,12,.500,3,8,.375,0,0,,0,3,3,2,2,0,1,1,15,11.9,+12
11,11,2024-11-13,24-066,NYK,,CHI,L (-1),0,23:12,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,1,0,2,0.3,+10
12,,2024-11-15,24-068,NYK,,BRK,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
13,,2024-11-17,24-070,NYK,,BRK,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,,2024-11-18,24-071,NYK,,WAS,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2024-11-20,24-073,NYK,@,PHO,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2024-11-23,24-076,NYK,@,UTA,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,12,2024-11-25,24-078,NYK,@,DEN,W (+27),0,27:45,5,9,.556,3,6,.500,0,0,,2,4,6,3,1,0,0,4,13,12.8,+10
18,13,2024-11-27,24-080,NYK,@,DAL,L (-15),0,15:19,1,2,.500,0,1,.000,3,3,1.000,0,2,2,2,1,1,0,1,5,7.3,-3
19,14,2024-11-29,24-082,NYK,@,CHO,W (+1),0,26:35,5,9,.556,2,5,.400,2,2,1.000,2,3,5,1,0,0,0,0,14,12.7,+4
20,15,2024-12-01,24-084,NYK,,NOP,W (+33),0,21:40,5,9,.556,3,4,.750,0,0,,1,1,2,3,1,0,2,2,13,10.0,+18
21,16,2024-12-03,24-086,NYK,,ORL,W (+15),0,25:44,5,11,.455,5,7,.714,3,3,1.000,1,2,3,4,1,0,2,3,18,14.2,-2
22,17,2024-12-05,24-088,NYK,,CHO,W (+24),0,27:39,2,5,.400,2,4,.500,4,4,1.000,0,1,1,6,0,0,0,1,10,11.4,+13
23,18,2024-12-07,24-090,NYK,,DET,L (-9),0,26:57,3,7,.429,1,5,.200,1,2,.500,0,2,2,2,1,1,3,2,8,3.8,-14
24,19,2024-12-09,24-092,NYK,@,TOR,W (+5),0,26:19,3,6,.500,2,4,.500,0,0,,1,2,3,5,1,0,1,1,8,9.4,+8
25,20,2024-12-11,24-094,NYK,,ATL,L (-8),0,19:53,2,8,.250,1,6,.167,0,0,,0,2,2,3,0,0,1,1,5,1.5,0
26,21,2024-12-15,24-098,NYK,@,ORL,W (+9),0,20:38,2,6,.333,2,2,1.000,1,2,.500,1,1,2,1,0,0,0,2,7,4.1,+6
27,22,2024-12-19,24-102,NYK,@,MIN,W (+26),0,28:56,6,13,.462,4,9,.444,0,0,,2,3,5,8,1,0,1,0,16,17.2,+23
28,23,2024-12-21,24-104,NYK,@,NOP,W (+11),0,15:56,1,6,.167,0,3,.000,0,0,,1,1,2,1,1,0,0,0,2,0.9,-10
29,24,2024-12-23,24-106,NYK,,TOR,W (+14),0,25:14,5,8,.625,2,4,.500,0,1,.000,1,3,4,5,2,0,1,3,12,12.9,+7
30,25,2024-12-25,24-108,NYK,,SAS,W (+3),0,29:47,2,10,.200,2,6,.333,2,2,1.000,1,2,3,2,0,0,0,1,8,4.1,0
31,26,2024-12-27,24-110,NYK,@,ORL,W (+23),0,21:45,1,4,.250,0,1,.000,3,4,.750,2,3,5,3,0,0,2,1,5,4.2,+17
32,27,2024-12-28,24-111,NYK,@,WAS,W (+4),0,19:06,1,5,.200,1,4,.250,0,0,,0,0,0,1,0,1,0,2,3,0.5,-3
