Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,27-097,NYK,@,BOS,L (-23),1,34:10,1,7,.143,0,4,.000,2,2,1.000,0,5,5,3,1,0,0,3,4,2.9,-21
2,2,2024-10-25,27-100,NYK,,IND,W (+25),1,34:01,6,12,.500,1,4,.250,1,2,.500,0,4,4,1,1,0,1,3,14,8.3,+18
3,3,2024-10-28,27-103,NYK,,CLE,L (-6),1,36:52,7,13,.538,1,4,.250,0,1,.000,1,1,2,2,2,1,2,3,15,10.2,+3
4,4,2024-10-30,27-105,NYK,@,MIA,W (+9),1,36:52,3,6,.500,3,6,.500,2,2,1.000,0,3,3,0,2,0,3,2,11,7.1,+11
5,5,2024-11-01,27-107,NYK,@,DET,W (+30),1,32:47,8,15,.533,3,5,.600,2,2,1.000,2,2,4,6,2,0,0,0,21,21.9,+23
6,6,2024-11-04,27-110,NYK,@,HOU,L (-12),1,39:35,7,14,.500,5,6,.833,2,3,.667,1,5,6,2,1,2,0,2,21,18.8,-5
7,7,2024-11-06,27-112,NYK,@,ATL,L (-5),1,41:22,5,13,.385,3,8,.375,2,2,1.000,1,5,6,3,1,0,0,1,15,12.8,-1
8,8,2024-11-08,27-114,NYK,,MIL,W (+22),1,32:07,4,12,.333,1,8,.125,5,6,.833,0,6,6,5,3,2,2,4,14,12.9,+19
9,9,2024-11-10,27-116,NYK,@,IND,L (-11),1,36:05,9,14,.643,3,4,.750,4,4,1.000,2,2,4,2,2,0,3,3,25,20.0,-2
10,10,2024-11-12,27-118,NYK,@,PHI,W (+12),1,40:40,11,16,.688,2,4,.500,0,0,,0,6,6,2,1,1,0,1,24,21.7,+18
11,11,2024-11-13,27-119,NYK,,CHI,L (-1),1,35:38,5,14,.357,2,7,.286,2,2,1.000,2,7,9,2,0,2,2,2,14,9.7,-20
12,12,2024-11-15,27-121,NYK,,BRK,W (+2),1,38:46,10,17,.588,1,8,.125,4,5,.800,1,7,8,1,2,0,3,6,25,16.8,+10
13,13,2024-11-17,27-123,NYK,,BRK,W (+10),1,40:22,9,17,.529,3,7,.429,3,5,.600,3,5,8,0,0,1,0,4,24,17.6,+3
14,14,2024-11-18,27-124,NYK,,WAS,W (+28),1,30:08,6,12,.500,1,4,.250,3,4,.750,2,3,5,2,2,0,0,0,16,15.3,+22
15,15,2024-11-20,27-126,NYK,@,PHO,W (+16),1,35:11,4,7,.571,2,4,.500,4,4,1.000,1,6,7,1,2,0,2,3,14,12.7,+20
16,16,2024-11-23,27-129,NYK,@,UTA,L (-15),1,36:01,10,19,.526,7,12,.583,0,0,,1,2,3,0,3,2,0,5,27,21.4,-7
17,17,2024-11-25,27-131,NYK,@,DEN,W (+27),1,37:50,16,23,.696,5,7,.714,3,3,1.000,1,4,5,4,0,1,1,2,40,33.9,+21
18,18,2024-11-27,27-133,NYK,@,DAL,L (-15),1,39:50,3,15,.200,0,8,.000,2,2,1.000,3,2,5,2,0,0,1,2,8,1.0,-15
19,19,2024-11-29,27-135,NYK,@,CHO,W (+1),1,39:32,3,11,.273,0,4,.000,2,2,1.000,1,3,4,0,0,2,4,4,8,-1.1,+3
20,20,2024-12-01,27-137,NYK,,NOP,W (+33),1,31:25,2,10,.200,0,3,.000,3,4,.750,1,3,4,2,3,4,2,1,7,6.8,+32
21,21,2024-12-03,27-139,NYK,,ORL,W (+15),1,32:27,7,10,.700,4,7,.571,0,0,,0,2,2,2,0,2,0,4,18,15.6,+21
22,22,2024-12-05,27-141,NYK,,CHO,W (+24),1,39:30,10,18,.556,3,4,.750,2,2,1.000,1,5,6,2,4,2,1,2,25,23.6,+18
23,23,2024-12-07,27-143,NYK,,DET,L (-9),1,38:57,6,15,.400,2,8,.250,3,4,.750,1,3,4,2,4,2,3,4,17,12.3,-10
24,24,2024-12-09,27-145,NYK,@,TOR,W (+5),1,41:05,6,14,.429,2,9,.222,0,1,.000,0,4,4,3,2,3,2,2,14,10.8,-7
25,25,2024-12-11,27-147,NYK,,ATL,L (-8),1,39:06,5,17,.294,1,9,.111,2,4,.500,2,4,6,1,1,3,1,1,13,7.3,-2
26,26,2024-12-15,27-151,NYK,@,ORL,W (+9),1,36:43,3,8,.375,1,3,.333,0,0,,1,4,5,1,1,0,2,2,7,3.4,+14
27,27,2024-12-19,27-155,NYK,@,MIN,W (+26),1,30:25,3,8,.375,1,5,.200,2,2,1.000,1,2,3,4,2,1,0,1,9,11.0,+28
28,28,2024-12-21,27-157,NYK,@,NOP,W (+11),1,37:16,6,17,.353,2,8,.250,2,2,1.000,2,3,5,3,3,0,2,3,16,10.7,+17
29,29,2024-12-23,27-159,NYK,,TOR,W (+14),1,33:45,13,15,.867,4,6,.667,1,3,.333,2,5,7,4,1,0,2,2,31,28.8,+25
30,30,2024-12-25,27-161,NYK,,SAS,W (+3),1,35:39,3,10,.300,2,6,.333,0,0,,3,2,5,1,1,0,0,2,8,5.8,+13
31,31,2024-12-27,27-163,NYK,@,ORL,W (+23),1,27:34,4,8,.500,0,1,.000,0,0,,1,4,5,0,0,0,3,4,8,1.3,+7
32,32,2024-12-28,27-164,NYK,@,WAS,W (+4),1,42:05,4,12,.333,1,5,.200,0,0,,1,3,4,0,1,0,1,1,9,3.4,-2
33,33,2024-12-30,27-166,NYK,@,WAS,W (+20),1,34:08,5,14,.357,4,11,.364,4,4,1.000,2,6,8,1,0,1,0,3,18,13.6,+1
34,34,2025-01-01,27-168,NYK,,UTA,W (+16),1,40:41,10,16,.625,1,3,.333,1,3,.333,1,2,3,2,3,2,1,3,22,18.9,0
35,35,2025-01-03,27-170,NYK,@,OKC,L (-10),1,42:32,7,13,.538,3,7,.429,3,3,1.000,0,2,2,3,0,0,1,3,20,14.2,-12
36,36,2025-01-04,27-171,NYK,@,CHI,L (-13),1,32:24,5,12,.417,2,6,.333,0,0,,2,3,5,0,1,0,3,0,12,5.9,-8
37,37,2025-01-06,27-173,NYK,,ORL,L (-9),1,35:26,4,11,.364,0,3,.000,1,2,.500,3,1,4,3,1,1,1,1,9,7.3,-6
38,38,2025-01-08,27-175,NYK,,TOR,W (+14),1,37:34,8,13,.615,4,6,.667,7,8,.875,1,1,2,0,2,1,2,2,27,21.6,+24
39,39,2025-01-10,27-177,NYK,,OKC,L (-25),1,35:55,2,8,.250,0,5,.000,0,0,,1,2,3,2,0,0,2,2,4,-0.9,-6
40,40,2025-01-12,27-179,NYK,,MIL,W (+34),1,30:51,5,12,.417,1,5,.200,0,1,.000,0,1,1,2,0,1,2,3,11,3.4,+21
41,41,2025-01-13,27-180,NYK,,DET,L (-5),1,38:46,5,9,.556,0,2,.000,0,0,,2,1,3,1,1,0,3,4,10,4.5,-8
42,42,2025-01-15,27-182,NYK,@,PHI,W (+6),1,44:30,6,16,.375,3,10,.300,2,2,1.000,0,4,4,4,1,0,2,1,17,10.8,-2
43,43,2025-01-17,27-184,NYK,,MIN,L (-17),1,38:16,5,10,.500,3,6,.500,5,6,.833,4,6,10,3,1,1,1,1,18,19.6,-18
44,44,2025-01-20,27-187,NYK,,ATL,W (+9),1,40:53,2,4,.500,0,1,.000,4,4,1.000,2,7,9,2,0,0,1,3,8,8.7,+6
45,45,2025-01-21,27-188,NYK,@,BRK,W (+4),1,37:15,8,18,.444,2,6,.333,2,2,1.000,3,1,4,3,3,1,0,2,20,18.0,-4
46,46,2025-01-25,27-192,NYK,,SAC,W (+23),1,35:02,12,18,.667,4,7,.571,5,6,.833,2,1,3,4,2,1,0,2,33,31.2,+7
47,47,2025-01-27,27-194,NYK,,MEM,W (+37),1,33:32,5,12,.417,2,5,.400,3,4,.750,1,4,5,4,6,1,0,0,15,19.6,+41
48,48,2025-01-29,27-196,NYK,,DEN,W (+10),1,39:21,9,15,.600,5,7,.714,0,2,.000,1,3,4,1,0,0,1,4,23,15.0,+15
49,49,2025-02-01,27-199,NYK,,LAL,L (-16),1,16:51,5,7,.714,3,4,.750,0,0,,1,0,1,1,0,2,1,0,13,11.9,+1
50,,2025-02-03,27-201,NYK,,HOU,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2025-02-04,27-202,NYK,@,TOR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2025-02-08,27-206,NYK,,BOS,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2025-02-11,27-209,NYK,@,IND,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,,2025-02-12,27-210,NYK,,ATL,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
55,,2025-02-20,27-218,NYK,,CHI,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
56,50,2025-02-21,27-219,NYK,@,CLE,L (-37),1,26:45,2,6,.333,1,3,.333,0,0,,0,0,0,0,1,0,2,1,5,0.2,-23
57,51,2025-02-23,27-221,NYK,@,BOS,L (-13),1,35:29,2,7,.286,2,6,.333,4,4,1.000,0,2,2,2,0,0,1,3,10,5.7,-9
58,52,2025-02-26,27-224,NYK,,PHI,W (+5),1,42:05,5,15,.333,1,6,.167,5,5,1.000,0,9,9,3,2,0,1,2,16,12.5,+4
59,53,2025-02-28,27-226,NYK,@,MEM,W (+1),1,38:21,7,17,.412,4,10,.400,1,1,1.000,2,1,3,3,1,2,0,0,19,16.1,-4
60,54,2025-03-02,27-228,NYK,@,MIA,W (+4),1,42:58,9,18,.500,4,9,.444,1,2,.500,3,6,9,5,2,3,1,1,23,23.7,+8
61,55,2025-03-04,27-230,NYK,,GSW,L (-12),1,41:46,11,19,.579,4,9,.444,3,5,.600,2,1,3,3,0,0,4,4,29,17.5,-10
62,56,2025-03-06,27-232,NYK,@,LAL,L (-4),1,44:27,7,18,.389,4,11,.364,2,3,.667,1,3,4,1,0,1,2,4,20,9.2,-13
63,57,2025-03-07,27-233,NYK,@,LAC,L (-10),1,36:39,4,15,.267,2,8,.250,1,1,1.000,7,1,8,1,2,1,3,3,11,6.5,-14
