Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,19-087,NYK,@,BOS,L (-23),0,13:23,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.2,+10
2,2,2024-10-25,19-090,NYK,,IND,W (+25),0,4:24,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-3
3,,2024-10-28,19-093,NYK,,CLE,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2024-10-30,19-095,NYK,@,MIA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2024-11-01,19-097,NYK,@,DET,W (+30),0,5:06,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
6,,2024-11-04,19-100,NYK,@,HOU,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-06,19-102,NYK,@,ATL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,4,2024-11-08,19-104,NYK,,MIL,W (+22),0,4:52,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-3
9,,2024-11-10,19-106,NYK,@,IND,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-12,19-108,NYK,@,PHI,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2024-11-13,19-109,NYK,,CHI,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,5,2024-11-15,19-111,NYK,,BRK,W (+2),0,11:41,1,1,1.000,1,1,1.000,2,2,1.000,0,4,4,0,1,1,0,0,5,7.6,0
13,6,2024-11-17,19-113,NYK,,BRK,W (+10),0,9:33,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,2,0,-0.5,+9
14,7,2024-11-18,19-114,NYK,,WAS,W (+28),0,17:52,3,7,.429,3,6,.500,0,0,,0,3,3,2,0,0,0,1,9,7.2,+6
15,8,2024-11-20,19-116,NYK,@,PHO,W (+16),0,1:43,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
16,9,2024-11-23,19-119,NYK,@,UTA,L (-15),0,3:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
17,10,2024-11-25,19-121,NYK,@,DEN,W (+27),0,2:19,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+2
