Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,22-121,OKC,@,DEN,W (+15),0,6:51,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-2.1,-1
2,2,2024-10-26,22-123,OKC,@,CHI,W (+19),0,15:43,2,5,.400,0,0,,0,0,,0,1,1,3,2,0,1,2,4,3.9,0
3,3,2024-10-27,22-124,OKC,,ATL,W (+24),0,14:27,0,1,.000,0,0,,0,0,,0,3,3,3,0,1,0,1,0,2.6,+12
4,4,2024-10-30,22-127,OKC,,SAS,W (+12),0,21:52,5,6,.833,1,1,1.000,1,2,.500,0,4,4,0,2,0,0,0,12,12.6,+7
5,5,2024-11-01,22-129,OKC,@,POR,W (+23),0,17:13,3,6,.500,2,3,.667,0,0,,2,0,2,2,0,0,1,4,8,5.2,+11
6,6,2024-11-02,22-130,OKC,@,LAC,W (+13),0,7:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,4,0,-3.6,-5
7,7,2024-11-04,22-132,OKC,,ORL,W (+16),0,12:25,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,1,0,4,2.0,-2
8,8,2024-11-06,22-134,OKC,@,DEN,L (-2),0,9:11,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,0,2,3,2.9,-4
9,9,2024-11-08,22-136,OKC,,HOU,W (+19),0,19:43,5,6,.833,1,2,.500,1,1,1.000,0,2,2,7,3,0,0,2,12,17.5,+18
10,10,2024-11-10,22-138,OKC,,GSW,L (-11),0,20:36,5,9,.556,0,1,.000,2,2,1.000,0,2,2,1,1,0,1,1,12,8.6,+5
11,11,2024-11-11,22-139,OKC,,LAC,W (+6),0,10:31,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,2,1,2,-1.1,+2
12,12,2024-11-13,22-141,OKC,,NOP,W (+18),0,25:51,2,4,.500,0,0,,2,2,1.000,0,2,2,3,2,0,0,2,6,7.9,+18
13,13,2024-11-15,22-143,OKC,,PHO,W (+16),0,22:38,3,7,.429,1,2,.500,0,0,,2,2,4,3,0,0,1,2,7,5.6,-2
14,14,2024-11-17,22-145,OKC,,DAL,L (-2),0,19:00,1,5,.200,0,2,.000,1,2,.500,0,1,1,2,1,0,0,3,3,1.0,-3
15,15,2024-11-19,22-147,OKC,@,SAS,L (-6),0,13:26,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,2,2,3,1.6,+4
16,16,2024-11-20,22-148,OKC,,POR,W (+10),0,22:20,4,8,.500,2,3,.667,0,0,,2,2,4,1,2,0,2,1,10,8.3,+12
17,17,2024-11-25,22-153,OKC,@,SAC,W (+21),0,17:47,5,7,.714,1,1,1.000,2,2,1.000,0,0,0,1,0,0,0,1,13,10.4,0
18,18,2024-11-27,22-155,OKC,@,GSW,W (+4),0,16:27,1,8,.125,0,3,.000,0,0,,1,0,1,0,1,0,1,2,2,-3.3,-4
19,19,2024-11-29,22-157,OKC,@,LAL,W (+8),0,17:57,1,3,.333,1,3,.333,1,2,.500,0,0,0,0,1,0,0,1,4,2.5,+1
20,20,2024-12-01,22-159,OKC,@,HOU,L (-3),0,7:14,0,4,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,0,-3.5,-5
21,21,2024-12-03,22-161,OKC,,UTA,W (+27),0,16:58,2,3,.667,1,2,.500,0,0,,1,1,2,1,1,0,1,4,5,3.8,+1
22,22,2024-12-05,22-163,OKC,@,TOR,W (+37),0,18:53,6,9,.667,1,1,1.000,0,0,,0,0,0,3,2,0,0,4,13,11.6,+8
23,23,2024-12-07,22-165,OKC,@,NOP,W (+10),0,18:44,4,8,.500,0,1,.000,2,2,1.000,0,3,3,4,0,1,1,1,10,9.0,+11
24,24,2024-12-10,22-168,OKC,,DAL,W (+14),0,9:43,1,3,.333,0,0,,0,0,,1,0,1,2,1,0,1,2,2,1.6,-8
25,25,2024-12-14,22-172,OKC,,HOU,W (+15),0,9:05,0,0,,0,0,,2,2,1.000,0,2,2,1,0,0,0,1,2,2.9,+8
26,26,2024-12-19,22-177,OKC,@,ORL,W (+6),0,9:28,1,2,.500,1,1,1.000,2,2,1.000,0,1,1,2,0,0,1,1,5,4.3,+7
27,27,2024-12-20,22-178,OKC,@,MIA,W (+7),0,13:20,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,0,3,2,2,-0.8,-15
28,28,2024-12-23,22-181,OKC,,WAS,W (+18),0,21:31,6,7,.857,2,3,.667,2,3,.667,3,9,12,2,1,1,2,2,16,18.2,+20
29,29,2024-12-26,22-184,OKC,@,IND,W (+6),0,15:47,4,5,.800,1,2,.500,0,1,.000,0,1,1,0,1,0,0,1,9,7.6,+1
30,30,2024-12-28,22-186,OKC,@,CHO,W (+12),1,31:34,4,8,.500,1,2,.500,1,1,1.000,1,4,5,4,0,0,1,1,10,9.3,+7
31,31,2024-12-29,22-187,OKC,,MEM,W (+24),0,21:35,6,11,.545,3,5,.600,2,2,1.000,0,1,1,3,1,0,0,3,17,13.9,+20
