Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,30-239,OKC,@,DEN,W (+15),0,19:05,0,2,.000,0,1,.000,0,0,,2,4,6,4,0,0,1,2,0,2.2,+19
2,2,2024-10-26,30-241,OKC,@,CHI,W (+19),0,21:40,1,5,.200,1,3,.333,0,0,,0,2,2,2,2,2,0,3,3,4.1,+2
3,3,2024-10-27,30-242,OKC,,ATL,W (+24),0,21:21,1,3,.333,0,2,.000,0,1,.000,1,1,2,1,3,2,2,1,2,3.6,+17
4,4,2024-10-30,30-245,OKC,,SAS,W (+12),0,21:54,0,5,.000,0,3,.000,0,0,,0,2,2,2,4,0,1,0,0,1.5,+1
5,5,2024-11-01,30-247,OKC,@,POR,W (+23),0,17:23,3,5,.600,0,2,.000,0,0,,1,2,3,2,0,0,0,4,6,4.8,+9
6,6,2024-11-02,30-248,OKC,@,LAC,W (+13),0,15:40,2,6,.333,1,5,.200,0,0,,0,2,2,0,2,0,0,4,5,2.6,+8
7,7,2024-11-04,30-250,OKC,,ORL,W (+16),0,20:49,1,3,.333,1,2,.500,0,0,,0,0,0,5,1,0,2,4,3,2.2,+10
8,8,2024-11-06,30-252,OKC,@,DEN,L (-2),0,21:35,1,9,.111,0,3,.000,0,0,,1,5,6,4,4,2,0,5,2,4.5,-8
9,9,2024-11-08,30-254,OKC,,HOU,W (+19),0,13:46,3,5,.600,2,3,.667,2,2,1.000,1,3,4,1,1,0,0,2,10,10.2,+7
10,10,2024-11-10,30-256,OKC,,GSW,L (-11),0,22:15,1,5,.200,0,3,.000,1,2,.500,2,1,3,4,1,0,0,2,3,4.2,-17
11,11,2024-11-11,30-257,OKC,,LAC,W (+6),0,19:34,4,7,.571,2,5,.400,2,2,1.000,1,1,2,0,1,1,1,5,12,8.4,-12
12,,2024-11-13,30-259,OKC,,NOP,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2024-11-15,30-261,OKC,,PHO,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2024-11-17,30-263,OKC,,DAL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,12,2024-11-19,30-265,OKC,@,SAS,L (-6),0,25:45,1,7,.143,0,5,.000,0,0,,0,5,5,1,3,2,1,0,2,3.1,-2
16,13,2024-11-20,30-266,OKC,,POR,W (+10),0,15:20,8,11,.727,1,2,.500,0,0,,0,1,1,2,2,0,1,2,17,14.4,+10
17,,2024-11-25,30-271,OKC,@,SAC,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2024-11-27,30-273,OKC,@,GSW,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2024-11-29,30-275,OKC,@,LAL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-12-01,30-277,OKC,@,HOU,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-03,30-279,OKC,,UTA,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,14,2024-12-05,30-281,OKC,@,TOR,W (+37),0,17:26,3,7,.429,2,3,.667,0,0,,0,4,4,2,2,1,1,1,8,8.2,+6
23,15,2024-12-07,30-283,OKC,@,NOP,W (+10),0,24:07,6,7,.857,2,3,.667,0,0,,0,2,2,3,2,0,2,1,14,13.8,+5
24,16,2024-12-10,30-286,OKC,,DAL,W (+14),0,22:25,2,7,.286,2,6,.333,0,0,,1,3,4,4,2,0,1,0,6,7.3,+2
25,17,2024-12-14,30-290,OKC,,HOU,W (+15),0,19:41,0,3,.000,0,3,.000,0,0,,0,2,2,2,1,0,0,3,0,-0.3,+16
26,18,2024-12-19,30-295,OKC,@,ORL,W (+6),0,18:00,3,7,.429,3,7,.429,2,2,1.000,0,3,3,1,3,0,0,1,11,11.5,+12
27,19,2024-12-20,30-296,OKC,@,MIA,W (+7),0,25:29,2,5,.400,0,2,.000,0,0,,1,2,3,5,2,2,2,0,4,7.5,-3
28,20,2024-12-23,30-299,OKC,,WAS,W (+18),0,14:57,1,5,.200,0,2,.000,0,0,,1,1,2,4,2,0,0,0,2,4.7,+22
29,,2024-12-26,30-302,OKC,@,IND,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-28,30-304,OKC,@,CHO,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2024-12-29,30-305,OKC,,MEM,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2024-12-31,30-307,OKC,,MIN,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2025-01-02,30-309,OKC,,LAC,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2025-01-03,30-310,OKC,,NYK,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2025-01-05,30-312,OKC,,BOS,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2025-01-08,30-315,OKC,@,CLE,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
37,,2025-01-10,30-317,OKC,@,NYK,W (+25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
38,,2025-01-12,30-319,OKC,@,WAS,W (+41),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
39,21,2025-01-14,30-321,OKC,@,PHI,W (+16),0,17:48,1,4,.250,1,3,.333,0,0,,0,1,1,1,2,1,0,2,3,3.5,-15
40,22,2025-01-16,30-323,OKC,,CLE,W (+20),0,13:34,3,3,1.000,2,2,1.000,2,2,1.000,0,1,1,2,3,0,0,1,10,13.4,+19
41,23,2025-01-17,30-324,OKC,@,DAL,L (-8),0,19:42,2,9,.222,2,4,.500,0,0,,2,1,3,2,0,0,0,1,6,3.2,+11
42,24,2025-01-19,30-326,OKC,,BRK,W (+26),0,19:10,3,6,.500,0,1,.000,0,0,,0,3,3,3,0,0,0,1,6,5.6,+9
43,25,2025-01-22,30-329,OKC,,UTA,W (+9),0,20:24,3,7,.429,1,4,.250,0,0,,1,2,3,5,4,0,1,3,7,9.9,+16
44,26,2025-01-23,30-330,OKC,,DAL,L (-6),0,21:21,3,5,.600,2,4,.500,0,1,.000,1,2,3,5,2,1,1,2,8,11.0,+12
45,27,2025-01-26,30-333,OKC,@,POR,W (+10),0,22:44,1,6,.167,1,6,.167,0,0,,2,2,4,2,0,0,1,2,3,0.8,+21
46,28,2025-01-29,30-336,OKC,@,GSW,L (-7),0,0:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
47,,2025-02-01,30-339,OKC,,SAC,W (+34),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2025-02-03,30-341,OKC,,MIL,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,29,2025-02-05,30-343,OKC,,PHO,W (+31),0,17:12,2,6,.333,1,5,.200,0,0,,1,0,1,2,1,1,1,4,5,2.8,+5
50,30,2025-02-07,30-345,OKC,,TOR,W (+12),0,20:18,5,7,.714,2,4,.500,0,0,,1,5,6,4,3,1,0,2,12,17.0,+11
51,31,2025-02-08,30-346,OKC,@,MEM,W (+13),1,27:00,5,10,.500,2,4,.500,2,2,1.000,2,1,3,2,1,0,0,3,14,11.9,+7
52,32,2025-02-10,30-348,OKC,,NOP,W (+36),0,17:46,4,7,.571,4,7,.571,0,0,,1,1,2,5,2,0,1,3,12,13.0,+23
53,33,2025-02-12,30-350,OKC,,MIA,W (+14),0,12:48,0,1,.000,0,0,,2,2,1.000,0,1,1,2,0,0,0,1,2,2.6,+3
54,,2025-02-13,30-351,OKC,@,MIN,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
