Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,20-352,OKC,@,DEN,W (+15),0,23:02,2,7,.286,0,1,.000,0,0,,2,2,4,0,2,0,0,1,4,3.5,+18
2,2,2024-10-26,20-354,OKC,@,CHI,W (+19),1,29:18,4,11,.364,0,4,.000,1,1,1.000,1,5,6,2,3,0,0,1,9,9.1,+15
3,3,2024-10-27,20-355,OKC,,ATL,W (+24),0,23:18,2,6,.333,1,4,.250,0,0,,0,4,4,1,3,0,2,2,5,3.7,+13
4,4,2024-10-30,20-358,OKC,,SAS,W (+12),1,29:08,4,9,.444,1,3,.333,0,0,,1,0,1,2,2,1,1,3,9,6.9,+8
5,5,2024-11-01,20-360,OKC,@,POR,W (+23),0,22:45,5,7,.714,3,5,.600,0,0,,0,1,1,3,1,1,1,0,13,13.2,+13
6,6,2024-11-02,20-361,OKC,@,LAC,W (+13),0,24:38,3,4,.750,1,2,.500,0,0,,0,4,4,1,0,1,0,2,7,7.2,+14
7,7,2024-11-04,20-363,OKC,,ORL,W (+16),1,26:59,2,6,.333,0,1,.000,0,0,,0,4,4,1,0,1,1,3,4,1.0,+7
8,8,2024-11-06,20-365,OKC,@,DEN,L (-2),0,20:16,2,8,.250,0,3,.000,0,0,,0,2,2,2,2,0,1,4,4,0.6,-7
9,9,2024-11-08,21-001,OKC,,HOU,W (+19),1,22:52,2,4,.500,0,1,.000,0,0,,3,2,5,1,1,1,0,2,4,6.3,+3
10,10,2024-11-10,21-003,OKC,,GSW,L (-11),0,30:18,6,10,.600,2,2,1.000,2,2,1.000,1,1,2,0,0,0,0,2,16,11.6,-3
11,11,2024-11-11,21-004,OKC,,LAC,W (+6),0,19:34,0,6,.000,0,4,.000,0,0,,1,1,2,4,2,0,1,1,0,0.2,-8
