Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,23-193,OKC,@,DEN,W (+15),1,33:43,5,16,.313,2,8,.250,0,1,.000,1,2,3,3,0,2,5,3,12,1.0,0
2,2,2024-10-26,23-195,OKC,@,CHI,W (+19),1,32:04,10,22,.455,1,4,.250,3,3,1.000,2,7,9,8,0,0,2,1,24,19.3,+5
3,3,2024-10-27,23-196,OKC,,ATL,W (+24),1,32:53,8,17,.471,0,3,.000,4,8,.500,2,7,9,5,2,0,0,4,20,17.1,+14
4,4,2024-10-30,23-199,OKC,,SAS,W (+12),1,26:42,5,13,.385,1,3,.333,1,2,.500,0,7,7,8,4,1,1,3,12,14.7,+19
5,5,2024-11-01,23-201,OKC,@,POR,W (+23),1,26:16,8,12,.667,4,6,.667,2,2,1.000,1,4,5,4,4,0,3,2,22,21.7,+16
6,6,2024-11-02,23-202,OKC,@,LAC,W (+13),1,34:02,5,16,.313,3,5,.600,2,2,1.000,0,7,7,4,2,0,4,4,15,7.1,+10
7,7,2024-11-04,23-204,OKC,,ORL,W (+16),1,34:32,10,17,.588,3,7,.429,0,0,,0,4,4,1,3,1,1,3,23,18.5,-1
8,8,2024-11-06,23-206,OKC,@,DEN,L (-2),1,36:03,11,20,.550,4,8,.500,3,5,.600,2,8,10,9,3,0,1,4,29,29.1,+3
9,9,2024-11-08,23-208,OKC,,HOU,W (+19),1,31:39,7,11,.636,0,1,.000,0,0,,0,5,5,3,0,1,3,3,14,9.2,+21
10,10,2024-11-10,23-210,OKC,,GSW,L (-11),1,31:18,9,15,.600,0,2,.000,2,2,1.000,1,2,3,4,1,4,4,2,20,16.2,-19
11,11,2024-11-11,23-211,OKC,,LAC,W (+6),1,35:25,11,16,.688,2,3,.667,4,4,1.000,2,6,8,6,2,0,2,4,28,27.0,+5
12,12,2024-11-13,23-213,OKC,,NOP,W (+18),1,31:15,10,18,.556,4,7,.571,7,7,1.000,1,5,6,7,4,2,2,1,31,32.5,+13
13,13,2024-11-15,23-215,OKC,,PHO,W (+16),1,30:19,6,16,.375,0,4,.000,2,2,1.000,0,8,8,3,2,2,1,3,14,10.9,+12
14,14,2024-11-17,23-217,OKC,,DAL,L (-2),1,35:09,11,17,.647,3,6,.500,2,2,1.000,2,3,5,5,1,1,1,5,27,24.0,-2
15,15,2024-11-19,23-219,OKC,@,SAS,L (-6),1,33:51,13,26,.500,0,6,.000,1,1,1.000,3,7,10,5,5,0,1,3,27,24.5,-17
