Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,25-188,OKC,@,DEN,W (+15),1,28:35,2,7,.286,0,2,.000,1,1,1.000,1,1,2,0,3,1,0,3,5,4.4,-1
2,2,2024-10-26,25-190,OKC,@,CHI,W (+19),1,24:44,2,5,.400,1,3,.333,2,2,1.000,0,2,2,1,0,0,1,0,7,4.6,+16
3,3,2024-10-27,25-191,OKC,,ATL,W (+24),1,28:50,5,7,.714,4,6,.667,2,2,1.000,1,1,2,1,0,0,0,5,16,12.8,+17
4,4,2024-10-30,25-194,OKC,,SAS,W (+12),1,25:05,7,9,.778,6,8,.750,0,0,,3,3,6,1,0,2,0,1,20,21.2,+6
5,5,2024-11-01,25-196,OKC,@,POR,W (+23),1,25:28,3,9,.333,1,4,.250,1,1,1.000,1,4,5,2,4,2,0,1,8,11.2,+14
6,6,2024-11-02,25-197,OKC,@,LAC,W (+13),1,29:44,6,12,.500,1,4,.250,3,4,.750,1,3,4,3,0,0,0,4,16,11.7,+2
7,7,2024-11-04,25-199,OKC,,ORL,W (+16),1,27:54,2,6,.333,2,4,.500,0,0,,1,2,3,1,2,0,2,3,6,3.4,0
8,8,2024-11-06,25-201,OKC,@,DEN,L (-2),1,25:40,3,6,.500,3,5,.600,2,2,1.000,0,6,6,3,3,2,1,4,11,13.7,+5
9,9,2024-11-08,25-203,OKC,,HOU,W (+19),1,18:59,1,7,.143,1,5,.200,0,0,,0,0,0,1,0,0,1,3,3,-3.0,+7
10,10,2024-11-10,25-205,OKC,,GSW,L (-11),1,29:38,6,11,.545,3,8,.375,1,1,1.000,1,5,6,3,1,1,0,4,16,15.1,-9
11,11,2024-11-11,25-206,OKC,,LAC,W (+6),1,35:10,7,14,.500,4,8,.500,1,1,1.000,0,2,2,1,2,0,3,5,19,10.3,+6
12,12,2024-11-13,25-208,OKC,,NOP,W (+18),1,32:09,3,6,.500,3,5,.600,2,4,.500,0,3,3,1,2,1,0,3,11,10.3,+6
13,13,2024-11-15,25-210,OKC,,PHO,W (+16),1,31:36,5,11,.455,2,7,.286,3,3,1.000,3,6,9,2,0,1,1,1,15,13.9,+23
14,14,2024-11-17,25-212,OKC,,DAL,L (-2),1,35:37,5,10,.500,4,9,.444,4,6,.667,2,3,5,3,0,0,1,2,18,14.8,+13
15,15,2024-11-19,25-214,OKC,@,SAS,L (-6),1,32:27,2,12,.167,2,8,.250,0,0,,6,6,12,2,2,1,2,2,6,5.7,+3
16,16,2024-11-20,25-215,OKC,,POR,W (+10),1,29:49,0,7,.000,0,6,.000,2,2,1.000,1,4,5,2,0,1,0,4,2,-0.5,-3
17,17,2024-11-25,25-220,OKC,@,SAC,W (+21),1,39:27,0,2,.000,0,0,,0,0,,2,8,10,2,2,1,0,2,0,5.7,+20
18,18,2024-11-27,25-222,OKC,@,GSW,W (+4),1,31:52,1,5,.200,0,3,.000,0,0,,2,3,5,2,1,1,1,4,2,1.7,-1
19,19,2024-11-29,25-224,OKC,@,LAL,W (+8),1,24:08,5,8,.625,4,5,.800,0,0,,2,0,2,2,0,0,0,5,14,11.2,+6
20,20,2024-12-01,25-226,OKC,@,HOU,L (-3),1,26:54,2,6,.333,2,5,.400,0,0,,1,2,3,6,1,2,0,6,6,8.1,+2
21,21,2024-12-03,25-228,OKC,,UTA,W (+27),1,30:07,2,6,.333,1,5,.200,0,0,,1,1,2,1,0,0,1,0,5,2.3,+20
22,22,2024-12-05,25-230,OKC,@,TOR,W (+37),1,27:55,3,12,.250,0,6,.000,0,0,,2,4,6,1,2,3,0,4,6,4.6,+7
23,23,2024-12-07,25-232,OKC,@,NOP,W (+10),1,31:20,5,10,.500,4,7,.571,0,0,,2,3,5,1,2,1,0,4,14,13.1,+3
24,24,2024-12-10,25-235,OKC,,DAL,W (+14),1,31:39,4,10,.400,3,7,.429,0,0,,3,3,6,2,1,1,0,3,11,10.5,0
25,25,2024-12-14,25-239,OKC,,HOU,W (+15),1,31:16,5,11,.455,5,9,.556,4,6,.667,2,7,9,1,3,0,0,3,19,18.5,+10
26,26,2024-12-19,25-244,OKC,@,ORL,W (+6),1,26:28,1,5,.200,0,4,.000,0,0,,1,3,4,1,2,1,2,5,2,-0.1,+8
27,27,2024-12-20,25-245,OKC,@,MIA,W (+7),1,32:20,5,7,.714,4,5,.800,0,0,,1,0,1,0,2,0,0,5,14,11.8,+10
28,28,2024-12-23,25-248,OKC,,WAS,W (+18),1,24:34,0,6,.000,0,5,.000,0,0,,2,0,2,1,0,1,0,2,0,-2.2,+1
29,29,2024-12-26,25-251,OKC,@,IND,W (+6),1,34:32,5,13,.385,3,8,.375,0,0,,3,4,7,0,0,0,0,3,13,8.0,+11
30,,2024-12-28,25-253,OKC,@,CHO,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,30,2024-12-29,25-254,OKC,,MEM,W (+24),1,26:26,1,6,.167,1,5,.200,0,0,,1,3,4,2,0,0,0,3,3,1.0,+13
32,31,2024-12-31,25-256,OKC,,MIN,W (+8),1,34:36,5,12,.417,4,7,.571,0,0,,2,4,6,2,0,0,1,2,14,9.8,+3
33,32,2025-01-02,25-258,OKC,,LAC,W (+18),1,23:24,3,7,.429,3,7,.429,0,0,,0,1,1,0,2,0,0,3,9,6.4,+26
34,33,2025-01-03,25-259,OKC,,NYK,W (+10),1,32:31,4,7,.571,3,5,.600,0,0,,0,2,2,1,1,1,1,5,11,7.7,+9
35,34,2025-01-05,25-261,OKC,,BOS,W (+13),1,38:49,5,14,.357,4,9,.444,0,0,,2,4,6,1,1,1,3,3,14,7.0,+12
36,35,2025-01-08,25-264,OKC,@,CLE,L (-7),1,33:45,2,6,.333,1,3,.333,2,2,1.000,0,4,4,4,1,2,2,3,7,6.8,-15
37,36,2025-01-10,25-266,OKC,@,NYK,W (+25),1,22:48,2,5,.400,2,3,.667,0,0,,2,3,5,2,1,0,1,4,6,5.4,+13
38,37,2025-01-12,25-268,OKC,@,WAS,W (+41),1,24:04,5,8,.625,1,3,.333,0,0,,0,2,2,1,2,0,1,2,11,8.9,+14
39,38,2025-01-14,25-270,OKC,@,PHI,W (+16),1,26:40,3,8,.375,2,5,.400,0,0,,1,1,2,1,0,0,2,2,8,2.5,+30
40,39,2025-01-16,25-272,OKC,,CLE,W (+20),1,19:42,8,11,.727,6,9,.667,0,0,,0,2,2,2,1,1,1,4,22,18.6,+12
41,40,2025-01-17,25-273,OKC,@,DAL,L (-8),1,35:35,6,10,.600,6,8,.750,0,0,,2,3,5,3,1,0,1,2,18,17.0,-5
42,41,2025-01-19,25-275,OKC,,BRK,W (+26),1,21:19,0,6,.000,0,5,.000,0,0,,0,3,3,3,0,0,2,1,0,-3.6,+18
43,42,2025-01-22,25-278,OKC,,UTA,W (+9),1,32:10,2,5,.400,1,4,.250,0,0,,3,2,5,4,0,0,0,5,5,5.8,-7
44,43,2025-01-23,25-279,OKC,,DAL,L (-6),1,22:42,2,5,.400,2,5,.400,0,0,,1,3,4,1,0,0,0,3,6,4.4,-20
45,,2025-01-26,25-282,OKC,@,POR,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,44,2025-01-29,25-285,OKC,@,GSW,L (-7),1,35:46,2,8,.250,0,4,.000,0,0,,5,1,6,2,1,0,1,4,4,2.8,-9
