Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-288,ORL,@,MIA,W (+19),0,5:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-13
2,,2024-10-25,21-290,ORL,,BRK,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2024-10-26,21-291,ORL,@,MEM,L (-13),0,4:53,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,1,6,4.3,+11
4,,2024-10-28,21-293,ORL,,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-30,21-295,ORL,@,CHI,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3,2024-11-01,21-297,ORL,@,CLE,L (-11),0,4:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+7
7,4,2024-11-03,21-299,ORL,@,DAL,L (-23),0,6:59,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,1,2,0.9,+3
8,5,2024-11-04,21-300,ORL,@,OKC,L (-16),0,9:05,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.2,-5
9,,2024-11-06,21-302,ORL,@,IND,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,6,2024-11-08,21-304,ORL,,NOP,W (+27),0,3:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,0.3,+3
11,7,2024-11-10,21-306,ORL,,WAS,W (+27),0,3:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
12,8,2024-11-12,21-308,ORL,,CHO,W (+25),0,4:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
13,,2024-11-13,21-309,ORL,,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,9,2024-11-15,21-311,ORL,,PHI,W (+12),0,1:13,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
15,,2024-11-18,21-314,ORL,@,PHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10,2024-11-20,21-316,ORL,@,LAC,L (-11),0,3:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
17,,2024-11-21,21-317,ORL,@,LAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,11,2024-11-23,21-319,ORL,,DET,W (+11),0,5:36,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-8
19,,2024-11-25,21-321,ORL,@,CHO,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,12,2024-11-27,21-323,ORL,,CHI,W (+14),0,4:25,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-8
21,13,2024-11-29,21-325,ORL,@,BRK,W (+23),0,2:40,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,0
