Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,30-039,ORL,@,MIA,W (+19),0,21:46,6,9,.667,6,9,.667,0,0,,1,2,3,1,0,2,1,1,18,16.1,+2
2,2,2024-10-25,30-041,ORL,,BRK,W (+15),0,16:22,2,5,.400,2,5,.400,0,0,,0,1,1,0,0,1,0,0,6,4.3,+4
3,3,2024-10-26,30-042,ORL,@,MEM,L (-13),0,4:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
4,4,2024-10-28,30-044,ORL,,IND,W (+4),0,26:02,0,5,.000,0,3,.000,0,0,,0,3,3,1,0,1,0,1,0,-1.6,-3
5,5,2024-10-30,30-046,ORL,@,CHI,L (-3),0,18:22,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,0,0,-0.4,+6
6,6,2024-11-01,30-048,ORL,@,CLE,L (-11),0,20:19,0,4,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,1,0,-2.9,-3
7,7,2024-11-03,30-050,ORL,@,DAL,L (-23),0,14:19,2,6,.333,0,3,.000,0,0,,1,0,1,0,0,0,1,0,4,0.3,-14
8,,2024-11-04,30-051,ORL,@,OKC,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8,2024-11-06,30-053,ORL,@,IND,L (-7),0,14:18,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,1,0,5,3.0,-2
10,9,2024-11-08,30-055,ORL,,NOP,W (+27),0,19:29,2,3,.667,1,2,.500,2,3,.667,1,0,1,2,0,1,0,1,7,7.7,+26
11,10,2024-11-10,30-057,ORL,,WAS,W (+27),0,18:43,2,4,.500,2,4,.500,0,0,,0,1,1,0,0,0,1,0,6,3.3,+9
12,11,2024-11-12,30-059,ORL,,CHO,W (+25),0,16:48,0,2,.000,0,2,.000,0,0,,1,2,3,1,2,0,0,0,0,2.6,+20
13,,2024-11-13,30-060,ORL,,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,12,2024-11-15,30-062,ORL,,PHI,W (+12),0,13:40,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,1,0,0.6,+8
15,13,2024-11-18,30-065,ORL,@,PHO,W (+10),0,11:11,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,+1
16,14,2024-11-20,30-067,ORL,@,LAC,L (-11),0,15:07,1,4,.250,0,3,.000,0,0,,0,0,0,0,2,0,0,1,2,1.2,+4
17,15,2024-11-21,30-068,ORL,@,LAL,W (+1),1,25:58,4,7,.571,3,6,.500,0,0,,1,0,1,1,0,0,1,2,11,7.3,+1
18,16,2024-11-23,30-070,ORL,,DET,W (+11),0,18:00,2,3,.667,1,2,.500,2,3,.667,1,1,2,0,3,0,0,2,7,8.5,+3
