Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,25-095,ORL,@,MIA,W (+19),0,5:21,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,1,0,-2.5,-13
2,2,2024-10-25,25-097,ORL,,BRK,W (+15),0,6:24,1,2,.500,0,0,,1,2,.500,1,1,2,0,0,0,0,0,3,2.6,+9
3,3,2024-10-26,25-098,ORL,@,MEM,L (-13),0,5:05,1,1,1.000,0,0,,0,0,,1,0,1,1,0,1,0,0,2,3.8,-2
4,,2024-10-28,25-100,ORL,,IND,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,25-102,ORL,@,CHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-01,25-104,ORL,@,CLE,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,,2024-11-03,25-106,ORL,@,DAL,L (-23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,4,2024-11-04,25-107,ORL,@,OKC,L (-16),1,26:44,5,8,.625,0,1,.000,1,2,.500,3,6,9,4,1,1,1,2,11,13.6,0
9,5,2024-11-06,25-109,ORL,@,IND,L (-7),1,29:49,5,10,.500,0,2,.000,0,0,,4,8,12,2,1,3,2,5,10,10.7,-5
10,6,2024-11-08,25-111,ORL,,NOP,W (+27),1,26:43,5,6,.833,0,0,,1,1,1.000,5,4,9,3,1,2,0,3,11,16.8,+7
11,7,2024-11-10,25-113,ORL,,WAS,W (+27),1,21:39,5,6,.833,0,0,,0,0,,6,6,12,3,0,1,0,1,10,16.2,+13
12,8,2024-11-12,25-115,ORL,,CHO,W (+25),1,20:09,3,5,.600,0,1,.000,3,4,.750,1,1,2,2,0,1,1,2,9,7.6,-4
13,9,2024-11-13,25-116,ORL,,IND,W (+4),1,27:49,6,7,.857,0,0,,0,0,,6,6,12,1,1,2,3,4,12,14.0,+3
14,10,2024-11-15,25-118,ORL,,PHI,W (+12),1,26:54,1,1,1.000,0,0,,0,0,,1,3,4,1,1,2,5,2,2,0.6,-3
15,11,2024-11-18,25-121,ORL,@,PHO,W (+10),1,31:09,7,8,.875,0,0,,3,4,.750,3,7,10,1,0,2,1,5,17,17.1,+9
16,12,2024-11-20,25-123,ORL,@,LAC,L (-11),1,19:58,3,6,.500,0,1,.000,3,3,1.000,0,2,2,1,1,1,1,2,9,7.2,-3
17,13,2024-11-21,25-124,ORL,@,LAL,W (+1),1,29:31,3,4,.750,0,0,,1,1,1.000,4,11,15,2,1,1,2,5,7,10.6,+13
18,14,2024-11-23,25-126,ORL,,DET,W (+11),1,17:39,4,5,.800,0,1,.000,0,0,,0,1,1,1,1,3,2,3,8,7.0,+7
19,15,2024-11-25,25-128,ORL,@,CHO,W (+11),1,21:36,3,6,.500,0,0,,0,0,,2,2,4,2,1,1,1,1,6,6.7,-4
20,16,2024-11-27,25-130,ORL,,CHI,W (+14),1,25:17,4,4,1.000,0,0,,3,4,.750,2,9,11,3,2,2,1,1,11,17.6,+21
21,17,2024-11-29,25-132,ORL,@,BRK,W (+23),1,26:51,2,6,.333,0,0,,4,4,1.000,3,3,6,3,1,5,2,5,8,10.2,+28
22,18,2024-12-01,25-134,ORL,@,BRK,W (+8),1,31:48,4,6,.667,0,0,,4,6,.667,4,9,13,2,3,2,1,4,12,17.3,+15
23,,2024-12-03,25-136,ORL,@,NYK,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,19,2024-12-04,25-137,ORL,@,PHI,W (+4),1,20:55,3,4,.750,0,0,,0,0,,2,4,6,1,1,1,0,2,6,8.6,+1
25,20,2024-12-06,25-139,ORL,@,PHI,L (-8),1,25:54,3,5,.600,0,1,.000,3,4,.750,1,3,4,2,0,2,3,3,9,6.5,-1
26,21,2024-12-08,25-141,ORL,,PHO,W (+5),1,30:38,8,15,.533,0,1,.000,5,6,.833,9,7,16,4,0,0,1,1,21,23.1,-1
27,22,2024-12-10,25-143,ORL,@,MIL,L (-5),1,38:01,6,13,.462,0,2,.000,0,0,,5,9,14,4,1,1,0,5,12,14.0,-4
