Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-039,ORL,@,MIA,W (+19),0,5:21,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-13
2,2,2024-10-25,21-041,ORL,,BRK,W (+15),0,1:33,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1
3,3,2024-10-26,21-042,ORL,@,MEM,L (-13),0,11:33,4,6,.667,3,5,.600,0,0,,0,2,2,0,0,0,0,1,11,8.6,-1
4,4,2024-10-28,21-044,ORL,,IND,W (+4),0,8:07,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,2,0,0.2,-5
5,5,2024-10-30,21-046,ORL,@,CHI,L (-3),0,11:01,1,4,.250,1,4,.250,0,0,,0,2,2,0,0,1,0,1,3,1.5,+6
6,6,2024-11-01,21-048,ORL,@,CLE,L (-11),0,17:27,3,7,.429,3,6,.500,0,0,,0,3,3,0,0,1,0,0,9,6.9,0
7,7,2024-11-03,21-050,ORL,@,DAL,L (-23),0,22:08,4,12,.333,2,8,.250,2,2,1.000,0,1,1,0,1,0,2,1,12,4.1,+4
8,8,2024-11-04,21-051,ORL,@,OKC,L (-16),0,11:11,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,1,0,0,0,-0.7,-9
9,9,2024-11-06,21-053,ORL,@,IND,L (-7),0,3:05,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,1,0,-3.5,-3
10,10,2024-11-08,21-055,ORL,,NOP,W (+27),0,4:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+3
11,11,2024-11-10,21-057,ORL,,WAS,W (+27),0,5:29,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,0,0,0,9,8.1,+4
12,12,2024-11-12,21-059,ORL,,CHO,W (+25),0,6:14,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,2,3,-0.5,-3
13,13,2024-11-13,21-060,ORL,,IND,W (+4),0,13:45,2,3,.667,2,3,.667,0,0,,0,0,0,2,0,1,1,2,6,5.0,-6
14,14,2024-11-15,21-062,ORL,,PHI,W (+12),0,1:13,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,3,3.3,-1
15,,2024-11-18,21-065,ORL,@,PHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,15,2024-11-20,21-067,ORL,@,LAC,L (-11),0,11:21,2,5,.400,0,3,.000,0,0,,0,3,3,1,0,1,0,2,4,2.8,+3
17,16,2024-11-21,21-068,ORL,@,LAL,W (+1),0,10:45,1,1,1.000,0,0,,0,0,,2,0,2,2,0,0,1,1,2,3.1,-7
18,17,2024-11-23,21-070,ORL,,DET,W (+11),0,15:00,4,8,.500,2,5,.400,0,0,,3,1,4,0,0,0,0,1,10,8.0,+3
19,18,2024-11-25,21-072,ORL,@,CHO,W (+11),0,23:23,0,4,.000,0,4,.000,0,0,,0,2,2,2,0,0,0,1,0,-1.2,+16
20,19,2024-11-27,21-074,ORL,,CHI,W (+14),0,4:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
21,20,2024-11-29,21-076,ORL,@,BRK,W (+23),0,16:13,3,6,.500,2,4,.500,0,0,,2,0,2,0,1,0,0,0,8,7.4,+5
