Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,31-248,ORL,@,MIA,W (+19),1,25:09,0,5,.000,0,5,.000,3,3,1.000,1,0,1,2,1,2,2,1,3,1.6,+24
2,2,2024-10-25,31-250,ORL,,BRK,W (+15),1,25:46,3,7,.429,2,5,.400,2,2,1.000,0,1,1,2,2,2,0,1,10,11.0,+12
3,3,2024-10-26,31-251,ORL,@,MEM,L (-13),1,28:15,1,6,.167,0,4,.000,1,1,1.000,0,2,2,1,2,1,1,2,3,1.4,-21
4,4,2024-10-28,31-253,ORL,,IND,W (+4),1,30:42,2,5,.400,0,3,.000,0,0,,0,0,0,1,1,0,1,4,4,0.4,+1
5,5,2024-10-30,31-255,ORL,@,CHI,L (-3),1,33:57,3,9,.333,2,7,.286,0,0,,1,0,1,1,1,0,0,3,8,4.1,-12
6,6,2024-11-01,31-257,ORL,@,CLE,L (-11),1,27:30,2,3,.667,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,3,7,6.5,-13
7,7,2024-11-03,31-259,ORL,@,DAL,L (-23),1,26:00,2,6,.333,2,6,.333,1,1,1.000,1,2,3,1,0,0,0,3,7,4.4,-8
8,8,2024-11-04,31-260,ORL,@,OKC,L (-16),1,30:49,1,7,.143,1,4,.250,3,3,1.000,0,5,5,2,4,1,1,1,6,7.7,-1
9,9,2024-11-06,31-262,ORL,@,IND,L (-7),1,37:23,5,10,.500,2,5,.400,1,1,1.000,2,3,5,2,1,0,0,1,13,12.3,+5
10,10,2024-11-08,31-264,ORL,,NOP,W (+27),1,29:03,3,9,.333,0,4,.000,1,1,1.000,0,3,3,5,4,1,0,1,7,10.6,+11
11,11,2024-11-10,31-266,ORL,,WAS,W (+27),1,28:00,2,8,.250,1,6,.167,3,3,1.000,1,4,5,3,0,1,1,3,8,5.7,+16
12,12,2024-11-12,31-268,ORL,,CHO,W (+25),1,24:48,2,6,.333,0,2,.000,2,2,1.000,0,1,1,3,0,0,1,2,6,3.2,+11
13,13,2024-11-13,31-269,ORL,,IND,W (+4),1,34:15,4,8,.500,2,5,.400,0,0,,0,5,5,3,0,0,1,3,10,7.4,+10
14,14,2024-11-15,31-271,ORL,,PHI,W (+12),1,33:25,3,9,.333,2,6,.333,0,0,,0,1,1,1,2,0,2,2,8,3.1,+8
15,15,2024-11-18,31-274,ORL,@,PHO,W (+10),1,34:14,3,5,.600,1,2,.500,2,2,1.000,0,1,1,2,1,0,1,1,9,8.0,+4
16,16,2024-11-20,31-276,ORL,@,LAC,L (-11),1,29:41,1,6,.167,0,4,.000,0,0,,0,2,2,1,1,0,0,3,2,-0.7,-18
17,,2024-11-21,31-277,ORL,@,LAL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,17,2024-11-23,31-279,ORL,,DET,W (+11),1,24:24,3,6,.500,1,4,.250,1,1,1.000,0,0,0,2,1,2,1,1,8,7.4,+16
19,18,2024-11-25,31-281,ORL,@,CHO,W (+11),1,28:56,1,4,.250,0,2,.000,1,2,.500,1,3,4,2,1,1,1,1,3,3.5,-2
20,19,2024-11-27,31-283,ORL,,CHI,W (+14),1,34:09,8,13,.615,6,10,.600,2,2,1.000,0,1,1,2,4,0,1,2,24,22.0,+18
21,20,2024-11-29,31-285,ORL,@,BRK,W (+23),1,29:05,7,8,.875,4,5,.800,1,1,1.000,2,0,2,3,2,1,0,1,19,22.0,+31
22,21,2024-12-01,31-287,ORL,@,BRK,W (+8),1,34:11,6,11,.545,4,9,.444,0,0,,0,1,1,0,2,1,0,2,16,12.9,+14
23,22,2024-12-03,31-289,ORL,@,NYK,L (-15),1,26:37,3,7,.429,3,7,.429,0,0,,0,3,3,0,0,0,2,4,9,2.6,-20
24,23,2024-12-04,31-290,ORL,@,PHI,W (+4),1,32:02,2,7,.286,1,5,.200,2,2,1.000,0,2,2,1,5,0,1,4,7,6.6,-10
25,24,2024-12-06,31-292,ORL,@,PHI,L (-8),1,33:40,1,7,.143,0,5,.000,0,0,,0,3,3,2,3,1,2,2,2,0.7,+4
26,25,2024-12-08,31-294,ORL,,PHO,W (+5),1,33:06,3,6,.500,2,5,.400,0,2,.000,0,0,0,1,3,0,0,2,8,7.1,-3
27,26,2024-12-10,31-296,ORL,@,MIL,L (-5),1,31:19,3,7,.429,0,2,.000,1,2,.500,0,1,1,1,1,0,0,2,7,4.1,-1
28,27,2024-12-15,31-301,ORL,,NYK,L (-9),1,32:42,2,7,.286,0,3,.000,0,0,,1,1,2,2,1,1,2,3,4,0.8,-2
29,28,2024-12-19,31-305,ORL,,OKC,L (-6),1,33:00,3,8,.375,3,5,.600,2,2,1.000,1,0,1,5,1,1,2,2,11,9.7,+8
30,29,2024-12-21,31-307,ORL,,MIA,W (+7),1,36:09,5,10,.500,2,7,.286,12,12,1.000,0,2,2,2,0,2,0,2,24,21.6,+13
31,30,2024-12-23,31-309,ORL,,BOS,W (+4),1,34:10,2,8,.250,2,6,.333,2,2,1.000,0,5,5,2,2,2,1,3,8,7.3,+1
32,31,2024-12-26,31-312,ORL,,MIA,L (-1),1,32:07,5,8,.625,1,4,.250,0,0,,0,2,2,2,3,0,1,0,11,11.4,+10
33,32,2024-12-27,31-313,ORL,,NYK,L (-23),1,31:06,4,11,.364,1,6,.167,1,1,1.000,0,0,0,3,2,0,1,1,10,6.6,-10
34,33,2024-12-29,31-315,ORL,,BRK,W (+1),1,34:02,2,10,.200,0,4,.000,1,1,1.000,0,1,1,5,2,1,0,2,5,4.5,+17
35,34,2025-01-01,31-318,ORL,@,DET,L (-9),1,34:23,8,11,.727,4,6,.667,1,1,1.000,0,2,2,2,2,1,2,2,21,18.4,-17
36,35,2025-01-03,31-320,ORL,@,TOR,W (+9),1,32:41,6,10,.600,3,7,.429,0,0,,0,1,1,2,2,1,0,1,15,14.4,+13
37,36,2025-01-05,31-322,ORL,,UTA,L (-13),1,27:58,1,8,.125,0,4,.000,0,0,,0,2,2,2,0,0,1,2,2,-3.0,-12
38,37,2025-01-06,31-323,ORL,@,NYK,W (+9),1,30:26,6,10,.600,3,6,.500,0,0,,1,3,4,2,3,0,2,2,15,13.6,+7
39,38,2025-01-09,31-326,ORL,,MIN,L (-15),1,33:02,5,7,.714,3,4,.750,0,0,,0,1,1,2,1,1,1,3,13,11.3,-20
40,39,2025-01-10,31-327,ORL,,MIL,L (-3),1,11:23,1,3,.333,1,2,.500,0,0,,0,1,1,3,1,0,3,0,3,1.7,+8
41,,2025-01-12,31-329,ORL,,PHI,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
42,40,2025-01-15,31-332,ORL,@,MIL,L (-29),1,22:57,3,9,.333,2,7,.286,0,0,,0,2,2,1,1,0,1,0,8,4.2,-14
43,41,2025-01-17,31-334,ORL,@,BOS,L (-27),1,25:42,2,5,.400,1,4,.250,0,0,,1,0,1,1,1,1,1,1,5,4.0,-19
44,42,2025-01-19,31-336,ORL,,DEN,L (-13),1,34:41,4,14,.286,2,7,.286,2,3,.667,1,0,1,4,1,0,1,1,12,6.5,-9
45,43,2025-01-21,31-338,ORL,@,TOR,L (-16),1,36:56,8,12,.667,2,5,.400,2,2,1.000,0,1,1,1,2,0,1,3,20,15.6,+1
46,44,2025-01-23,31-340,ORL,,POR,L (-22),1,33:50,2,5,.400,0,2,.000,3,4,.750,2,0,2,0,2,0,1,2,7,5.5,-20
47,45,2025-01-25,31-342,ORL,,DET,W (+8),1,37:16,2,7,.286,1,5,.200,2,4,.500,0,2,2,0,2,0,1,2,7,2.9,-5
48,46,2025-01-27,31-344,ORL,@,MIA,L (-6),1,36:04,2,6,.333,2,5,.400,0,0,,0,1,1,1,0,0,1,1,6,2.2,-23
49,47,2025-01-30,31-347,ORL,@,POR,L (-29),1,23:57,2,5,.400,0,2,.000,0,0,,0,2,2,0,0,0,0,1,4,1.5,-25
