Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,27-180,ORL,@,MIA,W (+19),0,16:02,2,4,.500,1,3,.333,2,2,1.000,1,5,6,2,0,0,1,2,7,6.8,0
2,2,2024-10-25,27-182,ORL,,BRK,W (+15),0,15:06,7,8,.875,1,2,.500,3,4,.750,0,3,3,0,1,1,3,5,18,12.4,+2
3,3,2024-10-26,27-183,ORL,@,MEM,L (-13),0,12:23,4,8,.500,1,3,.333,0,0,,2,1,3,0,0,1,0,4,9,5.8,-11
4,4,2024-10-28,27-185,ORL,,IND,W (+4),0,16:02,5,10,.500,1,2,.500,3,4,.750,2,2,4,1,0,0,2,3,14,8.1,-7
5,5,2024-10-30,27-187,ORL,@,CHI,L (-3),0,16:07,1,4,.250,1,2,.500,4,4,1.000,0,6,6,1,0,0,2,1,7,4.7,+5
6,6,2024-11-01,27-189,ORL,@,CLE,L (-11),1,27:34,5,9,.556,0,2,.000,4,7,.571,0,5,5,0,2,0,2,0,14,10.0,-14
7,7,2024-11-03,27-191,ORL,@,DAL,L (-23),0,20:30,3,10,.300,0,4,.000,4,4,1.000,0,6,6,0,0,0,1,4,10,3.4,-23
8,8,2024-11-04,27-192,ORL,@,OKC,L (-16),0,21:16,2,5,.400,0,2,.000,5,6,.833,0,7,7,1,2,1,4,2,9,6.6,-16
9,9,2024-11-06,27-194,ORL,@,IND,L (-7),0,14:36,4,8,.500,0,1,.000,6,7,.857,0,1,1,1,1,0,1,1,14,10.2,-3
10,10,2024-11-08,27-196,ORL,,NOP,W (+27),0,18:15,8,11,.727,1,1,1.000,0,0,,0,4,4,2,0,0,3,0,17,12.1,+17
11,11,2024-11-10,27-198,ORL,,WAS,W (+27),0,22:35,5,12,.417,2,6,.333,4,7,.571,2,4,6,2,1,0,0,2,16,12.6,+18
12,12,2024-11-12,27-200,ORL,,CHO,W (+25),0,23:32,5,7,.714,2,4,.500,6,6,1.000,2,3,5,1,2,0,2,1,18,17.7,+30
13,13,2024-11-13,27-201,ORL,,IND,W (+4),0,17:30,4,7,.571,2,4,.500,0,0,,1,1,2,0,0,0,5,3,10,1.5,+1
14,14,2024-11-15,27-203,ORL,,PHI,W (+12),0,19:53,5,7,.714,1,2,.500,3,4,.750,1,3,4,2,1,0,1,0,14,13.7,+16
15,15,2024-11-18,27-206,ORL,@,PHO,W (+10),0,12:28,4,7,.571,0,2,.000,1,1,1.000,1,5,6,0,0,0,1,2,9,6.1,+1
16,16,2024-11-20,27-208,ORL,@,LAC,L (-11),0,17:00,4,10,.400,1,3,.333,1,1,1.000,0,1,1,0,1,0,2,0,10,3.9,-11
17,17,2024-11-21,27-209,ORL,@,LAL,W (+1),0,18:29,7,13,.538,1,2,.500,4,5,.800,4,1,5,4,0,1,0,2,19,18.1,-12
18,18,2024-11-23,27-211,ORL,,DET,W (+11),0,27:43,7,11,.636,1,4,.250,3,4,.750,4,3,7,5,1,0,1,2,18,19.1,+6
19,19,2024-11-25,27-213,ORL,@,CHO,W (+11),0,26:24,7,10,.700,1,2,.500,1,4,.250,5,3,8,2,1,0,2,2,16,14.6,+15
20,20,2024-11-27,27-215,ORL,,CHI,W (+14),0,18:18,6,9,.667,1,2,.500,2,3,.667,2,2,4,4,0,1,0,2,15,15.4,+1
21,21,2024-11-29,27-217,ORL,@,BRK,W (+23),0,16:18,1,4,.250,0,1,.000,1,2,.500,0,5,5,1,1,1,3,1,3,0.7,-5
22,22,2024-12-01,27-219,ORL,@,BRK,W (+8),0,16:12,5,9,.556,0,1,.000,2,2,1.000,4,4,8,2,1,2,2,3,12,12.3,-7
23,23,2024-12-03,27-221,ORL,@,NYK,L (-15),0,28:27,7,13,.538,1,2,.500,5,9,.556,4,8,12,1,2,1,1,3,20,18.5,+7
24,24,2024-12-04,27-222,ORL,@,PHI,W (+4),0,21:03,4,10,.400,0,3,.000,2,3,.667,0,6,6,1,2,2,2,1,10,7.7,+13
25,25,2024-12-06,27-224,ORL,@,PHI,L (-8),0,17:42,5,7,.714,2,3,.667,0,0,,2,7,9,2,0,0,2,1,12,11.6,-13
26,26,2024-12-08,27-226,ORL,,PHO,W (+5),0,17:22,3,8,.375,1,3,.333,3,6,.500,2,4,6,3,2,1,0,2,10,11.0,+6
27,27,2024-12-10,27-228,ORL,@,MIL,L (-5),0,19:11,6,6,1.000,1,1,1.000,0,0,,1,2,3,1,1,0,1,1,13,12.8,-14
28,28,2024-12-15,27-233,ORL,,NYK,L (-9),0,25:32,10,15,.667,4,7,.571,8,11,.727,0,6,6,1,2,0,3,4,32,24.2,-1
29,29,2024-12-19,27-237,ORL,,OKC,L (-6),0,19:04,4,7,.571,0,1,.000,2,4,.500,0,0,0,2,0,0,1,1,10,5.9,-9
30,30,2024-12-21,27-239,ORL,,MIA,W (+7),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-9
31,,2024-12-23,27-241,ORL,,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2024-12-26,27-244,ORL,,MIA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2024-12-27,27-245,ORL,,NYK,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2024-12-29,27-247,ORL,,BRK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2025-01-01,27-250,ORL,@,DET,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2025-01-03,27-252,ORL,@,TOR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2025-01-05,27-254,ORL,,UTA,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2025-01-06,27-255,ORL,@,NYK,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
