Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-161,ORL,@,MIA,W (+19),0,5:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-13
2,,2024-10-25,23-163,ORL,,BRK,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2024-10-26,23-164,ORL,@,MEM,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-28,23-166,ORL,,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-30,23-168,ORL,@,CHI,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2,2024-11-01,23-170,ORL,@,CLE,L (-11),0,20:08,6,8,.750,3,3,1.000,2,3,.667,2,3,5,2,0,0,0,3,17,15.9,+2
7,3,2024-11-03,23-172,ORL,@,DAL,L (-23),1,31:07,2,7,.286,1,4,.250,2,2,1.000,1,4,5,2,0,1,0,0,7,6.9,-4
8,4,2024-11-04,23-173,ORL,@,OKC,L (-16),1,33:47,4,12,.333,1,4,.250,0,0,,0,3,3,2,0,0,1,2,9,2.7,+4
9,5,2024-11-06,23-175,ORL,@,IND,L (-7),1,23:16,2,4,.500,1,2,.500,0,0,,0,0,0,3,0,0,1,3,5,2.9,-10
10,6,2024-11-08,23-177,ORL,,NOP,W (+27),1,26:40,3,11,.273,1,7,.143,0,0,,0,3,3,1,0,0,0,1,7,1.7,+10
11,7,2024-11-10,23-179,ORL,,WAS,W (+27),1,31:37,4,9,.444,2,5,.400,1,1,1.000,1,3,4,2,2,0,2,5,11,7.3,+21
12,8,2024-11-12,23-181,ORL,,CHO,W (+25),1,32:02,2,6,.333,1,4,.250,0,0,,1,5,6,2,0,2,0,1,5,6.2,+15
13,9,2024-11-13,23-182,ORL,,IND,W (+4),1,20:38,1,6,.167,0,2,.000,1,2,.500,4,5,9,3,0,0,0,1,3,4.8,+9
14,10,2024-11-15,23-184,ORL,,PHI,W (+12),1,18:24,2,5,.400,0,3,.000,2,2,1.000,0,3,3,0,1,0,0,1,6,4.8,-10
15,11,2024-11-18,23-187,ORL,@,PHO,W (+10),1,26:24,1,5,.200,1,3,.333,0,0,,1,4,5,6,0,0,0,1,3,5.6,+9
