Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,36:35,6,17,.353,1,8,.125,6,7,.857,1,4,5,8,1,0,9,1,19,8.2,+3,youngtr01
Dyson Daniels,33:12,5,8,.625,0,0,,0,0,,0,6,6,4,4,1,1,2,10,13.9,0,daniedy01
Onyeka Okongwu,28:32,3,7,.429,0,1,.000,3,3,1.000,1,6,7,2,1,1,2,2,9,8.1,+4,okongon01
Zaccharie Risacher,17:52,3,6,.500,1,2,.500,4,4,1.000,1,1,2,4,1,0,0,1,11,12.4,+10,risacza01
Mouhamed Gueye,14:52,2,6,.333,2,4,.500,3,4,.750,0,1,1,2,2,1,1,1,9,8.2,+8,gueyemo02
Caris LeVert,32:06,6,11,.545,3,7,.429,3,4,.750,0,8,8,2,0,0,0,2,18,15.3,+6,leverca01
Georges Niang,24:20,2,7,.286,1,3,.333,3,4,.750,0,4,4,1,0,0,1,3,8,3.2,-2,niangge01
Larry Nance Jr.,19:28,4,6,.667,0,1,.000,0,0,,2,1,3,1,0,0,1,3,8,5.6,+2,nancela02
Vit Krejci,18:15,3,5,.600,1,3,.333,1,1,1.000,0,1,1,4,1,0,0,2,8,9.0,-7,krejcvi01
Terance Mann,14:48,4,4,1.000,3,3,1.000,1,1,1.000,1,1,2,1,0,0,1,0,12,11.5,+6,mannte01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,240,38,77,.494,12,32,.375,24,28,.857,6,33,39,29,10,3,17,17,112,,,-9999
