Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,31-074,PHI,,MIL,L (-15),1,25:03,4,8,.500,0,1,.000,2,2,1.000,5,8,13,0,0,0,1,5,10,8.9,-6
2,2,2024-10-25,31-076,PHI,@,TOR,L (-8),1,22:22,4,11,.364,0,0,,3,8,.375,6,3,9,0,4,2,2,5,11,9.4,-15
3,3,2024-10-27,31-078,PHI,@,IND,W (+4),1,37:14,4,6,.667,0,1,.000,1,1,1.000,5,12,17,1,2,1,4,5,9,10.9,0
4,4,2024-10-30,31-081,PHI,,DET,L (-10),1,27:50,3,5,.600,0,0,,3,6,.500,4,7,11,0,1,0,1,3,9,9.2,-8
5,5,2024-11-02,31-084,PHI,,MEM,L (-17),1,29:17,1,7,.143,0,1,.000,2,2,1.000,2,7,9,2,1,0,4,3,4,0.2,-15
6,6,2024-11-04,31-086,PHI,@,PHO,L (-2),1,15:03,3,5,.600,0,0,,2,2,1.000,0,5,5,0,3,0,5,2,8,4.4,-11
7,7,2024-11-06,31-088,PHI,@,LAC,L (-12),1,32:29,4,6,.667,1,1,1.000,0,2,.000,4,6,10,1,0,1,1,2,9,9.8,-12
8,8,2024-11-08,31-090,PHI,@,LAL,L (-10),1,22:20,6,12,.500,0,0,,2,7,.286,5,7,12,0,3,0,0,4,14,13.0,-19
9,9,2024-11-10,31-092,PHI,,CHO,W (+2),1,23:50,5,8,.625,0,0,,3,4,.750,3,7,10,0,0,0,2,4,13,9.6,-10
10,10,2024-11-12,31-094,PHI,,NYK,L (-12),0,18:03,2,4,.500,0,0,,1,2,.500,1,3,4,1,0,1,0,1,5,5.2,-7
11,,2024-11-13,31-095,PHI,,CLE,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11,2024-11-15,31-097,PHI,@,ORL,L (-12),0,3:49,1,3,.333,0,0,,0,0,,1,4,5,0,0,0,1,0,2,1.2,+2
13,12,2024-11-18,31-100,PHI,@,MIA,L (-17),0,11:40,3,4,.750,0,1,.000,0,0,,0,5,5,1,1,1,1,2,6,6.5,+13
14,13,2024-11-20,31-102,PHI,@,MEM,L (-6),0,12:56,5,9,.556,0,0,,1,3,.333,4,2,6,0,3,0,2,0,11,10.3,-13
15,14,2024-11-22,31-104,PHI,,BRK,W (+15),0,16:55,4,8,.500,0,0,,2,4,.500,3,3,6,1,1,1,0,1,10,10.2,+5
