Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,35-303,PHI,,MIL,L (-15),1,22:28,1,6,.167,0,2,.000,0,0,,0,1,1,1,0,0,0,1,2,-1.2,+6
2,2,2024-10-25,35-305,PHI,@,TOR,L (-8),0,20:23,1,4,.250,1,2,.500,5,7,.714,0,1,1,2,0,0,0,1,8,6.1,+5
3,3,2024-10-27,35-307,PHI,@,IND,W (+4),0,31:51,5,10,.500,2,7,.286,3,4,.750,0,1,1,1,0,1,1,1,15,9.9,+17
4,4,2024-10-30,35-310,PHI,,DET,L (-10),0,16:04,1,3,.333,0,2,.000,1,1,1.000,0,0,0,1,0,0,0,1,3,1.6,-14
5,5,2024-11-02,35-313,PHI,,MEM,L (-17),0,22:26,4,6,.667,2,3,.667,0,0,,1,0,1,2,0,0,2,1,10,7.1,-12
6,6,2024-11-04,35-315,PHI,@,PHO,L (-2),0,17:39,3,6,.500,2,4,.500,2,2,1.000,0,1,1,1,1,1,0,1,10,9.3,+8
7,7,2024-11-06,35-317,PHI,@,LAC,L (-12),0,16:45,0,2,.000,0,1,.000,1,2,.500,1,0,1,2,0,0,4,1,1,-3.1,-10
8,,2024-11-08,35-319,PHI,@,LAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8,2024-11-10,35-321,PHI,,CHO,W (+2),0,17:13,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,2,1,0,-2.4,+9
10,,2024-11-12,35-323,PHI,,NYK,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,9,2024-11-13,35-324,PHI,,CLE,L (-8),0,11:50,2,4,.500,1,2,.500,2,2,1.000,0,2,2,0,1,0,2,0,7,4.6,+3
12,10,2024-11-15,35-326,PHI,@,ORL,L (-12),0,15:53,1,4,.250,0,2,.000,0,0,,0,2,2,1,1,1,1,1,2,1.2,-5
13,11,2024-11-18,35-329,PHI,@,MIA,L (-17),0,14:03,2,8,.250,1,4,.250,0,0,,0,1,1,2,0,0,1,1,5,0.5,-3
14,12,2024-11-20,35-331,PHI,@,MEM,L (-6),0,4:30,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+5
15,13,2024-11-22,35-333,PHI,,BRK,W (+15),0,19:34,1,9,.111,0,6,.000,3,4,.750,0,1,1,3,3,2,0,1,5,5.1,+5
16,14,2024-11-24,35-335,PHI,,LAC,L (-26),0,16:07,3,5,.600,1,3,.333,0,0,,0,0,0,1,2,0,0,1,7,7.0,-16
17,15,2024-11-27,35-338,PHI,,HOU,L (-7),0,7:16,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,1,2,0.6,-10
18,16,2024-11-30,35-341,PHI,@,DET,W (+15),0,9:49,0,4,.000,0,2,.000,0,0,,0,1,1,2,2,0,0,0,0,0.9,-4
19,,2024-12-03,35-344,PHI,@,CHO,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,,2024-12-04,35-345,PHI,,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,,2024-12-06,35-347,PHI,,ORL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,,2024-12-08,35-349,PHI,@,CHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2024-12-13,35-354,PHI,,IND,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,17,2024-12-16,35-357,PHI,@,CHO,W (+13),0,26:09,3,5,.600,3,5,.600,0,0,,0,1,1,1,1,0,1,0,9,7.7,-1
25,18,2024-12-20,35-361,PHI,,CHO,W (+10),0,16:01,1,3,.333,0,2,.000,0,0,,0,2,2,2,2,0,0,0,2,4.3,-13
26,19,2024-12-21,35-362,PHI,@,CLE,L (-27),0,9:40,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,0,0,0,7,5.4,-9
27,,2024-12-23,35-364,PHI,,SAS,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2024-12-25,36-000,PHI,@,BOS,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
29,,2024-12-28,36-003,PHI,@,UTA,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-30,36-005,PHI,@,POR,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,20,2025-01-01,36-007,PHI,@,SAC,L (-6),0,27:00,5,9,.556,3,7,.429,1,1,1.000,0,1,1,3,0,1,0,0,14,12.8,0
32,21,2025-01-02,36-008,PHI,@,GSW,L (-34),0,14:18,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9,-10
33,22,2025-01-04,36-010,PHI,@,BRK,W (+29),0,6:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-0.7,+2
34,23,2025-01-06,36-012,PHI,,PHO,L (-10),0,7:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-3
35,24,2025-01-08,36-014,PHI,,WAS,W (+6),1,30:53,5,8,.625,4,7,.571,1,3,.333,0,2,2,1,1,0,1,2,15,11.1,+12
36,25,2025-01-10,36-016,PHI,,NOP,L (-8),0,15:17,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,1,0,6,4.3,-17
37,26,2025-01-12,36-018,PHI,@,ORL,L (-5),1,28:15,4,6,.667,3,3,1.000,3,3,1.000,1,3,4,0,1,1,1,4,14,12.1,-6
38,27,2025-01-14,36-020,PHI,,OKC,L (-16),1,28:16,3,9,.333,3,8,.375,1,1,1.000,1,2,3,1,1,0,1,2,10,6.1,-5
39,28,2025-01-15,36-021,PHI,,NYK,L (-6),1,21:11,4,6,.667,3,5,.600,3,3,1.000,0,1,1,2,0,0,0,0,14,13.1,-9
40,29,2025-01-18,36-024,PHI,@,IND,L (-13),1,29:57,1,7,.143,1,5,.200,1,2,.500,1,0,1,5,2,1,1,2,4,4.2,-1
41,30,2025-01-19,36-025,PHI,@,MIL,L (-14),1,30:13,3,8,.375,2,6,.333,2,4,.500,0,1,1,6,0,1,0,3,10,8.8,-3
42,31,2025-01-21,36-027,PHI,@,DEN,L (-35),1,19:08,3,4,.750,3,4,.750,0,0,,0,0,0,3,0,0,1,0,9,8.5,-12
43,32,2025-01-24,36-030,PHI,,CLE,W (+3),1,37:40,5,8,.625,4,4,1.000,1,2,.500,0,0,0,3,0,0,1,1,15,11.7,+12
44,33,2025-01-25,36-031,PHI,@,CHI,W (+12),1,28:41,4,9,.444,3,8,.375,2,2,1.000,0,2,2,2,2,1,0,0,13,13.0,+12
45,34,2025-01-28,36-034,PHI,,LAL,W (+14),1,30:46,4,8,.500,3,6,.500,3,3,1.000,0,3,3,2,0,1,0,1,14,12.6,+19
46,35,2025-01-29,36-035,PHI,,SAC,W (+13),1,22:12,5,8,.625,3,4,.750,1,2,.500,0,1,1,2,2,0,1,0,14,12.7,-9
47,36,2025-01-31,36-037,PHI,,DEN,L (-3),1,28:47,4,4,1.000,3,3,1.000,0,0,,0,0,0,2,2,0,1,1,11,11.8,-2
48,,2025-02-02,36-039,PHI,,BOS,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
49,,2025-02-04,36-041,PHI,,DAL,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
50,37,2025-02-05,36-042,PHI,,MIA,L (-7),0,26:21,2,9,.222,1,5,.200,0,0,,2,1,3,5,1,1,0,1,5,6.0,+10
51,38,2025-02-07,36-044,PHI,@,DET,L (-13),0,10:21,0,4,.000,0,3,.000,0,0,,0,3,3,2,0,0,3,1,0,-3.9,-11
52,39,2025-02-09,36-046,PHI,@,MIL,L (-8),0,8:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-12
53,,2025-02-11,36-048,PHI,,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2025-02-12,36-049,PHI,@,BRK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2025-02-20,36-057,PHI,,BOS,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2025-02-22,36-059,PHI,,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2025-02-24,36-061,PHI,,CHI,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2025-02-26,36-063,PHI,@,NYK,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2025-03-01,36-066,PHI,,GSW,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2025-03-03,36-068,PHI,,POR,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2025-03-04,36-069,PHI,@,MIN,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2025-03-06,36-071,PHI,@,BOS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2025-03-09,36-074,PHI,,UTA,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
