Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,28-311,PHI,,MIL,L (-15),0,25:31,4,8,.500,1,4,.250,1,3,.333,2,2,4,3,3,0,3,6,10,6.9,-12
2,2,2024-10-25,28-313,PHI,@,TOR,L (-8),0,17:28,3,6,.500,0,2,.000,3,3,1.000,0,4,4,1,0,1,3,4,9,4.0,+5
3,3,2024-10-27,28-315,PHI,@,IND,W (+4),0,17:17,0,4,.000,0,2,.000,0,0,,5,1,6,4,1,0,1,2,0,3.0,+3
4,4,2024-10-30,28-318,PHI,,DET,L (-10),0,18:46,3,4,.750,2,3,.667,0,0,,0,2,2,2,2,1,2,4,8,7.5,-3
5,5,2024-11-02,28-321,PHI,,MEM,L (-17),0,18:41,3,6,.500,3,6,.500,0,0,,0,3,3,0,1,0,0,2,9,7.1,0
6,6,2024-11-04,28-323,PHI,@,PHO,L (-2),0,30:01,6,14,.429,5,11,.455,2,2,1.000,3,4,7,6,0,1,2,4,19,16.2,+6
7,7,2024-11-06,28-325,PHI,@,LAC,L (-12),0,10:12,2,3,.667,0,1,.000,0,0,,1,0,1,0,0,0,0,1,4,3.0,-9
8,8,2024-11-08,28-327,PHI,@,LAL,L (-10),0,23:22,5,6,.833,3,4,.750,1,2,.500,1,4,5,0,1,1,0,1,14,14.6,+5
9,9,2024-11-10,28-329,PHI,,CHO,W (+2),0,30:46,8,13,.615,2,4,.500,2,4,.500,2,6,8,0,0,0,1,5,20,13.5,+12
10,10,2024-11-12,28-331,PHI,,NYK,L (-12),0,19:26,1,7,.143,1,5,.200,0,0,,2,6,8,0,1,0,3,2,3,-1.1,-9
11,11,2024-11-13,28-332,PHI,,CLE,L (-8),1,30:44,4,10,.400,1,5,.200,1,2,.500,3,6,9,5,1,0,1,1,10,11.2,-4
12,12,2024-11-15,28-334,PHI,@,ORL,L (-12),0,24:25,2,4,.500,0,1,.000,0,0,,0,2,2,1,0,1,0,3,4,2.8,-13
