Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,24-060,WAS,,BOS,L (-20),0,8:47,2,6,.333,0,1,.000,2,2,1.000,0,0,0,2,1,0,0,0,6,5.0,+11
2,2,2024-10-26,24-062,WAS,,CLE,L (-19),0,11:11,3,4,.750,1,1,1.000,1,2,.500,0,1,1,3,1,1,0,2,8,9.3,+1
3,,2024-10-28,24-064,WAS,@,ATL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2024-10-30,24-066,WAS,,ATL,W (+13),0,9:41,1,2,.500,0,0,,0,0,,0,2,2,2,0,0,1,0,2,2.0,-11
5,4,2024-11-02,24-069,WAS,,MIA,L (-20),0,6:47,2,3,.667,0,0,,1,2,.500,0,0,0,2,1,0,1,0,5,4.7,+3
6,5,2024-11-04,24-071,WAS,,GSW,L (-13),0,7:52,3,4,.750,0,1,.000,1,1,1.000,0,0,0,3,0,0,0,0,7,7.5,0
7,6,2024-11-08,24-075,WAS,@,MEM,L (-24),0,14:03,2,9,.222,0,2,.000,1,2,.500,1,2,3,6,2,0,0,2,5,5.8,-1
8,7,2024-11-10,24-077,WAS,@,ORL,L (-27),0,9:23,0,0,,0,0,,4,6,.667,1,0,1,1,0,1,0,3,4,4.1,-2
9,8,2024-11-11,24-078,WAS,@,HOU,L (-15),0,4:48,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,4,3.0,+2
10,,2024-11-13,24-080,WAS,@,SAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2024-11-15,24-082,WAS,@,ATL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,9,2024-11-17,24-084,WAS,,DET,L (-20),0,4:00,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.7,+5
13,10,2024-11-18,24-085,WAS,@,NYK,L (-28),0,5:49,2,2,1.000,0,0,,0,1,.000,0,0,0,4,1,0,1,1,4,5.4,-1
14,,2024-11-22,24-089,WAS,,BOS,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,11,2024-11-24,24-091,WAS,@,IND,L (-12),0,5:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,+1
16,12,2024-11-26,24-093,WAS,,CHI,L (-19),0,6:16,1,2,.500,0,0,,0,0,,0,1,1,4,0,0,2,2,2,1.3,-3
17,13,2024-11-27,24-094,WAS,,LAC,L (-25),0,7:35,2,7,.286,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,2,6,0.1,+8
18,,2024-11-30,24-097,WAS,@,MIL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,14,2024-12-03,24-100,WAS,@,CLE,L (-31),0,16:42,5,9,.556,0,2,.000,0,0,,0,0,0,1,0,0,0,1,10,6.0,-3
20,15,2024-12-05,24-102,WAS,,DAL,L (-36),0,18:43,2,10,.200,1,4,.250,0,0,,0,0,0,5,0,0,0,1,5,1.9,-18
21,16,2024-12-07,24-104,WAS,,DEN,W (+9),0,17:02,5,9,.556,2,4,.500,0,0,,0,2,2,4,0,0,2,1,12,8.7,+4
