Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,20-246,PHI,,MIL,L (-15),0,3:52,2,3,.667,0,1,.000,0,0,,1,1,2,0,0,0,0,0,4,3.7,+3
2,2,2024-10-25,20-248,PHI,@,TOR,L (-8),0,3:56,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-7
3,3,2024-10-27,20-250,PHI,@,IND,W (+4),0,17:24,2,5,.400,0,2,.000,0,0,,1,1,2,1,0,0,1,1,4,1.6,-16
4,4,2024-10-30,20-253,PHI,,DET,L (-10),0,21:49,3,9,.333,0,1,.000,6,6,1.000,1,2,3,3,0,0,1,0,12,9.3,+2
5,5,2024-11-02,20-256,PHI,,MEM,L (-17),0,16:36,8,16,.500,2,6,.333,1,1,1.000,1,3,4,1,1,0,1,1,19,12.9,+1
6,6,2024-11-04,20-258,PHI,@,PHO,L (-2),0,2:59,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.0,-3
7,7,2024-11-06,20-260,PHI,@,LAC,L (-12),0,12:00,2,4,.500,0,1,.000,1,1,1.000,0,1,1,2,1,0,0,1,5,5.3,+4
8,8,2024-11-08,20-262,PHI,@,LAL,L (-10),0,30:31,6,17,.353,4,9,.444,2,2,1.000,0,1,1,2,1,0,2,1,18,8.8,0
9,9,2024-11-10,20-264,PHI,,CHO,W (+2),0,30:58,10,18,.556,3,8,.375,4,4,1.000,0,3,3,2,0,0,1,3,27,18.5,-9
10,10,2024-11-12,20-266,PHI,,NYK,L (-12),0,30:14,7,16,.438,4,10,.400,5,5,1.000,1,2,3,2,0,0,2,1,23,14.9,+3
11,11,2024-11-13,20-267,PHI,,CLE,L (-8),1,38:08,12,26,.462,6,13,.462,4,4,1.000,0,2,2,10,2,0,3,1,34,26.8,-11
12,12,2024-11-15,20-269,PHI,@,ORL,L (-12),1,31:21,10,17,.588,5,10,.500,4,4,1.000,1,0,1,4,0,0,0,6,29,22.2,+13
