Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-081,PHI,,MIL,L (-15),0,9:00,1,2,.500,1,1,1.000,4,4,1.000,0,1,1,0,0,0,1,1,7,4.9,+1
2,2,2024-10-25,23-083,PHI,@,TOR,L (-8),0,4:14,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-1
3,,2024-10-27,23-085,PHI,@,IND,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2024-10-30,23-088,PHI,,DET,L (-10),0,6:33,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,1.3,+1
5,4,2024-11-02,23-091,PHI,,MEM,L (-17),0,7:51,0,0,,0,0,,0,0,,0,0,0,3,0,0,0,0,0,2.1,+1
6,,2024-11-04,23-093,PHI,@,PHO,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5,2024-11-06,23-095,PHI,@,LAC,L (-12),0,9:36,3,4,.750,1,2,.500,0,0,,0,1,1,0,0,0,1,1,7,4.3,+7
8,6,2024-11-08,23-097,PHI,@,LAL,L (-10),0,15:10,0,4,.000,0,1,.000,2,2,1.000,1,2,3,2,0,0,0,0,2,1.9,+3
9,,2024-11-10,23-099,PHI,,CHO,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7,2024-11-12,23-101,PHI,,NYK,L (-12),0,0:36,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,0
