Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,29-025,CHO,@,HOU,W (+5),1,23:31,2,6,.333,1,4,.250,3,4,.750,3,5,8,1,0,1,0,3,8,8.0,+4
2,2,2024-10-25,29-027,CHO,@,ATL,L (-5),1,23:12,1,5,.200,1,3,.333,0,0,,1,4,5,1,0,0,0,2,3,1.7,-8
3,3,2024-10-26,29-028,CHO,,MIA,L (-8),1,27:29,4,9,.444,2,6,.333,0,0,,2,1,3,2,1,1,2,4,10,6.5,+3
4,4,2024-10-30,29-032,CHO,,TOR,W (+5),0,24:50,9,11,.818,4,6,.667,3,4,.750,1,3,4,2,1,0,0,4,25,22.9,+1
5,5,2024-11-01,29-034,CHO,,BOS,L (-15),0,25:55,3,9,.333,1,3,.333,0,0,,1,2,3,1,1,1,1,2,7,3.8,-9
6,6,2024-11-02,29-035,CHO,,BOS,L (-10),0,19:01,4,8,.500,1,4,.250,2,2,1.000,0,4,4,1,1,0,2,0,11,7.9,-2
7,7,2024-11-04,29-037,CHO,@,MIN,L (-21),0,19:01,2,4,.500,0,1,.000,2,2,1.000,0,3,3,1,2,0,1,3,6,5.4,-25
8,8,2024-11-06,29-039,CHO,,DET,W (+1),0,27:33,3,6,.500,1,2,.500,0,0,,1,3,4,3,0,1,0,0,7,8.4,+3
9,9,2024-11-08,29-041,CHO,,IND,W (+20),0,26:54,6,11,.545,3,6,.500,0,0,,1,4,5,4,1,0,0,0,15,15.4,+39
10,10,2024-11-10,29-043,CHO,@,PHI,L (-2),0,32:28,3,8,.375,1,5,.200,0,0,,0,6,6,5,2,0,3,3,7,5.7,+3
11,11,2024-11-12,29-045,CHO,@,ORL,L (-25),0,19:27,3,4,.750,2,2,1.000,0,0,,0,3,3,0,1,0,2,0,8,6.3,-12
12,12,2024-11-16,29-049,CHO,,MIL,W (+1),0,23:00,1,3,.333,1,1,1.000,3,6,.500,0,2,2,3,0,0,1,2,6,4.0,+4
13,13,2024-11-17,29-050,CHO,@,CLE,L (-14),0,25:26,2,8,.250,0,3,.000,1,2,.500,5,1,6,2,2,3,1,2,5,7.3,-2
14,14,2024-11-19,29-052,CHO,@,BRK,L (-1),0,24:38,1,4,.250,1,1,1.000,1,2,.500,2,4,6,2,2,1,2,2,4,5.1,+11
15,15,2024-11-21,29-054,CHO,,DET,W (+2),0,35:34,6,8,.750,3,4,.750,0,0,,1,2,3,1,1,2,0,5,15,14.2,-13
16,16,2024-11-23,29-056,CHO,@,MIL,L (-6),0,29:10,2,7,.286,0,4,.000,2,2,1.000,2,4,6,4,2,2,0,2,6,9.9,+5
17,17,2024-11-25,29-058,CHO,,ORL,L (-11),0,24:58,2,6,.333,0,4,.000,0,0,,0,6,6,2,1,0,1,2,4,3.0,-14
18,18,2024-11-27,29-060,CHO,,MIA,L (-4),0,22:43,2,10,.200,0,3,.000,0,2,.000,1,5,6,3,4,2,0,1,4,6.3,-5
19,19,2024-11-29,29-062,CHO,,NYK,L (-1),0,21:59,2,7,.286,2,6,.333,3,4,.750,2,5,7,5,1,1,0,1,9,12.2,+6
20,20,2024-11-30,29-063,CHO,,ATL,L (-3),0,25:32,5,9,.556,1,2,.500,1,2,.500,1,6,7,5,0,0,1,0,12,12.3,+15
21,21,2024-12-03,29-066,CHO,,PHI,L (-6),0,30:39,5,8,.625,2,5,.400,0,0,,0,2,2,3,0,0,2,3,12,7.9,+3
22,22,2024-12-05,29-068,CHO,@,NYK,L (-24),0,26:26,2,7,.286,0,2,.000,0,0,,1,2,3,1,0,1,1,1,4,1.2,-29
23,23,2024-12-07,29-070,CHO,,CLE,L (-14),1,35:40,2,9,.222,0,5,.000,0,0,,0,9,9,4,1,2,2,3,4,3.2,-9
24,24,2024-12-08,29-071,CHO,@,IND,W (+4),1,33:29,6,10,.600,2,4,.500,0,0,,1,5,6,1,2,0,3,1,14,10.9,+4
25,25,2024-12-13,29-076,CHO,@,CHI,L (-14),0,25:07,2,7,.286,1,5,.200,0,0,,1,1,2,0,1,0,1,2,5,1.1,-3
26,26,2024-12-16,29-079,CHO,,PHI,L (-13),0,28:59,4,7,.571,2,5,.400,0,0,,1,4,5,2,2,1,1,5,10,9.7,-9
