Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,36-024,PHO,@,LAC,W (+3),1,43:40,8,17,.471,2,5,.400,7,9,.778,0,7,7,0,3,1,7,4,25,12.7,-2
2,2,2024-10-25,36-026,PHO,@,LAL,L (-7),1,38:34,11,17,.647,2,3,.667,6,7,.857,0,4,4,6,0,1,3,3,30,24.0,-13
3,3,2024-10-26,36-027,PHO,,DAL,W (+12),1,39:22,10,21,.476,4,8,.500,7,9,.778,0,9,9,2,1,1,1,0,31,24.3,+11
4,4,2024-10-28,36-029,PHO,,LAL,W (+4),1,38:09,11,20,.550,2,6,.333,6,7,.857,0,8,8,4,0,4,2,2,30,25.2,-6
5,5,2024-10-31,36-032,PHO,@,LAC,W (+6),1,38:41,7,13,.538,2,4,.500,2,3,.667,0,5,5,4,1,2,4,1,18,13.6,-2
6,6,2024-11-02,36-034,PHO,,POR,W (+6),1,37:52,7,16,.438,3,8,.375,4,5,.800,1,8,9,2,0,0,3,1,21,13.3,+9
7,7,2024-11-04,36-036,PHO,,PHI,W (+2),1,38:33,14,20,.700,2,5,.400,5,5,1.000,0,4,4,6,0,1,3,2,35,28.9,+9
8,8,2024-11-06,36-038,PHO,,MIA,W (+3),1,37:13,13,23,.565,4,11,.364,2,3,.667,0,8,8,3,1,1,6,1,32,20.5,-1
9,9,2024-11-08,36-040,PHO,@,DAL,W (+1),1,36:58,8,14,.571,3,6,.500,7,7,1.000,1,4,5,4,1,2,1,2,26,24.7,+11
10,,2024-11-10,36-042,PHO,,SAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-12,36-044,PHO,@,UTA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
