Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,34-232,PHO,@,LAC,W (+3),0,14:13,2,2,1.000,0,0,,4,6,.667,1,1,2,1,0,1,1,1,8,7.6,-1
2,2,2024-10-25,34-234,PHO,@,LAL,L (-7),0,18:59,3,4,.750,0,0,,0,0,,1,6,7,0,1,0,0,4,6,6.3,+14
3,3,2024-10-26,34-235,PHO,,DAL,W (+12),0,9:56,1,1,1.000,0,0,,1,2,.500,0,1,1,1,0,0,0,3,3,2.1,+1
4,4,2024-10-28,34-237,PHO,,LAL,W (+4),0,26:16,0,0,,0,0,,0,0,,2,8,10,2,0,1,0,3,0,4.7,+23
5,5,2024-10-31,34-240,PHO,@,LAC,W (+6),0,17:23,3,7,.429,0,0,,2,4,.500,4,2,6,0,2,1,2,3,8,6.4,0
6,6,2024-11-02,34-242,PHO,,POR,W (+6),0,16:30,0,2,.000,0,0,,0,2,.000,1,5,6,2,0,2,1,0,0,1.8,-8
7,7,2024-11-04,34-244,PHO,,PHI,W (+2),0,14:21,2,3,.667,0,0,,1,2,.500,1,2,3,1,0,0,0,1,5,4.9,-4
8,8,2024-11-06,34-246,PHO,,MIA,W (+3),0,12:08,2,2,1.000,0,0,,0,0,,1,2,3,2,0,0,0,0,4,6.1,-1
9,9,2024-11-08,34-248,PHO,@,DAL,W (+1),0,14:19,2,2,1.000,0,0,,0,2,.000,0,2,2,0,0,0,0,2,4,2.4,+4
10,10,2024-11-10,34-250,PHO,,SAC,L (-9),0,25:44,2,2,1.000,0,0,,2,3,.667,2,9,11,6,1,0,1,3,6,12.1,-7
11,11,2024-11-12,34-252,PHO,@,UTA,W (+8),1,26:28,6,9,.667,0,0,,3,4,.750,3,11,14,2,0,1,0,1,15,17.8,0
12,12,2024-11-13,34-253,PHO,@,SAC,L (-23),0,11:30,0,3,.000,0,0,,1,2,.500,0,4,4,0,0,0,2,2,1,-3.1,-8
13,,2024-11-15,34-255,PHO,@,OKC,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,13,2024-11-17,34-257,PHO,@,MIN,L (-3),1,28:56,3,6,.500,0,0,,0,0,,3,5,8,4,1,0,4,6,6,4.0,0
15,14,2024-11-18,34-258,PHO,,ORL,L (-10),1,23:13,3,7,.429,0,0,,2,3,.667,5,6,11,6,0,0,3,3,8,9.2,-1
16,15,2024-11-20,34-260,PHO,,NYK,L (-16),0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
17,16,2024-11-26,34-266,PHO,,LAL,W (+27),0,6:22,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,2,0,-0.9,+4
18,17,2024-11-27,34-267,PHO,,BRK,L (-10),0,15:44,2,2,1.000,0,0,,2,2,1.000,1,3,4,2,0,0,0,1,6,8.0,+6
19,18,2024-11-30,34-270,PHO,,GSW,W (+8),1,16:11,1,5,.200,0,0,,0,0,,2,4,6,1,0,2,2,0,2,1.6,-7
20,19,2024-12-03,34-273,PHO,,SAS,W (+11),0,19:11,3,4,.750,0,0,,0,0,,1,5,6,1,1,4,0,2,6,10.3,+18
21,20,2024-12-05,34-275,PHO,@,NOP,L (-2),1,26:04,1,2,.500,0,0,,2,6,.333,2,8,10,3,1,2,0,1,4,9.3,+8
22,21,2024-12-07,34-277,PHO,@,MIA,L (-10),1,24:30,1,2,.500,0,0,,0,0,,3,8,11,3,0,0,1,4,2,5.0,-21
23,22,2024-12-08,34-278,PHO,@,ORL,L (-5),1,25:42,2,5,.400,0,0,,3,4,.750,1,5,6,0,1,4,2,2,7,7.1,-4
24,23,2024-12-13,34-283,PHO,@,UTA,W (+8),0,10:21,0,0,,0,0,,0,0,,3,6,9,1,1,1,2,4,0,2.7,+1
25,24,2024-12-15,34-285,PHO,,POR,W (+7),0,12:25,0,0,,0,0,,0,0,,1,3,4,1,0,1,0,0,0,3.0,+7
