Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,29-118,PHO,@,LAC,W (+3),0,12:33,2,5,.400,0,2,.000,1,2,.500,0,1,1,2,1,0,0,0,5,4.6,+2
2,2,2024-10-25,29-120,PHO,@,LAL,L (-7),0,13:11,2,3,.667,2,3,.667,2,2,1.000,1,1,2,3,2,0,0,0,8,11.8,+4
3,3,2024-10-26,29-121,PHO,,DAL,W (+12),0,16:28,2,7,.286,1,4,.250,3,4,.750,1,2,3,3,0,0,1,0,8,5.9,+6
4,4,2024-10-28,29-123,PHO,,LAL,W (+4),0,2:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+4
5,5,2024-10-31,29-126,PHO,@,LAC,W (+6),0,3:27,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-11
6,6,2024-11-02,29-128,PHO,,POR,W (+6),0,7:45,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,1.0,-4
7,,2024-11-04,29-130,PHO,,PHI,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2024-11-06,29-132,PHO,,MIA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-08,29-134,PHO,@,DAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-10,29-136,PHO,,SAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
