Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,22-101,PHO,@,LAC,W (+3),0,12:14,1,1,1.000,0,0,,0,0,,2,4,6,0,0,1,0,1,2,4.6,-2
2,2,2024-10-25,22-103,PHO,@,LAL,L (-7),0,6:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-1.9,-9
3,3,2024-10-26,22-104,PHO,,DAL,W (+12),0,7:05,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+9
4,,2024-10-28,22-106,PHO,,LAL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,4,2024-10-31,22-109,PHO,@,LAC,W (+6),0,4:35,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-3
6,,2024-11-02,22-111,PHO,,POR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-04,22-113,PHO,,PHI,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2024-11-06,22-115,PHO,,MIA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-08,22-117,PHO,@,DAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5,2024-11-10,22-119,PHO,,SAC,L (-9),0,10:06,2,4,.500,0,0,,1,1,1.000,0,2,2,1,0,0,1,3,5,2.1,+7
11,6,2024-11-12,22-121,PHO,@,UTA,W (+8),0,21:27,3,5,.600,0,0,,0,0,,4,8,12,0,0,2,1,2,6,8.5,+8
12,7,2024-11-13,22-122,PHO,@,SAC,L (-23),0,14:54,1,2,.500,0,0,,2,2,1.000,0,1,1,0,2,0,0,0,4,5.3,-4
13,8,2024-11-15,22-124,PHO,@,OKC,L (-16),0,27:21,1,2,.500,0,0,,4,4,1.000,1,6,7,2,0,1,1,5,6,6.6,-3
14,9,2024-11-17,22-126,PHO,@,MIN,L (-3),0,26:00,5,7,.714,0,0,,1,2,.500,1,2,3,1,0,0,1,3,11,7.5,+8
15,10,2024-11-18,22-127,PHO,,ORL,L (-10),1,32:20,6,8,.750,0,0,,0,1,.000,3,4,7,2,2,0,1,1,12,13.7,-8
16,11,2024-11-20,22-129,PHO,,NYK,L (-16),0,13:56,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,1,1,2,1.9,+6
17,12,2024-11-26,22-135,PHO,,LAL,W (+27),0,13:52,3,6,.500,0,0,,1,1,1.000,2,3,5,3,0,0,0,1,7,8.0,-2
18,13,2024-11-27,22-136,PHO,,BRK,L (-10),0,7:04,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,1,0,0.9,+2
19,14,2024-11-30,22-139,PHO,,GSW,W (+8),0,30:33,3,4,.750,0,0,,0,0,,2,6,8,0,0,2,2,3,6,5.8,+14
20,15,2024-12-03,22-142,PHO,,SAS,W (+11),1,28:01,3,5,.600,0,0,,1,2,.500,0,3,3,2,2,0,0,1,7,8.2,-8
21,16,2024-12-05,22-144,PHO,@,NOP,L (-2),0,20:10,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,1,5,4,1.7,-12
22,17,2024-12-07,22-146,PHO,@,MIA,L (-10),0,21:11,1,2,.500,0,0,,0,0,,2,4,6,1,0,0,1,0,2,3.3,+8
23,18,2024-12-08,22-147,PHO,@,ORL,L (-5),0,22:18,2,5,.400,0,0,,0,0,,4,1,5,4,0,0,0,3,4,6.0,-1
