Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-290,PHO,@,LAC,W (+3),0,8:44,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,1,0,3,2,-0.3,-2
2,2,2024-10-25,21-292,PHO,@,LAL,L (-7),0,13:31,3,5,.600,3,5,.600,0,0,,0,3,3,1,0,0,0,2,9,7.5,+8
3,3,2024-10-26,21-293,PHO,,DAL,W (+12),1,21:10,5,8,.625,3,6,.500,0,0,,1,0,1,1,0,0,1,5,13,7.8,+4
4,4,2024-10-28,21-295,PHO,,LAL,W (+4),0,15:22,3,5,.600,1,3,.333,0,0,,0,1,1,0,1,1,0,1,7,6.3,+3
5,5,2024-10-31,21-298,PHO,@,LAC,W (+6),1,34:18,6,12,.500,4,9,.444,0,0,,1,3,4,0,1,0,0,5,16,10.6,+11
6,6,2024-11-02,21-300,PHO,,POR,W (+6),0,13:42,0,4,.000,0,3,.000,0,0,,1,1,2,2,1,0,1,1,0,-0.8,+5
7,7,2024-11-04,21-302,PHO,,PHI,W (+2),0,10:27,0,3,.000,0,3,.000,0,0,,0,4,4,1,0,0,0,1,0,-0.6,-16
8,8,2024-11-06,21-304,PHO,,MIA,W (+3),0,9:28,2,2,1.000,2,2,1.000,1,2,.500,0,1,1,1,0,0,1,1,7,5.6,+2
9,,2024-11-08,21-306,PHO,@,DAL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9,2024-11-10,21-308,PHO,,SAC,L (-9),1,21:15,4,7,.571,0,3,.000,0,0,,0,2,2,0,1,1,0,1,8,6.6,+1
11,10,2024-11-12,21-310,PHO,@,UTA,W (+8),1,19:52,3,5,.600,2,2,1.000,0,0,,0,3,3,0,0,1,0,2,8,6.5,0
12,11,2024-11-13,21-311,PHO,@,SAC,L (-23),1,27:43,4,11,.364,2,7,.286,0,2,.000,2,1,3,1,1,2,0,4,10,6.3,-29
13,12,2024-11-15,21-313,PHO,@,OKC,L (-16),1,24:59,4,13,.308,1,9,.111,0,0,,0,5,5,0,1,1,1,2,9,2.9,-19
14,13,2024-11-17,21-315,PHO,@,MIN,L (-3),1,18:28,1,2,.500,0,1,.000,0,2,.000,0,0,0,0,1,0,3,3,2,-3.0,-11
