Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-294,POR,,GSW,L (-36),1,27:29,4,10,.400,0,3,.000,7,8,.875,2,5,7,2,2,2,4,2,15,12.1,-13
2,2,2024-10-25,23-296,POR,,NOP,L (-2),1,30:54,1,9,.111,0,3,.000,0,0,,1,5,6,6,1,2,2,1,2,2.5,+2
3,3,2024-10-27,23-298,POR,,NOP,W (+22),1,29:56,4,12,.333,1,5,.200,2,2,1.000,3,3,6,3,1,0,1,3,11,8.1,+21
4,4,2024-10-28,23-299,POR,@,SAC,L (-13),1,24:59,2,7,.286,0,4,.000,5,6,.833,0,4,4,1,2,0,2,2,9,5.6,-21
5,5,2024-10-30,23-301,POR,@,LAC,W (+1),1,29:02,3,8,.375,1,3,.333,6,6,1.000,0,10,10,2,1,2,2,2,13,12.6,-4
6,6,2024-11-01,23-303,POR,,OKC,L (-23),1,23:00,5,10,.500,1,3,.333,0,1,.000,1,2,3,4,1,0,6,2,11,3.9,-11
7,7,2024-11-02,23-304,POR,@,PHO,L (-6),1,32:19,4,12,.333,2,5,.400,3,3,1.000,2,4,6,2,2,2,1,2,13,11.8,+12
8,8,2024-11-04,23-306,POR,@,NOP,W (+18),1,20:45,2,5,.400,0,1,.000,3,4,.750,2,4,6,3,0,0,0,2,7,7.8,-7
9,9,2024-11-07,23-309,POR,@,SAS,L (-13),1,24:48,3,5,.600,1,3,.333,2,5,.400,2,5,7,5,0,0,1,0,9,10.9,-4
10,10,2024-11-08,23-310,POR,@,MIN,L (-25),1,23:27,4,9,.444,0,2,.000,1,3,.333,1,4,5,1,1,0,1,2,9,5.3,-26
11,11,2024-11-10,23-312,POR,,MEM,L (-45),0,13:26,0,5,.000,0,3,.000,0,0,,1,1,2,4,0,1,2,1,0,-1.4,-14
12,12,2024-11-12,23-314,POR,,MIN,W (+14),0,25:15,4,10,.400,3,6,.500,6,6,1.000,0,4,4,5,1,1,1,2,17,16.2,+5
13,13,2024-11-13,23-315,POR,,MIN,W (+8),0,18:24,1,5,.200,1,2,.500,4,4,1.000,0,6,6,1,1,0,3,2,7,3.6,+15
14,14,2024-11-17,23-319,POR,,ATL,W (+4),0,25:17,4,8,.500,2,4,.500,2,2,1.000,3,5,8,4,2,1,1,1,12,15.7,+1
15,15,2024-11-20,23-322,POR,@,OKC,L (-10),0,23:39,4,10,.400,1,3,.333,4,7,.571,2,4,6,1,1,1,1,2,13,9.6,-14
16,16,2024-11-22,23-324,POR,@,HOU,L (-28),0,23:26,4,9,.444,1,3,.333,4,5,.800,1,5,6,1,0,0,4,3,13,5.6,-16
17,17,2024-11-23,23-325,POR,@,HOU,W (+6),0,33:23,4,8,.500,2,3,.667,4,6,.667,2,8,10,2,1,4,3,1,14,14.8,-2
18,18,2024-11-25,23-327,POR,@,MEM,L (-25),0,31:54,7,16,.438,2,7,.286,1,2,.500,1,7,8,6,1,1,3,4,17,12.3,-11
19,19,2024-11-27,23-329,POR,@,IND,L (-7),1,41:09,6,12,.500,2,5,.400,2,2,1.000,1,4,5,7,2,0,2,3,16,15.6,-4
