Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,20-243,POR,,GSW,L (-36),0,12:35,1,2,.500,0,0,,0,0,,0,2,2,0,1,1,1,1,2,1.9,-9
2,2,2024-10-25,20-245,POR,,NOP,L (-2),0,14:26,1,1,1.000,0,0,,2,3,.667,2,4,6,0,0,4,2,3,4,5.5,0
3,3,2024-10-27,20-247,POR,,NOP,W (+22),0,13:09,4,6,.667,0,0,,1,1,1.000,6,3,9,0,0,2,0,3,9,11.7,+6
4,4,2024-10-28,20-248,POR,@,SAC,L (-13),0,11:59,1,2,.500,0,0,,0,0,,1,5,6,0,0,1,0,2,2,3.1,+3
5,5,2024-10-30,20-250,POR,@,LAC,W (+1),0,11:07,3,5,.600,1,1,1.000,0,0,,3,3,6,0,1,1,1,4,7,6.8,+9
6,6,2024-11-01,20-252,POR,,OKC,L (-23),0,12:32,1,3,.333,0,0,,1,2,.500,3,4,7,0,0,1,0,3,3,3.7,-1
7,7,2024-11-02,20-253,POR,@,PHO,L (-6),0,13:42,1,3,.333,0,1,.000,1,2,.500,2,2,4,0,0,1,1,2,3,1.8,-16
8,8,2024-11-04,20-255,POR,@,NOP,W (+18),0,16:09,1,1,1.000,0,0,,2,2,1.000,0,3,3,0,0,3,2,4,4,3.1,+9
9,9,2024-11-07,20-258,POR,@,SAS,L (-13),0,11:43,0,2,.000,0,1,.000,0,0,,4,0,4,2,1,1,1,2,0,2.7,-9
10,10,2024-11-08,20-259,POR,@,MIN,L (-25),0,18:34,3,7,.429,0,0,,0,0,,1,2,3,0,0,2,0,1,6,4.6,-19
11,11,2024-11-10,20-261,POR,,MEM,L (-45),0,16:56,5,7,.714,0,1,.000,3,3,1.000,1,2,3,0,1,1,2,3,13,9.9,-14
12,12,2024-11-12,20-263,POR,,MIN,W (+14),1,21:06,2,5,.400,0,1,.000,0,0,,3,3,6,0,1,1,1,5,4,3.0,+3
13,13,2024-11-13,20-264,POR,,MIN,W (+8),1,31:28,6,10,.600,0,0,,5,5,1.000,6,6,12,1,0,8,1,3,17,22.5,+15
14,14,2024-11-17,20-268,POR,,ATL,W (+4),1,21:45,3,4,.750,0,0,,0,0,,5,3,8,0,1,3,1,3,6,9.7,-20
15,15,2024-11-20,20-271,POR,@,OKC,L (-10),1,21:25,4,7,.571,1,1,1.000,1,4,.250,5,4,9,0,2,2,1,3,10,11.4,+5
16,16,2024-11-22,20-273,POR,@,HOU,L (-28),1,15:04,4,7,.571,1,3,.333,0,0,,3,4,7,1,0,2,2,4,9,7.5,-11
17,17,2024-11-23,20-274,POR,@,HOU,W (+6),1,25:36,0,4,.000,0,0,,0,0,,9,10,19,1,1,3,1,4,0,7.7,+3
18,,2024-11-25,20-276,POR,@,MEM,L (-25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,,2024-11-27,20-278,POR,@,IND,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
