Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,30-225,POR,,GSW,L (-36),1,33:10,6,18,.333,2,8,.250,2,2,1.000,0,2,2,3,1,1,0,2,16,9.4,-16
2,2,2024-10-25,30-227,POR,,NOP,L (-2),1,40:13,11,23,.478,8,17,.471,4,4,1.000,0,6,6,1,1,3,5,3,34,21.7,-4
3,3,2024-10-27,30-229,POR,,NOP,W (+22),1,28:37,9,17,.529,2,7,.286,8,12,.667,1,4,5,2,2,4,3,3,28,22.0,+7
4,4,2024-10-28,30-230,POR,@,SAC,L (-13),1,29:26,3,12,.250,1,3,.333,0,0,,0,8,8,2,1,1,2,2,7,2.5,-19
5,5,2024-10-30,30-232,POR,@,LAC,W (+1),1,33:43,3,14,.214,2,7,.286,0,0,,2,1,3,1,0,0,2,2,8,-1.0,-5
6,6,2024-11-01,30-234,POR,,OKC,L (-23),1,28:17,5,11,.455,3,7,.429,4,5,.800,0,3,3,2,0,1,1,1,17,12.5,-22
7,7,2024-11-02,30-235,POR,@,PHO,L (-6),1,39:06,8,23,.348,2,9,.222,2,2,1.000,0,7,7,2,1,1,1,2,20,10.5,+2
8,8,2024-11-04,30-237,POR,@,NOP,W (+18),1,35:43,5,15,.333,2,7,.286,4,4,1.000,1,2,3,4,2,1,0,0,16,14.3,+18
9,9,2024-11-07,30-240,POR,@,SAS,L (-13),1,36:56,6,10,.600,1,4,.250,8,11,.727,0,3,3,1,0,0,2,3,21,13.6,-16
10,10,2024-11-08,30-241,POR,@,MIN,L (-25),1,26:56,4,10,.400,2,4,.500,2,3,.667,0,1,1,0,0,2,0,1,12,7.5,-25
11,11,2024-11-10,30-243,POR,,MEM,L (-45),1,28:06,7,15,.467,2,8,.250,4,6,.667,0,1,1,1,1,0,0,2,20,12.7,-28
