Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,21-146,POR,,GSW,L (-36),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2,,2024-10-25,21-148,POR,,NOP,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
3,,2024-10-27,21-150,POR,,NOP,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
4,,2024-10-28,21-151,POR,@,SAC,L (-13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
5,,2024-10-30,21-153,POR,@,LAC,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2024-11-01,21-155,POR,,OKC,L (-23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-02,21-156,POR,@,PHO,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
8,,2024-11-04,21-158,POR,@,NOP,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,1,2024-11-07,21-161,POR,@,SAS,L (-13),0,20:11,6,9,.667,1,4,.250,0,0,,1,1,2,1,0,1,1,2,13,9.7,-4
10,2,2024-11-08,21-162,POR,@,MIN,L (-25),0,20:44,2,8,.250,0,4,.000,2,3,.667,0,2,2,2,0,0,2,1,6,0.4,0
11,3,2024-11-10,21-164,POR,,MEM,L (-45),1,19:15,3,10,.300,0,5,.000,1,2,.500,2,1,3,0,0,0,0,0,7,2.5,-23
12,4,2024-11-12,21-166,POR,,MIN,W (+14),1,32:53,7,15,.467,3,5,.600,0,0,,1,2,3,3,3,0,2,4,17,12.1,+3
13,5,2024-11-13,21-167,POR,,MIN,W (+8),1,36:11,12,23,.522,3,10,.300,6,7,.857,1,5,6,1,0,0,3,2,33,20.4,-4
14,6,2024-11-17,21-171,POR,,ATL,W (+4),1,31:47,11,21,.524,3,8,.375,7,12,.583,0,2,2,5,3,0,3,3,32,22.6,+8
15,7,2024-11-20,21-174,POR,@,OKC,L (-10),1,37:56,6,16,.375,4,8,.500,5,6,.833,0,4,4,2,0,0,6,3,21,7.2,-8
16,8,2024-11-22,21-176,POR,@,HOU,L (-28),1,23:16,3,9,.333,1,3,.333,6,6,1.000,1,0,1,2,2,0,0,1,13,11.6,-18
17,9,2024-11-23,21-177,POR,@,HOU,W (+6),1,35:57,7,18,.389,4,9,.444,6,6,1.000,1,2,3,1,2,0,2,3,24,15.0,+8
18,10,2024-11-25,21-179,POR,@,MEM,L (-25),1,29:35,4,12,.333,1,6,.167,6,6,1.000,2,2,4,2,0,2,1,0,15,12.0,-22
19,11,2024-11-27,21-181,POR,@,IND,L (-7),1,37:04,8,19,.421,1,7,.143,0,1,.000,1,2,3,3,0,0,1,1,17,8.5,0
20,12,2024-11-29,21-183,POR,,SAC,W (+9),1,37:29,6,15,.400,0,6,.000,2,3,.667,0,4,4,5,0,0,1,1,14,8.8,+2
21,13,2024-12-01,21-185,POR,,DAL,L (-6),1,36:56,10,20,.500,2,6,.333,0,0,,1,3,4,3,2,0,3,2,22,13.9,-1
22,14,2024-12-03,21-187,POR,@,LAC,L (-22),1,27:17,4,7,.571,2,4,.500,5,5,1.000,0,4,4,1,1,0,4,1,15,10.2,-13
23,15,2024-12-06,21-190,POR,,UTA,L (-42),1,28:42,3,12,.250,1,8,.125,3,4,.750,1,1,2,4,0,0,0,1,10,5.8,-30
24,16,2024-12-08,21-192,POR,@,LAL,L (-9),1,33:36,7,15,.467,2,6,.333,3,4,.750,0,6,6,3,0,0,3,3,19,10.6,-2
25,17,2024-12-13,21-197,POR,,SAS,L (-2),1,32:45,5,10,.500,1,4,.250,0,0,,0,4,4,2,0,1,2,2,11,6.5,+6
26,18,2024-12-15,21-199,POR,@,PHO,L (-7),1,32:12,5,15,.333,1,8,.125,1,1,1.000,1,4,5,5,1,0,0,1,12,9.5,-2
27,19,2024-12-19,21-203,POR,,DEN,W (+2),1,28:42,9,18,.500,2,8,.250,7,8,.875,2,4,6,4,0,0,0,1,27,22.6,+4
28,20,2024-12-21,21-205,POR,@,SAS,L (-20),1,30:31,11,16,.688,3,6,.500,0,1,.000,0,3,3,0,1,0,1,1,25,18.3,-20
29,21,2024-12-23,21-207,POR,@,DAL,L (-24),1,24:13,6,14,.429,1,4,.250,0,0,,0,2,2,3,3,0,1,1,13,9.9,-16
30,22,2024-12-26,21-210,POR,,UTA,W (+2),1,30:42,11,18,.611,5,10,.500,0,0,,0,5,5,3,0,2,0,2,27,23.0,+7
31,23,2024-12-28,21-212,POR,,DAL,W (+4),1,38:03,9,18,.500,2,4,.500,3,3,1.000,1,4,5,4,1,0,0,3,23,18.5,+17
32,24,2024-12-30,21-214,POR,,PHI,L (-22),1,34:14,5,14,.357,1,8,.125,1,2,.500,0,1,1,1,0,0,3,3,12,0.6,-25
33,25,2025-01-02,21-217,POR,@,LAL,L (-8),1,36:54,6,16,.375,1,5,.200,6,8,.750,0,5,5,1,1,0,3,2,19,8.8,-7
34,26,2025-01-04,21-219,POR,@,MIL,W (+3),1,31:46,7,15,.467,2,7,.286,0,2,.000,1,3,4,3,1,0,1,1,16,10.8,+1
35,27,2025-01-06,21-221,POR,@,DET,L (-3),1,43:09,8,17,.471,3,7,.429,1,1,1.000,1,7,8,8,2,1,1,3,20,20.2,+1
36,28,2025-01-08,21-223,POR,@,NOP,W (+19),1,33:18,8,13,.615,4,7,.571,1,1,1.000,0,1,1,2,1,0,2,0,21,15.8,+28
37,29,2025-01-09,21-224,POR,@,DAL,L (-6),1,32:23,8,19,.421,3,6,.500,3,3,1.000,2,6,8,3,2,1,3,5,22,14.9,-15
38,30,2025-01-11,21-226,POR,,MIA,L (-21),1,37:21,7,20,.350,3,8,.375,5,6,.833,0,3,3,5,0,1,6,2,22,8.7,-18
39,31,2025-01-14,21-229,POR,,BRK,L (-18),1,34:32,9,17,.529,1,5,.200,2,2,1.000,0,2,2,2,1,0,2,1,21,13.3,-11
40,32,2025-01-16,21-231,POR,,LAC,L (-29),1,22:52,5,11,.455,1,3,.333,1,1,1.000,2,2,4,4,1,0,3,3,12,7.9,-20
41,33,2025-01-18,21-233,POR,,HOU,L (-22),1,27:58,5,14,.357,2,6,.333,1,1,1.000,3,5,8,1,0,0,4,1,13,5.1,-18
42,34,2025-01-19,21-234,POR,,CHI,W (+11),0,33:25,8,18,.444,2,7,.286,5,6,.833,0,4,4,3,0,0,3,2,23,12.7,+2
43,35,2025-01-21,21-236,POR,@,MIA,W (+9),0,27:36,4,9,.444,2,6,.333,2,2,1.000,0,5,5,4,0,0,1,2,12,9.8,+4
44,36,2025-01-23,21-238,POR,@,ORL,W (+22),0,24:28,3,11,.273,1,4,.250,0,0,,0,4,4,0,1,0,4,1,7,-1.7,+8
45,37,2025-01-24,21-239,POR,@,CHO,W (+5),0,31:29,5,13,.385,1,6,.167,2,3,.667,1,8,9,0,0,0,2,6,13,4.2,-10
46,38,2025-01-26,21-241,POR,,OKC,L (-10),0,19:09,3,10,.300,2,4,.500,2,4,.500,1,1,2,0,0,1,1,1,10,3.7,-28
47,39,2025-01-28,21-243,POR,,MIL,W (+13),0,30:51,6,14,.429,3,7,.429,2,2,1.000,1,4,5,3,2,0,1,3,17,13.4,+10
48,40,2025-01-30,21-245,POR,,ORL,W (+29),0,32:47,9,14,.643,3,6,.500,2,2,1.000,1,1,2,2,1,0,1,2,23,18.4,+26
49,41,2025-02-01,21-247,POR,,PHO,W (+19),0,25:13,5,12,.417,3,5,.600,3,4,.750,0,1,1,0,1,0,2,3,16,7.3,+15
50,42,2025-02-03,21-249,POR,,PHO,W (+2),0,19:11,2,5,.400,1,4,.250,4,4,1.000,0,1,1,2,0,0,1,0,9,7.0,-11
51,43,2025-02-04,21-250,POR,,IND,W (+23),0,24:04,6,17,.353,1,7,.143,4,4,1.000,1,3,4,1,3,0,1,0,17,11.8,+8
52,44,2025-02-06,21-252,POR,,SAC,W (+6),0,31:08,9,18,.500,3,9,.333,3,4,.750,0,4,4,1,0,0,2,0,24,14.5,+11
53,45,2025-02-08,21-254,POR,@,MIN,L (-16),0,27:27,6,14,.429,1,6,.167,1,2,.500,1,2,3,3,1,0,1,1,14,9.2,-17
54,46,2025-02-10,21-256,POR,@,DEN,L (-29),0,20:25,5,11,.455,1,6,.167,0,0,,2,1,3,1,1,0,1,1,11,7.3,-13
55,47,2025-02-12,21-258,POR,@,DEN,L (-11),0,30:17,5,15,.333,1,6,.167,3,4,.750,1,3,4,7,1,0,1,1,14,11.2,-7
56,48,2025-02-20,21-266,POR,,LAL,L (-8),0,21:03,4,11,.364,3,7,.429,0,0,,1,0,1,2,0,0,4,0,11,3.0,-20
57,49,2025-02-22,21-268,POR,,CHO,W (+53),0,21:09,8,12,.667,4,7,.571,0,0,,0,3,3,5,0,2,1,0,20,19.6,+27
58,50,2025-02-24,21-270,POR,@,UTA,W (+2),0,17:47,5,13,.385,2,6,.333,0,0,,1,1,2,0,0,0,1,0,12,4.9,-24
59,51,2025-02-26,21-272,POR,@,WAS,W (+8),0,33:15,13,26,.500,3,7,.429,7,10,.700,3,5,8,5,1,1,3,3,36,26.4,+3
60,52,2025-02-28,21-274,POR,@,BRK,W (+19),1,35:53,9,14,.643,4,6,.667,3,5,.600,1,3,4,5,0,1,3,3,25,19.6,+15
61,53,2025-03-02,21-276,POR,@,CLE,L (-4),1,38:30,7,20,.350,1,6,.167,3,3,1.000,2,4,6,2,1,0,2,2,18,9.0,-2
62,54,2025-03-03,21-277,POR,@,PHI,W (+17),1,37:10,8,17,.471,1,7,.143,3,3,1.000,3,8,11,5,1,0,1,0,20,19.3,+16
63,55,2025-03-05,21-279,POR,@,BOS,L (-10),1,40:23,11,18,.611,3,7,.429,0,0,,0,6,6,2,1,0,0,3,25,19.8,+6
64,56,2025-03-07,21-281,POR,@,OKC,L (-18),1,35:48,7,14,.500,2,7,.286,3,3,1.000,0,3,3,2,1,0,5,1,19,9.9,-18
65,57,2025-03-09,21-283,POR,,DET,L (-7),1,27:52,4,11,.364,0,5,.000,4,5,.800,0,4,4,1,0,0,2,5,12,3.4,-18
