Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,24-168,POR,,GSW,L (-36),1,29:53,3,8,.375,2,4,.500,3,4,.750,4,2,6,4,2,0,2,4,11,10.8,-22
2,2,2024-10-25,24-170,POR,,NOP,L (-2),1,24:56,2,6,.333,1,2,.500,0,0,,4,2,6,2,1,0,1,4,5,4.8,+3
3,3,2024-10-27,24-172,POR,,NOP,W (+22),1,33:39,5,8,.625,2,3,.667,0,1,.000,2,1,3,4,2,0,0,3,12,13.3,+18
4,4,2024-10-28,24-173,POR,@,SAC,L (-13),1,20:49,1,3,.333,0,1,.000,0,0,,2,0,2,3,1,1,1,4,2,2.9,-7
5,5,2024-10-30,24-175,POR,@,LAC,W (+1),1,40:12,5,10,.500,2,4,.500,0,0,,0,1,1,1,3,1,1,2,12,9.9,-7
6,6,2024-11-01,24-177,POR,,OKC,L (-23),1,24:21,4,7,.571,3,5,.600,2,2,1.000,0,3,3,2,2,0,2,2,13,11.2,-25
7,7,2024-11-02,24-178,POR,@,PHO,L (-6),1,34:24,3,9,.333,1,3,.333,0,0,,5,5,10,1,2,0,0,2,7,8.8,+1
8,8,2024-11-04,24-180,POR,@,NOP,W (+18),1,36:31,6,12,.500,2,5,.400,2,4,.500,2,3,5,4,1,1,0,4,16,14.4,+15
9,9,2024-11-07,24-183,POR,@,SAS,L (-13),1,34:32,2,7,.286,0,3,.000,0,0,,3,6,9,1,1,0,2,3,4,2.3,-10
10,10,2024-11-08,24-184,POR,@,MIN,L (-25),1,25:25,1,3,.333,0,2,.000,1,2,.500,2,3,5,0,2,1,6,4,3,-1.7,-3
11,11,2024-11-10,24-186,POR,,MEM,L (-45),1,25:36,2,5,.400,1,3,.333,4,4,1.000,1,3,4,0,1,0,3,2,9,5.1,-26
12,12,2024-11-12,24-188,POR,,MIN,W (+14),1,37:52,5,8,.625,4,5,.800,0,0,,2,2,4,3,2,0,3,3,14,12.3,+20
13,13,2024-11-13,24-189,POR,,MIN,W (+8),1,35:24,5,9,.556,1,3,.333,0,0,,2,6,8,1,2,0,2,1,11,10.2,-6
14,14,2024-11-17,24-193,POR,,ATL,W (+4),1,35:00,1,8,.125,1,3,.333,0,0,,3,1,4,5,4,0,1,4,3,5.1,-6
15,15,2024-11-20,24-196,POR,@,OKC,L (-10),1,37:51,5,11,.455,2,7,.286,2,2,1.000,3,6,9,2,0,1,3,3,14,10.1,-5
16,16,2024-11-22,24-198,POR,@,HOU,L (-28),1,25:52,4,13,.308,3,9,.333,0,0,,0,3,3,3,1,1,0,2,11,7.4,-4
17,17,2024-11-23,24-199,POR,@,HOU,W (+6),1,28:17,2,10,.200,1,5,.200,0,2,.000,1,4,5,1,1,1,2,4,5,-1.3,-4
18,18,2024-11-25,24-201,POR,@,MEM,L (-25),1,28:04,4,15,.267,1,8,.125,1,2,.500,6,2,8,3,2,0,1,3,10,7.4,-18
19,19,2024-11-27,24-203,POR,@,IND,L (-7),1,24:18,3,4,.750,2,3,.667,0,0,,3,1,4,2,1,0,3,4,8,6.6,-10
20,20,2024-11-29,24-205,POR,,SAC,W (+9),1,32:46,4,8,.500,1,4,.250,2,2,1.000,1,3,4,2,0,1,0,4,11,9.1,-1
