Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-24,24-105,SAC,,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-26,24-107,SAC,@,LAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1,2024-10-28,24-109,SAC,,POR,W (+13),0,2:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
4,2,2024-10-29,24-110,SAC,@,UTA,W (+17),0,2:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
5,,2024-11-01,24-113,SAC,@,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2024-11-02,24-114,SAC,@,TOR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-04,24-116,SAC,@,MIA,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,3,2024-11-06,24-118,SAC,,TOR,W (+15),0,1:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
9,,2024-11-08,24-120,SAC,,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-10,24-122,SAC,@,PHO,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,4,2024-11-11,24-123,SAC,@,SAS,L (-20),0,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
12,5,2024-11-13,24-125,SAC,,PHO,W (+23),0,2:54,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,+4
13,,2024-11-15,24-127,SAC,,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,6,2024-11-16,24-128,SAC,,UTA,W (+4),0,12:02,2,2,1.000,0,0,,2,2,1.000,1,1,2,0,0,1,0,4,6,5.5,-2
15,7,2024-11-18,24-130,SAC,,ATL,L (-1),0,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,+3
16,,2024-11-22,24-134,SAC,@,LAC,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,2024-11-24,24-136,SAC,,BRK,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,8,2024-11-25,24-137,SAC,,OKC,L (-21),0,9:26,3,3,1.000,0,0,,0,1,.000,1,1,2,0,0,1,1,0,6,5.4,-11
19,9,2024-11-27,24-139,SAC,@,MIN,W (+11),0,21:19,4,7,.571,0,1,.000,0,0,,2,3,5,1,0,0,0,1,8,7.3,-10
20,10,2024-11-29,24-141,SAC,@,POR,L (-9),0,20:01,3,6,.500,0,1,.000,1,3,.333,1,3,4,0,0,0,1,3,7,2.6,-5
21,11,2024-12-01,24-143,SAC,,SAS,L (-2),0,19:26,5,7,.714,0,0,,2,3,.667,2,2,4,1,1,1,2,5,12,9.1,+6
22,12,2024-12-03,24-145,SAC,,HOU,W (+9),0,18:10,5,5,1.000,0,0,,2,4,.500,0,2,2,0,0,2,1,2,12,9.9,-12
23,13,2024-12-05,24-147,SAC,@,MEM,L (-5),0,16:06,4,7,.571,1,1,1.000,0,2,.000,1,2,3,0,0,1,1,3,9,4.7,-2
24,14,2024-12-06,24-148,SAC,@,SAS,W (+27),0,7:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+6
25,,2024-12-08,24-150,SAC,,UTA,W (+44),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,15,2024-12-12,24-154,SAC,@,NOP,W (+2),0,4:46,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7
27,16,2024-12-16,24-158,SAC,,DEN,L (-1),0,6:24,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.9,-2
28,17,2024-12-19,24-161,SAC,,LAL,L (-13),0,4:51,1,1,1.000,0,0,,0,0,,0,3,3,0,0,2,0,0,2,4.0,+1
29,18,2024-12-21,24-163,SAC,,LAL,L (-4),0,11:00,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,0,1,0,3,3.3,-4
30,19,2024-12-22,24-164,SAC,,IND,L (-27),0,4:51,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,2.7,-2
31,20,2024-12-26,24-168,SAC,,DET,L (-1),0,3:16,1,1,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,1,0,3,2.4,-3
32,,2024-12-28,24-170,SAC,@,LAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,21,2024-12-30,24-172,SAC,,DAL,W (+10),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
34,,2025-01-01,24-174,SAC,,PHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2025-01-03,24-176,SAC,,MEM,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
