Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,22-355,MEM,@,UTA,W (+2),0,16:09,2,4,.500,1,2,.500,0,0,,0,1,1,0,0,1,0,2,5,3.2,-1
2,2,2024-10-25,22-357,MEM,@,HOU,L (-20),0,23:27,2,4,.500,0,2,.000,2,5,.400,3,3,6,4,0,0,2,4,6,5.0,-6
3,3,2024-10-26,22-358,MEM,,ORL,W (+13),0,23:02,1,1,1.000,0,0,,1,2,.500,1,6,7,2,1,0,1,0,3,6.2,+13
4,4,2024-10-28,22-360,MEM,,CHI,L (-3),0,30:45,7,11,.636,1,3,.333,2,5,.400,2,7,9,5,0,0,1,1,17,16.5,0
5,5,2024-10-30,22-362,MEM,,BRK,L (-13),0,25:38,1,10,.100,0,2,.000,1,2,.500,5,2,7,5,0,1,2,3,3,1.1,-1
6,6,2024-10-31,22-363,MEM,,MIL,W (+23),0,32:43,3,6,.500,1,3,.333,4,6,.667,1,9,10,3,2,0,1,4,11,12.1,+30
7,7,2024-11-02,22-365,MEM,@,PHI,W (+17),0,26:10,3,5,.600,2,4,.500,0,0,,0,2,2,2,0,0,3,5,8,2.7,+4
8,8,2024-11-04,23-001,MEM,@,BRK,L (-2),0,31:38,2,5,.400,1,3,.333,1,2,.500,1,4,5,6,2,0,1,1,6,9.6,+3
9,9,2024-11-06,23-003,MEM,,LAL,W (+17),0,28:49,6,11,.545,1,3,.333,0,1,.000,2,3,5,8,1,0,1,2,13,14.4,+2
10,10,2024-11-08,23-005,MEM,,WAS,W (+24),0,26:52,3,7,.429,2,4,.500,1,1,1.000,3,2,5,5,1,0,2,2,9,9.7,+6
11,11,2024-11-10,23-007,MEM,@,POR,W (+45),0,23:29,6,9,.667,2,3,.667,4,4,1.000,2,2,4,2,3,3,2,2,18,19.8,+23
12,12,2024-11-13,23-010,MEM,@,LAL,L (-5),0,20:16,3,4,.750,1,1,1.000,3,4,.750,1,2,3,4,0,0,1,2,10,10.3,-4
13,13,2024-11-15,23-012,MEM,@,GSW,L (-5),0,16:55,2,6,.333,1,3,.333,2,2,1.000,1,2,3,2,3,2,3,4,7,6.1,+6
14,14,2024-11-17,23-014,MEM,,DEN,W (+15),0,20:04,2,3,.667,1,1,1.000,2,2,1.000,0,2,2,4,1,1,1,0,7,9.8,+12
15,15,2024-11-19,23-016,MEM,,DEN,L (-12),0,27:41,3,11,.273,0,2,.000,2,2,1.000,3,6,9,5,0,3,0,4,8,9.4,-9
16,16,2024-11-20,23-017,MEM,,PHI,W (+6),0,25:13,4,4,1.000,1,1,1.000,2,2,1.000,2,3,5,4,1,1,1,2,11,14.8,+11
17,17,2024-11-23,23-020,MEM,@,CHI,W (+11),0,18:28,1,6,.167,0,2,.000,0,0,,1,3,4,6,0,0,1,2,2,2.2,+2
18,18,2024-11-25,23-022,MEM,,POR,W (+25),0,20:07,2,3,.667,0,0,,4,4,1.000,0,5,5,5,1,2,3,1,8,10.7,+17
19,19,2024-11-27,23-024,MEM,,DET,W (+20),0,25:05,8,9,.889,3,4,.750,0,0,,0,2,2,3,0,1,1,3,19,17.1,+17
