Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,32-171,WAS,,BOS,L (-20),0,20:13,8,13,.615,0,0,,2,2,1.000,2,3,5,2,0,0,0,0,18,15.8,-17
2,2,2024-10-26,32-173,WAS,,CLE,L (-19),0,21:07,4,7,.571,0,0,,2,2,1.000,4,4,8,0,1,0,3,1,10,8.3,-9
3,3,2024-10-28,32-175,WAS,@,ATL,W (+2),1,22:15,3,7,.429,0,1,.000,1,1,1.000,2,7,9,4,0,0,4,0,7,5.6,+2
4,4,2024-10-30,32-177,WAS,,ATL,W (+13),0,24:53,8,10,.800,1,1,1.000,5,6,.833,1,7,8,6,0,0,3,3,22,20.6,-4
5,5,2024-11-02,32-180,WAS,,MIA,L (-20),0,16:01,2,8,.250,0,0,,0,1,.000,2,5,7,1,1,1,2,4,4,0.5,-11
6,6,2024-11-04,32-182,WAS,,GSW,L (-13),0,21:25,6,10,.600,0,0,,4,4,1.000,3,9,12,7,0,0,1,1,16,19.7,-2
7,7,2024-11-08,32-186,WAS,@,MEM,L (-24),1,23:26,7,11,.636,0,1,.000,2,2,1.000,3,2,5,0,2,3,0,2,16,17.1,-20
8,8,2024-11-10,32-188,WAS,@,ORL,L (-27),0,18:20,3,3,1.000,0,0,,2,2,1.000,0,3,3,1,0,1,3,2,8,5.6,-8
9,9,2024-11-11,32-189,WAS,@,HOU,L (-15),0,16:56,4,7,.571,0,0,,2,2,1.000,3,5,8,2,1,0,0,1,10,12.3,-4
10,10,2024-11-13,32-191,WAS,@,SAS,L (-9),0,22:28,6,12,.500,0,1,.000,4,4,1.000,5,8,13,2,0,2,1,3,16,16.5,+8
11,11,2024-11-15,32-193,WAS,@,ATL,L (-12),0,16:53,2,5,.400,0,0,,2,2,1.000,2,3,5,0,0,0,2,1,6,3.2,-22
12,12,2024-11-17,32-195,WAS,,DET,L (-20),0,20:06,4,11,.364,1,1,1.000,4,4,1.000,1,9,10,2,0,1,1,1,13,11.0,-3
13,13,2024-11-18,32-196,WAS,@,NYK,L (-28),0,18:11,8,11,.727,0,0,,2,2,1.000,4,4,8,3,0,2,2,1,18,18.6,-2
14,14,2024-11-22,32-200,WAS,,BOS,L (-12),0,19:01,5,8,.625,0,1,.000,1,1,1.000,4,6,10,1,0,1,3,3,11,9.2,-1
15,15,2024-11-24,32-202,WAS,@,IND,L (-12),0,16:21,1,1,1.000,0,0,,2,2,1.000,1,7,8,2,1,0,1,3,4,6.7,+4
16,16,2024-11-26,32-204,WAS,,CHI,L (-19),0,14:11,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,0,2,4,2.8,-6
17,17,2024-11-27,32-205,WAS,,LAC,L (-25),0,17:50,7,11,.636,0,0,,3,4,.750,2,5,7,1,0,1,0,1,17,15.6,+2
18,18,2024-11-30,32-208,WAS,@,MIL,L (-10),1,30:48,6,9,.667,0,2,.000,4,4,1.000,1,6,7,5,1,0,4,4,16,13.5,-4
19,19,2024-12-03,32-211,WAS,@,CLE,L (-31),1,18:55,5,9,.556,0,0,,3,4,.750,4,7,11,0,1,1,1,0,13,13.9,-13
20,20,2024-12-05,32-213,WAS,,DAL,L (-36),0,12:46,4,7,.571,0,0,,1,2,.500,2,3,5,1,0,0,1,1,9,6.9,-25
21,21,2024-12-07,32-215,WAS,,DEN,W (+9),1,31:49,8,15,.533,0,1,.000,4,4,1.000,3,9,12,5,0,5,5,3,20,18.3,-1
22,22,2024-12-08,32-216,WAS,,MEM,L (-28),1,23:28,8,17,.471,0,1,.000,4,4,1.000,7,7,14,2,0,1,3,0,20,17.4,-22
23,23,2024-12-13,32-221,WAS,@,CLE,L (-10),0,16:56,3,6,.500,0,0,,2,2,1.000,0,4,4,2,0,0,3,3,8,3.4,-5
24,24,2024-12-15,32-223,WAS,,BOS,L (-14),0,8:53,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,1,1,1,2,0.6,-21
25,25,2024-12-19,32-227,WAS,,CHO,W (+9),0,15:23,3,6,.500,0,1,.000,0,0,,0,8,8,4,0,0,0,0,6,8.2,+5
26,26,2024-12-21,32-229,WAS,@,MIL,L (-11),0,15:22,3,7,.429,0,2,.000,0,0,,2,4,6,3,0,0,1,0,6,6.0,-4
27,27,2024-12-23,32-231,WAS,@,OKC,L (-18),1,28:42,6,12,.500,0,1,.000,0,0,,4,12,16,1,2,2,2,1,12,14.1,-2
28,28,2024-12-26,32-234,WAS,,CHO,W (+3),0,23:27,5,8,.625,0,1,.000,4,4,1.000,2,10,12,3,3,0,2,3,14,16.7,+2
29,29,2024-12-28,32-236,WAS,,NYK,L (-4),0,21:14,4,9,.444,0,0,,0,0,,1,7,8,3,1,1,1,2,8,8.1,-8
30,30,2024-12-30,32-238,WAS,,NYK,L (-20),0,20:58,10,13,.769,1,2,.500,1,1,1.000,5,4,9,2,0,1,1,4,22,21.1,-7
