Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,24-066,SAC,,MIN,L (-2),1,43:00,8,17,.471,5,10,.500,2,2,1.000,2,9,11,2,0,0,0,3,23,18.6,+9
2,2,2024-10-26,24-068,SAC,@,LAL,L (-4),1,39:45,5,11,.455,2,7,.286,2,2,1.000,1,3,4,1,2,2,1,2,14,12.2,+8
3,3,2024-10-28,24-070,SAC,,POR,W (+13),1,33:12,2,9,.222,0,3,.000,2,2,1.000,4,4,8,2,0,0,1,5,6,2.9,+11
4,4,2024-10-29,24-071,SAC,@,UTA,W (+17),1,32:21,6,14,.429,2,7,.286,0,0,,1,4,5,1,1,0,1,1,14,8.8,+16
5,5,2024-11-01,24-074,SAC,@,ATL,W (+8),1,38:52,6,12,.500,1,6,.167,1,1,1.000,3,7,10,3,0,1,1,3,14,12.8,+12
6,6,2024-11-02,24-075,SAC,@,TOR,L (-3),1,38:36,6,12,.500,2,6,.333,2,4,.500,3,7,10,2,1,1,1,6,16,13.1,+12
7,7,2024-11-04,24-077,SAC,@,MIA,W (+1),1,38:47,5,11,.455,1,4,.250,3,3,1.000,2,4,6,1,0,1,1,3,14,10.1,+4
8,8,2024-11-06,24-079,SAC,,TOR,W (+15),1,35:00,9,17,.529,3,8,.375,1,2,.500,7,5,12,3,0,1,1,2,22,20.7,+6
9,9,2024-11-08,24-081,SAC,,LAC,L (-9),1,39:16,2,10,.200,0,6,.000,3,3,1.000,4,6,10,2,0,1,0,2,7,6.7,-16
10,10,2024-11-10,24-083,SAC,@,PHO,W (+9),1,42:35,5,11,.455,2,6,.333,2,2,1.000,1,13,14,1,0,0,0,5,14,11.6,+9
11,11,2024-11-11,24-084,SAC,@,SAS,L (-20),1,28:56,2,7,.286,1,5,.200,0,0,,0,3,3,1,0,0,2,1,5,0.1,-21
12,12,2024-11-13,24-086,SAC,,PHO,W (+23),1,33:05,7,11,.636,3,5,.600,0,0,,1,3,4,1,0,1,1,4,17,12.5,+25
13,13,2024-11-15,24-088,SAC,,MIN,L (-4),1,45:03,6,15,.400,2,7,.286,0,0,,3,7,10,2,1,1,0,1,14,12.8,-7
14,14,2024-11-16,24-089,SAC,,UTA,W (+4),1,39:00,2,6,.333,1,4,.250,0,0,,1,5,6,2,1,0,1,5,5,3.2,+1
15,15,2024-11-18,24-091,SAC,,ATL,L (-1),1,22:28,3,9,.333,1,3,.333,0,0,,1,6,7,1,2,0,4,6,7,0.7,-20
16,16,2024-11-22,24-095,SAC,@,LAC,L (-16),1,40:28,4,11,.364,2,5,.400,0,0,,3,6,9,4,1,1,2,3,10,9.1,-4
17,17,2024-11-24,24-097,SAC,,BRK,L (-5),1,36:08,7,14,.500,1,5,.200,6,8,.750,3,5,8,2,1,1,2,4,21,16.3,+8
18,18,2024-11-25,24-098,SAC,,OKC,L (-21),1,38:24,6,15,.400,2,8,.250,0,0,,6,4,10,2,2,1,2,1,14,13.0,-18
19,19,2024-11-27,24-100,SAC,@,MIN,W (+11),1,39:18,4,11,.364,0,4,.000,0,0,,2,2,4,1,1,1,0,3,8,5.1,+11
20,20,2024-11-29,24-102,SAC,@,POR,L (-9),1,29:24,1,9,.111,1,6,.167,0,0,,2,4,6,0,1,1,1,2,3,-0.4,+1
21,21,2024-12-01,24-104,SAC,,SAS,L (-2),1,38:07,4,9,.444,0,2,.000,0,0,,3,3,6,0,1,1,1,4,8,5.4,-4
22,22,2024-12-03,24-106,SAC,,HOU,W (+9),1,39:42,5,11,.455,3,5,.600,0,0,,2,5,7,1,0,3,1,1,13,11.6,+20
23,23,2024-12-05,24-108,SAC,@,MEM,L (-5),1,40:23,4,12,.333,1,7,.143,2,2,1.000,3,8,11,2,2,0,1,2,11,10.3,-4
24,24,2024-12-06,24-109,SAC,@,SAS,W (+27),1,33:19,7,11,.636,3,5,.600,0,0,,0,6,6,1,0,2,1,3,17,13.8,+7
25,25,2024-12-08,24-111,SAC,,UTA,W (+44),1,25:13,3,5,.600,1,3,.333,0,0,,0,4,4,1,1,2,1,4,7,6.4,+17
26,26,2024-12-12,24-115,SAC,@,NOP,W (+2),1,33:56,7,14,.500,3,7,.429,1,1,1.000,5,4,9,0,0,0,0,4,18,14.1,+1
27,,2024-12-16,24-119,SAC,,DEN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,27,2024-12-19,24-122,SAC,,LAL,L (-13),1,34:52,4,11,.364,2,4,.500,0,0,,1,6,7,1,2,1,0,1,10,9.4,-16
29,28,2024-12-21,24-124,SAC,,LAL,L (-4),1,27:29,3,9,.333,2,7,.286,2,2,1.000,1,3,4,0,0,0,1,4,10,3.9,-2
30,29,2024-12-22,24-125,SAC,,IND,L (-27),1,28:26,3,9,.333,1,4,.250,3,3,1.000,0,4,4,2,0,1,0,0,10,8.2,-12
31,30,2024-12-26,24-129,SAC,,DET,L (-1),1,37:03,4,11,.364,1,7,.143,2,2,1.000,2,10,12,2,1,1,1,3,11,10.2,-4
32,31,2024-12-28,24-131,SAC,@,LAL,L (-10),1,28:34,2,7,.286,1,6,.167,0,0,,2,1,3,0,0,0,1,3,5,0.4,-15
33,32,2024-12-30,24-133,SAC,,DAL,W (+10),1,36:02,2,8,.250,0,3,.000,0,0,,0,6,6,1,2,0,1,3,4,1.5,+3
34,,2025-01-01,24-135,SAC,,PHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2025-01-03,24-137,SAC,,MEM,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,33,2025-01-05,24-139,SAC,@,GSW,W (+30),1,26:15,4,11,.364,3,8,.375,0,0,,2,2,4,2,1,1,0,3,11,8.8,+10
37,34,2025-01-06,24-140,SAC,,MIA,W (+5),1,43:28,5,10,.500,4,6,.667,0,0,,5,7,12,1,0,1,0,2,14,15.2,+16
38,35,2025-01-10,24-144,SAC,@,BOS,W (+17),1,37:08,7,12,.583,5,8,.625,0,0,,1,2,3,0,2,3,0,3,19,17.6,+14
39,36,2025-01-12,24-146,SAC,@,CHI,W (+5),1,36:08,5,12,.417,3,8,.375,1,2,.500,0,5,5,2,1,1,1,0,14,10.8,+1
40,37,2025-01-14,24-148,SAC,@,MIL,L (-15),1,36:18,4,11,.364,3,8,.375,0,0,,2,5,7,1,0,0,0,2,11,7.7,-7
41,38,2025-01-16,24-150,SAC,,HOU,W (+5),1,39:21,7,10,.700,3,6,.500,1,1,1.000,3,8,11,2,0,0,1,2,18,17.9,-3
42,39,2025-01-19,24-153,SAC,,WAS,W (+23),1,31:48,2,8,.250,0,5,.000,0,0,,1,4,5,1,2,1,1,1,4,3.1,+17
43,40,2025-01-22,24-156,SAC,,GSW,W (+6),1,34:07,6,11,.545,1,5,.200,0,1,.000,1,2,3,1,1,2,0,0,13,11.7,-6
44,41,2025-01-23,24-157,SAC,@,DEN,L (-9),1,29:57,4,10,.400,3,5,.600,0,0,,5,4,9,2,1,1,2,2,11,10.6,-2
45,42,2025-01-25,24-159,SAC,@,NYK,L (-23),1,39:04,5,11,.455,2,7,.286,0,0,,2,6,8,4,3,2,2,4,12,13.1,-18
46,43,2025-01-27,24-161,SAC,@,BRK,W (+14),1,24:28,4,7,.571,1,3,.333,0,0,,1,2,3,1,2,0,1,4,9,7.1,+20
47,44,2025-01-29,24-163,SAC,@,PHI,L (-13),1,36:41,8,15,.533,0,5,.000,1,2,.500,5,3,8,0,1,1,0,4,17,13.8,-8
48,45,2025-02-01,24-166,SAC,@,OKC,L (-34),1,28:19,5,10,.500,4,5,.800,0,0,,1,4,5,1,0,1,0,0,14,12.3,-25
49,46,2025-02-03,24-168,SAC,@,MIN,W (+2),1,39:34,7,11,.636,2,4,.500,3,4,.750,2,5,7,1,1,0,1,1,19,16.9,-2
