Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,24-290,SAC,,MIN,L (-2),0,11:11,0,1,.000,0,0,,2,2,1.000,0,1,1,0,2,0,0,1,2,3.2,-12
2,,2024-10-26,24-292,SAC,@,LAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2024-10-28,24-294,SAC,,POR,W (+13),0,14:26,1,3,.333,1,2,.500,0,0,,1,2,3,1,1,1,2,2,3,2.2,+2
4,3,2024-10-29,24-295,SAC,@,UTA,W (+17),0,17:19,2,4,.500,0,2,.000,1,2,.500,1,3,4,2,2,3,1,4,5,7.1,+15
5,4,2024-11-01,24-298,SAC,@,ATL,W (+8),0,19:24,4,5,.800,2,3,.667,2,2,1.000,1,0,1,2,0,1,0,1,12,12.5,-6
6,5,2024-11-02,24-299,SAC,@,TOR,L (-3),0,26:31,3,6,.500,1,4,.250,1,1,1.000,1,0,1,0,2,2,0,2,8,8.3,-13
7,6,2024-11-04,24-301,SAC,@,MIA,W (+1),1,28:37,3,6,.500,1,3,.333,0,1,.000,2,1,3,2,3,0,0,4,7,8.1,+22
8,7,2024-11-06,24-303,SAC,,TOR,W (+15),0,23:07,2,4,.500,1,3,.333,3,3,1.000,3,0,3,1,2,0,0,2,8,10.0,+15
9,8,2024-11-08,24-305,SAC,,LAC,L (-9),0,19:21,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,3,3,0.1,+2
10,9,2024-11-10,24-307,SAC,@,PHO,W (+9),0,28:04,2,3,.667,1,2,.500,1,1,1.000,0,1,1,0,1,1,2,1,6,4.3,+6
11,10,2024-11-11,24-308,SAC,@,SAS,L (-20),0,22:42,1,6,.167,1,5,.200,0,0,,0,0,0,0,2,0,1,1,3,-0.2,0
12,11,2024-11-13,24-310,SAC,,PHO,W (+23),0,25:33,4,5,.800,1,1,1.000,0,0,,0,2,2,0,0,2,3,3,9,4.9,+4
13,12,2024-11-15,24-312,SAC,,MIN,L (-4),0,23:06,1,4,.250,1,3,.333,0,0,,1,4,5,1,1,1,1,2,3,3.1,+3
14,13,2024-11-16,24-313,SAC,,UTA,W (+4),0,10:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,2,0,-3.5,+5
15,14,2024-11-18,24-315,SAC,,ATL,L (-1),0,33:05,9,17,.529,9,15,.600,6,7,.857,2,4,6,1,1,1,1,1,33,27.9,+15
16,15,2024-11-22,24-319,SAC,@,LAC,L (-16),0,16:17,0,3,.000,0,2,.000,1,2,.500,0,0,0,1,0,3,0,2,1,0.5,-11
17,16,2024-11-24,24-321,SAC,,BRK,L (-5),0,22:54,3,5,.600,3,4,.750,0,1,.000,1,0,1,1,1,0,1,1,9,7.3,-6
18,17,2024-11-25,24-322,SAC,,OKC,L (-21),1,27:42,3,4,.750,2,3,.667,0,0,,0,1,1,3,1,0,0,3,8,8.6,-5
19,18,2024-11-27,24-324,SAC,@,MIN,W (+11),1,21:40,3,7,.429,2,5,.400,0,0,,0,2,2,2,1,2,1,2,8,6.9,-3
20,19,2024-11-29,24-326,SAC,@,POR,L (-9),1,24:14,1,3,.333,1,3,.333,3,3,1.000,3,1,4,1,1,0,1,1,6,7.0,-19
21,20,2024-12-01,24-328,SAC,,SAS,L (-2),0,17:01,3,6,.500,2,4,.500,0,0,,0,3,3,0,0,1,1,4,8,4.0,+1
22,,2024-12-03,24-330,SAC,,HOU,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,21,2024-12-05,24-332,SAC,@,MEM,L (-5),0,2:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
24,22,2024-12-06,24-333,SAC,@,SAS,W (+27),0,20:42,1,4,.250,1,4,.250,0,0,,0,1,1,3,4,1,0,2,3,6.9,+32
25,23,2024-12-08,24-335,SAC,,UTA,W (+44),0,15:50,2,3,.667,1,2,.500,0,0,,1,2,3,5,3,0,1,2,5,9.7,+22
26,24,2024-12-12,24-339,SAC,@,NOP,W (+2),0,19:43,0,2,.000,0,2,.000,2,2,1.000,1,3,4,0,1,0,1,2,2,1.4,+2
27,25,2024-12-16,24-343,SAC,,DEN,L (-1),0,32:35,3,7,.429,1,5,.200,5,5,1.000,3,3,6,1,2,4,0,1,12,16.4,+9
28,26,2024-12-19,24-346,SAC,,LAL,L (-13),0,21:04,2,4,.500,1,2,.500,0,0,,0,4,4,1,0,0,0,1,5,4.5,-1
29,27,2024-12-21,24-348,SAC,,LAL,L (-4),0,14:07,2,6,.333,1,4,.250,0,0,,0,2,2,1,2,0,0,3,5,3.7,-3
30,28,2024-12-22,24-349,SAC,,IND,L (-27),0,4:51,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,1.0,-2
31,29,2024-12-26,24-353,SAC,,DET,L (-1),0,13:37,2,4,.500,1,2,.500,0,0,,1,1,2,1,0,0,2,1,5,2.3,-2
32,30,2024-12-28,24-355,SAC,@,LAL,L (-10),0,13:24,4,4,1.000,3,3,1.000,0,0,,0,1,1,1,1,1,0,1,11,12.1,+7
33,31,2024-12-30,24-357,SAC,,DAL,W (+10),0,19:59,1,5,.200,1,3,.333,4,4,1.000,1,4,5,0,2,0,3,1,7,4.4,-4
34,32,2025-01-01,24-359,SAC,,PHI,W (+6),1,37:46,3,8,.375,3,8,.375,0,0,,1,0,1,2,4,2,0,1,9,11.7,+17
35,33,2025-01-03,24-361,SAC,,MEM,W (+5),1,33:54,5,11,.455,2,5,.400,1,2,.500,2,2,4,3,3,1,2,4,13,11.1,+9
36,34,2025-01-05,24-363,SAC,@,GSW,W (+30),1,24:28,3,7,.429,1,3,.333,4,4,1.000,0,1,1,2,2,0,0,1,11,10.6,+19
37,35,2025-01-06,24-364,SAC,,MIA,W (+5),1,48:31,6,11,.545,3,7,.429,2,3,.667,1,7,8,3,3,1,2,4,17,16.3,+7
38,36,2025-01-10,25-002,SAC,@,BOS,W (+17),1,22:55,2,6,.333,1,5,.200,1,1,1.000,1,2,3,2,3,1,1,1,6,7.6,+4
39,37,2025-01-12,25-004,SAC,@,CHI,W (+5),0,19:38,3,5,.600,2,4,.500,0,0,,0,2,2,0,1,0,0,2,8,6.5,-3
40,38,2025-01-14,25-006,SAC,@,MIL,L (-15),1,30:42,5,11,.455,5,8,.625,3,3,1.000,3,1,4,1,1,0,0,3,18,15.2,-6
41,39,2025-01-16,25-008,SAC,,HOU,W (+5),0,11:10,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,2,6,4.2,+3
42,40,2025-01-19,25-011,SAC,,WAS,W (+23),0,17:41,6,8,.750,6,8,.750,0,0,,0,3,3,1,1,0,1,3,18,15.2,+8
43,41,2025-01-22,25-014,SAC,,GSW,W (+6),0,21:21,3,4,.750,1,2,.500,1,1,1.000,0,0,0,2,2,1,0,1,8,10.1,0
44,42,2025-01-23,25-015,SAC,@,DEN,L (-9),0,21:10,3,4,.750,0,1,.000,0,0,,2,1,3,5,1,0,0,2,6,9.8,-11
45,43,2025-01-25,25-017,SAC,@,NYK,L (-23),0,17:16,2,4,.500,2,4,.500,0,0,,0,3,3,0,1,1,0,1,6,6.2,-24
46,44,2025-01-27,25-019,SAC,@,BRK,W (+14),0,30:15,4,9,.444,3,6,.500,0,0,,1,0,1,2,3,2,1,1,11,11.4,+4
47,45,2025-01-29,25-021,SAC,@,PHI,L (-13),0,17:44,2,10,.200,2,9,.222,0,0,,1,2,3,2,1,0,1,3,6,1.3,-6
48,46,2025-02-01,25-024,SAC,@,OKC,L (-34),0,22:16,1,8,.125,0,6,.000,1,1,1.000,1,2,3,0,2,1,1,2,3,0.0,-16
49,47,2025-02-03,25-026,SAC,@,MIN,W (+2),1,34:21,5,8,.625,3,3,1.000,0,0,,1,2,3,2,3,2,3,2,13,12.7,+7
50,48,2025-02-05,25-028,SAC,,ORL,L (-19),0,26:08,5,6,.833,2,3,.667,0,0,,0,3,3,3,0,1,1,0,12,12.5,-13
51,49,2025-02-06,25-029,SAC,@,POR,L (-6),0,23:34,2,4,.500,1,2,.500,2,2,1.000,0,3,3,0,2,0,2,1,7,5.5,-11
52,50,2025-02-08,25-031,SAC,,NOP,W (+5),0,32:05,4,6,.667,3,5,.600,2,4,.500,2,2,4,2,3,0,1,3,13,13.8,+14
53,51,2025-02-10,25-033,SAC,@,DAL,W (+1),0,32:24,3,5,.600,2,4,.500,0,0,,1,5,6,1,0,1,2,1,8,6.9,-13
54,52,2025-02-12,25-035,SAC,@,NOP,W (+8),0,29:06,10,14,.714,7,11,.636,0,0,,0,5,5,1,1,2,1,2,27,24.0,+11
55,53,2025-02-13,25-036,SAC,@,NOP,L (-7),0,22:44,3,10,.300,1,4,.250,0,0,,1,2,3,1,1,0,0,1,7,3.8,-11
56,54,2025-02-21,25-044,SAC,,GSW,L (-24),0,23:41,0,6,.000,0,4,.000,2,2,1.000,2,0,2,1,1,1,1,2,2,-0.2,-18
