Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,28-354,SAC,,MIN,L (-2),0,10:45,1,4,.250,1,3,.333,0,0,,0,1,1,1,1,0,0,1,3,2.2,-14
2,2,2024-10-26,28-356,SAC,@,LAL,L (-4),0,18:37,1,6,.167,1,6,.167,2,2,1.000,1,3,4,1,1,1,0,3,5,4.0,-7
3,3,2024-10-28,28-358,SAC,,POR,W (+13),0,15:10,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,1,1,0,3,0.3,+7
4,4,2024-10-29,28-359,SAC,@,UTA,W (+17),0,20:16,1,2,.500,0,1,.000,0,0,,0,7,7,1,2,2,0,3,2,6.0,+6
5,5,2024-11-01,28-362,SAC,@,ATL,W (+8),0,19:14,1,7,.143,1,6,.167,2,2,1.000,1,4,5,2,1,1,1,2,5,3.7,+7
6,6,2024-11-02,28-363,SAC,@,TOR,L (-3),0,12:33,2,5,.400,1,2,.500,0,0,,1,3,4,0,0,0,1,1,5,2.5,-13
7,7,2024-11-04,28-365,SAC,@,MIA,W (+1),0,16:27,2,4,.500,1,3,.333,0,0,,1,0,1,0,0,0,1,3,5,1.5,-1
8,8,2024-11-06,29-001,SAC,,TOR,W (+15),0,10:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+9
9,9,2024-11-08,29-003,SAC,,LAC,L (-9),0,6:37,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0,-1.5,+4
10,10,2024-11-10,29-005,SAC,@,PHO,W (+9),0,17:26,2,6,.333,1,4,.250,3,4,.750,1,5,6,0,0,1,1,1,8,5.7,-1
11,11,2024-11-11,29-006,SAC,@,SAS,L (-20),0,26:58,3,8,.375,2,6,.333,0,0,,2,2,4,0,1,2,0,1,8,7.6,+2
12,12,2024-11-13,29-008,SAC,,PHO,W (+23),0,22:14,5,7,.714,3,5,.600,0,0,,0,5,5,3,0,0,0,0,13,13.7,+14
13,13,2024-11-15,29-010,SAC,,MIN,L (-4),0,41:02,2,8,.250,1,5,.200,2,2,1.000,2,6,8,1,1,0,1,4,7,4.5,+10
14,14,2024-11-16,29-011,SAC,,UTA,W (+4),1,34:57,6,9,.667,5,7,.714,0,0,,0,3,3,1,0,1,2,2,17,12.6,+1
15,15,2024-11-18,29-013,SAC,,ATL,L (-1),1,37:40,4,11,.364,3,7,.429,1,2,.500,4,6,10,4,1,0,0,2,12,13.1,-4
16,16,2024-11-22,29-017,SAC,@,LAC,L (-16),0,18:19,1,4,.250,1,4,.250,0,0,,0,4,4,0,1,0,0,0,3,2.8,-17
17,17,2024-11-24,29-019,SAC,,BRK,L (-5),0,18:48,0,1,.000,0,1,.000,0,2,.000,2,4,6,0,0,2,2,2,0,-0.3,-6
18,18,2024-11-25,29-020,SAC,,OKC,L (-21),0,5:34,1,1,1.000,0,0,,0,0,,0,0,0,2,1,0,0,0,2,4.1,+6
19,,2024-11-27,29-022,SAC,@,MIN,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-11-29,29-024,SAC,@,POR,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-01,29-026,SAC,,SAS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-03,29-028,SAC,,HOU,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-05,29-030,SAC,@,MEM,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-06,29-031,SAC,@,SAS,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2024-12-08,29-033,SAC,,UTA,W (+44),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2024-12-12,29-037,SAC,@,NOP,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2024-12-16,29-041,SAC,,DEN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2024-12-19,29-044,SAC,,LAL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,19,2024-12-21,29-046,SAC,,LAL,L (-4),0,17:03,1,4,.250,1,2,.500,0,0,,1,2,3,0,1,0,0,0,3,2.9,-9
30,20,2024-12-22,29-047,SAC,,IND,L (-27),0,19:28,3,7,.429,2,4,.500,0,0,,1,2,3,1,0,0,0,0,8,6.3,-4
31,21,2024-12-26,29-051,SAC,,DET,L (-1),0,25:18,5,8,.625,4,7,.571,6,8,.750,1,7,8,0,0,0,1,3,20,16.2,0
32,22,2024-12-28,29-053,SAC,@,LAL,L (-10),0,23:26,2,8,.250,0,5,.000,2,2,1.000,3,2,5,0,0,0,1,3,6,1.7,-4
33,23,2024-12-30,29-055,SAC,,DAL,W (+10),0,21:47,5,9,.556,3,6,.500,1,1,1.000,1,3,4,1,1,0,0,1,14,12.6,+31
34,24,2025-01-01,29-057,SAC,,PHI,W (+6),0,31:05,4,9,.444,4,8,.500,0,0,,0,7,7,2,2,0,2,0,12,10.8,+2
35,25,2025-01-03,29-059,SAC,,MEM,W (+5),0,22:02,6,6,1.000,4,4,1.000,0,0,,1,5,6,1,1,2,1,1,16,18.1,+6
36,26,2025-01-05,29-061,SAC,@,GSW,W (+30),0,24:13,1,3,.333,1,2,.500,4,4,1.000,2,7,9,1,2,0,2,3,7,8.3,+33
37,27,2025-01-06,29-062,SAC,,MIA,W (+5),0,23:25,2,8,.250,1,5,.200,1,2,.500,2,4,6,1,0,0,1,0,6,3.1,-20
38,28,2025-01-10,29-066,SAC,@,BOS,W (+17),0,27:59,2,5,.400,1,4,.250,2,2,1.000,5,6,11,3,1,1,1,2,7,11.6,+11
39,29,2025-01-12,29-068,SAC,@,CHI,W (+5),0,18:09,3,10,.300,0,6,.000,0,1,.000,1,7,8,2,0,1,0,2,6,3.9,+9
40,30,2025-01-14,29-070,SAC,@,MIL,L (-15),0,11:45,2,4,.500,1,3,.333,0,0,,1,0,1,0,0,0,0,0,5,3.7,-19
41,31,2025-01-16,29-072,SAC,,HOU,W (+5),0,19:07,2,8,.250,1,6,.167,0,0,,0,5,5,2,0,0,1,0,5,2.1,-4
42,32,2025-01-19,29-075,SAC,,WAS,W (+23),0,19:46,2,6,.333,0,3,.000,0,0,,0,5,5,0,1,0,1,2,4,1.3,+4
43,33,2025-01-22,29-078,SAC,,GSW,W (+6),0,16:46,2,2,1.000,1,1,1.000,2,2,1.000,0,2,2,1,0,1,0,1,7,8.0,+5
44,34,2025-01-23,29-079,SAC,@,DEN,L (-9),0,21:30,4,9,.444,3,7,.429,1,2,.500,1,8,9,1,1,0,1,0,12,10.7,-9
45,35,2025-01-25,29-081,SAC,@,NYK,L (-23),0,13:08,2,7,.286,0,2,.000,2,2,1.000,2,2,4,0,0,0,0,1,6,3.5,-22
46,36,2025-01-27,29-083,SAC,@,BRK,W (+14),0,15:02,2,3,.667,0,1,.000,0,2,.000,2,3,5,0,1,1,1,1,4,4.5,-18
47,37,2025-01-29,29-085,SAC,@,PHI,L (-13),0,14:57,2,3,.667,0,1,.000,0,0,,3,2,5,2,0,0,0,0,4,6.8,-10
48,38,2025-02-01,29-088,SAC,@,OKC,L (-34),0,12:40,0,4,.000,0,3,.000,0,0,,1,2,3,0,1,0,0,1,0,-0.9,-5
