Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,39-171,SAS,@,DAL,L (-11),1,28:46,1,6,.167,1,4,.250,0,0,,0,7,7,8,1,0,2,3,3,4.7,-21
2,2,2024-10-26,39-173,SAS,,HOU,W (+3),1,26:32,1,3,.333,1,2,.500,0,0,,0,0,0,9,1,0,4,2,3,3.8,-5
3,3,2024-10-28,39-175,SAS,,HOU,L (-5),1,28:37,5,10,.500,3,4,.750,3,3,1.000,1,0,1,3,1,0,2,4,16,11.2,-9
4,4,2024-10-30,39-177,SAS,@,OKC,L (-12),1,26:12,5,9,.556,3,7,.429,1,1,1.000,1,4,5,9,1,1,3,1,14,16.2,-9
5,5,2024-10-31,39-178,SAS,@,UTA,W (+18),1,32:22,8,13,.615,3,7,.429,0,0,,0,7,7,10,2,0,1,2,19,22.4,+37
6,6,2024-11-02,39-180,SAS,,MIN,W (+10),1,32:30,5,9,.556,3,6,.500,2,2,1.000,1,3,4,13,0,0,1,1,15,20.0,+12
7,7,2024-11-04,39-182,SAS,@,LAC,L (-9),1,33:30,6,11,.545,2,7,.286,0,0,,0,6,6,10,2,0,4,3,14,14.3,+10
8,8,2024-11-06,39-184,SAS,@,HOU,L (-27),1,19:59,3,7,.429,3,7,.429,1,1,1.000,1,1,2,4,0,0,2,3,10,6.9,-10
9,9,2024-11-07,39-185,SAS,,POR,W (+13),1,27:29,2,6,.333,1,4,.250,1,1,1.000,0,2,2,6,2,0,1,1,6,8.0,-1
10,10,2024-11-09,39-187,SAS,,UTA,L (-1),1,27:30,0,6,.000,0,6,.000,3,3,1.000,0,2,2,9,1,0,2,1,3,4.3,+17
11,11,2024-11-11,39-189,SAS,,SAC,W (+20),1,29:42,5,8,.625,2,5,.400,0,0,,1,5,6,11,2,0,1,1,12,18.9,+28
12,12,2024-11-13,39-191,SAS,,WAS,W (+9),1,28:43,3,7,.429,1,3,.333,2,2,1.000,0,3,3,11,3,0,1,1,9,15.5,+24
13,13,2024-11-15,39-193,SAS,,LAL,L (-5),1,29:16,3,6,.500,2,5,.400,3,3,1.000,0,2,2,11,2,0,2,2,11,15.5,+5
14,14,2024-11-16,39-194,SAS,@,DAL,L (-17),1,25:04,4,9,.444,2,4,.500,1,1,1.000,1,4,5,3,2,0,2,2,11,9.5,-23
15,15,2024-11-19,39-197,SAS,,OKC,W (+6),1,31:17,5,10,.500,4,7,.571,0,0,,0,5,5,11,0,0,4,2,14,13.4,-7
16,16,2024-11-21,39-199,SAS,,UTA,W (+8),1,30:23,4,9,.444,1,6,.167,4,4,1.000,0,5,5,10,2,0,1,1,13,17.4,+12
17,17,2024-11-23,39-201,SAS,,GSW,W (+10),1,28:35,3,7,.429,2,4,.500,1,1,1.000,0,3,3,7,0,2,0,2,9,11.7,-5
18,18,2024-11-26,39-204,SAS,@,UTA,W (+13),1,27:37,4,7,.571,2,5,.400,4,4,1.000,1,0,1,4,3,1,1,2,14,16.1,+1
19,19,2024-11-27,39-205,SAS,,LAL,L (-18),1,24:35,1,6,.167,0,4,.000,3,3,1.000,0,2,2,6,1,0,0,2,5,6.2,+1
20,20,2024-12-01,39-209,SAS,@,SAC,W (+2),1,33:41,4,10,.400,3,7,.429,2,2,1.000,0,2,2,10,1,1,2,1,13,14.5,+14
21,21,2024-12-03,39-211,SAS,@,PHO,L (-11),1,31:34,1,9,.111,0,5,.000,0,0,,2,6,8,8,3,0,2,3,2,4.7,-20
22,22,2024-12-05,39-213,SAS,,CHI,L (-15),1,29:05,4,11,.364,2,6,.333,2,2,1.000,2,2,4,9,1,0,0,2,12,14.4,-4
23,23,2024-12-06,39-214,SAS,,SAC,L (-27),1,29:11,4,8,.500,1,4,.250,2,2,1.000,3,5,8,13,1,0,3,1,11,17.3,+1
24,24,2024-12-08,39-216,SAS,,NOP,W (+5),1,31:06,2,7,.286,2,6,.333,0,0,,0,7,7,10,2,0,2,2,6,10.2,+4
25,25,2024-12-13,39-221,SAS,@,POR,W (+2),1,10:57,2,2,1.000,1,1,1.000,0,0,,0,3,3,4,1,0,2,1,5,6.7,+7
26,26,2024-12-15,39-223,SAS,,MIN,L (-14),1,30:12,0,5,.000,0,3,.000,0,0,,1,3,4,9,2,0,3,3,0,2.2,+2
27,27,2024-12-19,39-227,SAS,,ATL,W (+7),1,31:53,4,4,1.000,3,3,1.000,1,1,1.000,0,7,7,8,4,1,4,1,12,18.8,+17
28,28,2024-12-21,39-229,SAS,,POR,W (+20),1,26:19,2,6,.333,2,5,.400,0,0,,0,4,4,9,0,0,0,1,6,9.7,+13
29,29,2024-12-23,39-231,SAS,@,PHI,L (-5),1,34:40,3,9,.333,2,5,.400,4,4,1.000,0,4,4,8,1,0,4,3,12,9.5,-2
30,30,2024-12-25,39-233,SAS,@,NYK,L (-3),1,36:24,4,8,.500,3,6,.500,2,2,1.000,0,6,6,7,1,0,1,1,13,15.3,+6
31,31,2024-12-27,39-235,SAS,@,BRK,W (+9),1,31:52,2,6,.333,0,3,.000,1,2,.500,0,2,2,5,0,0,1,2,5,3.5,+15
32,32,2024-12-29,39-237,SAS,@,MIN,L (-2),1,34:49,0,6,.000,0,4,.000,6,6,1.000,0,5,5,14,4,0,0,2,6,16.3,+13
33,33,2024-12-31,39-239,SAS,,LAC,W (+36),1,20:09,3,5,.600,1,2,.500,0,0,,2,7,9,4,3,0,0,1,7,13.6,+19
34,34,2025-01-03,39-242,SAS,@,DEN,W (+3),1,31:14,3,11,.273,1,6,.167,0,0,,0,8,8,11,0,0,1,1,7,9.2,-6
35,35,2025-01-04,39-243,SAS,,DEN,L (-11),1,31:16,1,9,.111,0,3,.000,0,0,,0,0,0,8,0,1,2,1,2,0.0,-2
36,36,2025-01-06,39-245,SAS,@,CHI,L (-4),1,32:42,7,13,.538,2,6,.333,2,2,1.000,1,5,6,9,0,0,1,3,18,18.0,-7
37,37,2025-01-08,39-247,SAS,@,MIL,L (-16),1,29:19,6,10,.600,5,6,.833,1,1,1.000,2,3,5,7,1,1,0,2,18,21.5,-10
38,38,2025-01-13,39-252,SAS,@,LAL,W (+24),1,28:55,3,6,.500,2,4,.500,5,5,1.000,0,2,2,10,4,0,1,4,13,19.0,+14
39,39,2025-01-15,39-254,SAS,,MEM,L (-14),1,34:54,3,6,.500,1,4,.250,1,1,1.000,0,5,5,5,0,0,4,5,8,4.0,-6
40,40,2025-01-17,39-256,SAS,,MEM,L (-28),1,29:21,2,6,.333,2,5,.400,0,1,.000,0,2,2,6,0,0,0,3,6,5.8,-11
41,41,2025-01-19,39-258,SAS,@,MIA,L (-21),1,27:52,3,6,.500,3,6,.500,1,1,1.000,0,4,4,9,0,1,0,0,10,15.2,-8
42,42,2025-01-23,39-262,SAS,@,IND,W (+30),1,24:26,1,5,.200,1,5,.200,0,0,,1,7,8,7,1,0,1,1,3,7.2,+12
43,43,2025-01-25,39-264,SAS,,IND,L (-38),1,32:02,3,5,.600,2,4,.500,3,3,1.000,0,0,0,8,1,1,2,1,11,13.6,-6
44,44,2025-01-29,39-268,SAS,,LAC,L (-12),1,27:29,2,8,.250,1,6,.167,2,2,1.000,0,1,1,7,0,0,0,2,7,6.6,-10
45,45,2025-01-31,39-270,SAS,,MIL,W (+26),1,26:27,4,8,.500,2,5,.400,2,3,.667,1,4,5,9,1,0,0,3,12,15.6,+13
46,46,2025-02-01,39-271,SAS,,MIA,L (-2),1,32:01,4,9,.444,2,4,.500,2,2,1.000,0,4,4,7,3,0,1,2,12,14.6,-4
47,47,2025-02-03,39-273,SAS,@,MEM,L (-19),1,28:28,1,4,.250,1,3,.333,0,0,,0,4,4,8,2,0,3,2,3,5.6,0
48,48,2025-02-05,39-275,SAS,@,ATL,W (+1),1,30:00,4,9,.444,3,6,.500,0,0,,1,3,4,9,0,0,1,2,11,12.4,+4
49,49,2025-02-07,39-277,SAS,@,CHO,L (-1),1,26:56,2,4,.500,2,4,.500,0,0,,0,1,1,7,1,0,0,2,6,9.4,-5
50,50,2025-02-08,39-278,SAS,@,ORL,L (-1),1,26:47,3,6,.500,0,3,.000,0,0,,0,2,2,5,0,0,1,0,6,6.1,+2
51,51,2025-02-10,39-280,SAS,@,WAS,W (+10),1,32:36,2,6,.333,2,6,.333,2,2,1.000,1,4,5,9,2,0,2,3,8,11.6,+12
52,52,2025-02-12,39-282,SAS,@,BOS,L (-13),1,28:12,2,8,.250,1,5,.200,0,1,.000,0,2,2,8,4,0,0,0,5,10.0,-8
53,53,2025-02-20,39-290,SAS,,PHO,W (+11),1,31:53,4,10,.400,3,8,.375,2,2,1.000,0,5,5,10,2,0,2,2,13,15.3,+15
54,54,2025-02-21,39-291,SAS,,DET,L (-15),1,21:39,1,3,.333,1,3,.333,0,0,,0,0,0,2,0,0,2,2,3,-0.1,-10
55,55,2025-02-23,39-293,SAS,@,NOP,L (-18),1,24:43,1,10,.100,1,7,.143,1,1,1.000,1,2,3,7,1,0,1,2,4,2.8,-19
56,56,2025-02-25,39-295,SAS,@,NOP,L (-6),1,33:11,4,7,.571,3,6,.500,1,1,1.000,0,0,0,10,2,1,2,3,12,15.2,0
57,57,2025-02-26,39-296,SAS,@,HOU,L (-12),1,21:56,1,5,.200,0,2,.000,2,2,1.000,1,0,1,4,2,0,1,1,4,5.0,-20
58,58,2025-03-01,39-299,SAS,@,MEM,W (+2),1,20:15,3,5,.600,2,4,.500,0,1,.000,1,2,3,8,1,0,2,2,8,10.4,-12
59,59,2025-03-02,39-300,SAS,,OKC,L (-14),1,28:14,2,2,1.000,2,2,1.000,0,0,,0,3,3,6,0,1,1,1,6,9.8,-21
60,60,2025-03-04,39-302,SAS,,BRK,W (+14),1,28:39,4,5,.800,3,3,1.000,0,0,,0,0,0,7,2,0,0,1,11,15.6,+31
61,61,2025-03-07,39-305,SAS,@,SAC,L (-18),1,28:26,3,7,.429,3,5,.600,0,0,,0,4,4,6,0,0,1,0,9,9.7,-17
62,62,2025-03-09,39-307,SAS,@,MIN,L (-17),1,25:20,3,5,.600,1,1,1.000,0,0,,0,1,1,7,2,1,0,0,7,12.6,-11
