Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,32-147,SAS,@,DAL,L (-11),1,29:11,7,10,.700,2,5,.400,1,2,.500,1,3,4,2,1,0,0,2,17,15.6,-12
2,2,2024-10-26,32-149,SAS,,HOU,W (+3),1,27:42,4,6,.667,2,3,.667,1,1,1.000,0,3,3,1,0,1,0,0,11,10.7,+3
3,3,2024-10-28,32-151,SAS,,HOU,L (-5),1,28:50,0,3,.000,0,1,.000,2,2,1.000,1,2,3,0,0,0,2,1,2,-1.2,-6
4,4,2024-10-30,32-153,SAS,@,OKC,L (-12),1,29:41,7,12,.583,2,3,.667,2,2,1.000,4,0,4,1,1,0,1,0,18,15.9,-8
5,5,2024-10-31,32-154,SAS,@,UTA,W (+18),1,24:22,2,6,.333,0,3,.000,4,4,1.000,0,2,2,0,0,1,0,0,8,5.9,+13
6,6,2024-11-02,32-156,SAS,,MIN,W (+10),1,37:56,6,10,.600,2,5,.400,0,0,,1,2,3,3,1,0,0,0,14,13.8,+7
7,7,2024-11-04,32-158,SAS,@,LAC,L (-9),1,37:34,1,4,.250,0,3,.000,2,2,1.000,5,1,6,3,0,0,0,1,4,7.1,+9
8,8,2024-11-06,32-160,SAS,@,HOU,L (-27),1,18:18,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,2,0,2,-1.4,-11
9,9,2024-11-07,32-161,SAS,,POR,W (+13),1,23:56,4,9,.444,1,4,.250,2,4,.500,4,3,7,2,0,0,2,1,11,8.2,+2
10,10,2024-11-09,32-163,SAS,,UTA,L (-1),1,27:12,4,7,.571,2,4,.500,0,0,,1,1,2,2,0,0,3,1,10,5.7,+3
11,11,2024-11-11,32-165,SAS,,SAC,W (+20),1,30:03,3,6,.500,1,3,.333,3,3,1.000,0,5,5,2,0,0,1,1,10,8.5,+14
12,12,2024-11-13,32-167,SAS,,WAS,W (+9),1,30:09,2,5,.400,2,2,1.000,4,4,1.000,2,5,7,2,0,1,0,2,10,11.5,+19
13,13,2024-11-15,32-169,SAS,,LAL,L (-5),1,27:12,2,3,.667,1,1,1.000,3,4,.750,1,3,4,0,1,0,0,1,8,8.5,+14
14,14,2024-11-16,32-170,SAS,@,DAL,L (-17),1,23:40,1,6,.167,1,4,.250,1,2,.500,1,2,3,2,0,0,1,0,4,1.5,-25
15,15,2024-11-19,32-173,SAS,,OKC,W (+6),1,32:01,6,13,.462,3,7,.429,5,8,.625,2,6,8,2,1,0,0,0,20,17.7,+17
16,16,2024-11-21,32-175,SAS,,UTA,W (+8),1,36:25,8,13,.615,4,5,.800,5,6,.833,5,5,10,1,0,0,0,1,25,24.0,+11
17,17,2024-11-23,32-177,SAS,,GSW,W (+10),1,31:42,7,8,.875,2,3,.667,6,8,.750,2,6,8,2,1,1,0,1,22,24.3,-4
18,18,2024-11-26,32-180,SAS,@,UTA,W (+13),1,27:10,2,6,.333,0,1,.000,4,5,.800,5,3,8,5,0,0,0,1,8,11.7,0
19,19,2024-11-27,32-181,SAS,,LAL,L (-18),1,32:52,6,10,.600,5,6,.833,2,2,1.000,0,2,2,0,0,0,3,2,19,11.2,-7
20,20,2024-12-01,32-185,SAS,@,SAC,W (+2),1,26:45,3,7,.429,0,1,.000,2,2,1.000,2,5,7,2,0,0,1,0,8,7.6,+2
21,21,2024-12-03,32-187,SAS,@,PHO,L (-11),1,24:29,1,8,.125,0,3,.000,0,0,,0,2,2,1,0,0,1,2,2,-3.7,-6
22,22,2024-12-05,32-189,SAS,,CHI,L (-15),1,22:07,2,8,.250,0,3,.000,4,4,1.000,2,1,3,0,0,0,0,0,8,4.9,-9
