Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-24,28-198,SAC,,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2024-10-26,28-200,SAC,@,LAL,L (-4),0,3:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,2,2024-10-28,28-202,SAC,,POR,W (+13),0,5:08,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,2,0,-2.8,+5
4,3,2024-10-29,28-203,SAC,@,UTA,W (+17),0,3:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-3
5,,2024-11-01,28-206,SAC,@,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,4,2024-11-02,28-207,SAC,@,TOR,L (-3),0,5:12,0,0,,0,0,,0,0,,0,0,0,0,2,0,1,0,0,1.0,+1
7,5,2024-11-04,28-209,SAC,@,MIA,W (+1),0,10:46,1,2,.500,1,1,1.000,0,0,,0,2,2,1,1,0,0,1,3,3.9,-6
8,6,2024-11-06,28-211,SAC,,TOR,W (+15),0,4:45,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,+3
9,,2024-11-08,28-213,SAC,,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7,2024-11-10,28-215,SAC,@,PHO,W (+9),0,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
11,8,2024-11-11,28-216,SAC,@,SAS,L (-20),0,8:59,2,4,.500,1,3,.333,0,0,,1,0,1,1,1,0,1,0,5,4.4,-14
12,9,2024-11-13,28-218,SAC,,PHO,W (+23),0,14:49,4,6,.667,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,1,11,10.0,-2
13,10,2024-11-15,28-220,SAC,,MIN,L (-4),0,16:40,1,4,.250,0,1,.000,3,4,.750,1,2,3,1,0,0,0,1,5,3.8,+9
14,11,2024-11-16,28-221,SAC,,UTA,W (+4),0,21:48,2,5,.400,2,4,.500,0,0,,0,3,3,5,1,0,1,2,6,6.9,+12
15,12,2024-11-18,28-223,SAC,,ATL,L (-1),0,19:46,2,3,.667,1,1,1.000,3,4,.750,0,2,2,4,0,0,0,0,8,9.7,+8
16,13,2024-11-22,28-227,SAC,@,LAC,L (-16),0,7:38,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,-0.4,-10
17,,2024-11-24,28-229,SAC,,BRK,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,14,2024-11-25,28-230,SAC,,OKC,L (-21),0,3:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
19,15,2024-11-27,28-232,SAC,@,MIN,W (+11),0,2:16,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0
20,16,2024-11-29,28-234,SAC,@,POR,L (-9),0,12:15,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,1,1,2,1.9,-4
21,,2024-12-01,28-236,SAC,,SAS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,17,2024-12-03,28-238,SAC,,HOU,W (+9),0,1:52,0,1,.000,0,0,,0,2,.000,0,0,0,0,1,0,1,0,0,-1.5,-6
23,18,2024-12-05,28-240,SAC,@,MEM,L (-5),0,2:52,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-5
24,19,2024-12-06,28-241,SAC,@,SAS,W (+27),0,3:11,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2.0,+8
25,20,2024-12-08,28-243,SAC,,UTA,W (+44),0,8:22,2,5,.400,2,3,.667,0,0,,0,1,1,1,0,0,0,0,6,4.3,+9
26,,2024-12-12,28-247,SAC,@,NOP,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2024-12-16,28-251,SAC,,DEN,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,21,2024-12-19,28-254,SAC,,LAL,L (-13),0,0:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
29,,2024-12-21,28-256,SAC,,LAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,22,2024-12-22,28-257,SAC,,IND,L (-27),0,4:51,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.7,-2
31,,2024-12-26,28-261,SAC,,DET,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,,2024-12-28,28-263,SAC,@,LAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,23,2024-12-30,28-265,SAC,,DAL,W (+10),0,1:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-2
34,,2025-01-01,28-267,SAC,,PHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2025-01-03,28-269,SAC,,MEM,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,24,2025-01-05,28-271,SAC,@,GSW,W (+30),0,8:23,0,2,.000,0,1,.000,0,0,,1,0,1,2,1,0,1,1,0,0.3,-3
37,,2025-01-06,28-272,SAC,,MIA,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,,2025-01-10,28-276,SAC,@,BOS,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,,2025-01-12,28-278,SAC,@,CHI,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,25,2025-01-14,28-280,SAC,@,MIL,L (-15),0,2:31,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,3.3,+6
41,,2025-01-16,28-282,SAC,,HOU,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,26,2025-01-19,28-285,SAC,,WAS,W (+23),0,3:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+2
