Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,23-117,SAS,@,DAL,L (-11),1,27:19,7,12,.583,4,8,.500,0,0,,2,5,7,3,1,2,3,1,18,16.4,-19
2,2,2024-10-26,23-119,SAS,,HOU,W (+3),1,25:13,4,8,.500,2,4,.500,2,2,1.000,3,3,6,0,0,0,2,1,12,8.6,+2
3,3,2024-10-28,23-121,SAS,,HOU,L (-5),1,28:11,2,7,.286,1,6,.167,0,0,,1,4,5,1,1,1,0,2,5,4.4,+2
4,4,2024-10-30,23-123,SAS,@,OKC,L (-12),1,20:02,1,5,.200,1,4,.250,0,0,,0,3,3,0,1,0,3,0,3,-1.2,-17
5,5,2024-10-31,23-124,SAS,@,UTA,W (+18),1,25:10,3,7,.429,0,1,.000,0,0,,2,4,6,2,3,0,0,0,6,9.3,+27
6,6,2024-11-02,23-126,SAS,,MIN,W (+10),1,28:40,3,9,.333,1,7,.143,0,0,,1,5,6,3,0,1,0,2,7,6.1,+13
7,7,2024-11-04,23-128,SAS,@,LAC,L (-9),1,38:13,7,12,.583,5,10,.500,2,3,.667,0,5,5,2,0,0,0,3,21,16.7,-16
8,8,2024-11-06,23-130,SAS,@,HOU,L (-27),1,28:07,5,9,.556,3,6,.500,0,0,,0,3,3,2,0,0,2,2,13,8.2,-11
9,9,2024-11-07,23-131,SAS,,POR,W (+13),1,32:52,5,10,.500,4,8,.500,0,0,,1,5,6,2,1,0,1,0,14,12.6,+10
10,10,2024-11-09,23-133,SAS,,UTA,L (-1),1,24:40,2,7,.286,1,6,.167,0,0,,0,6,6,2,0,1,2,3,5,1.6,+13
11,11,2024-11-11,23-135,SAS,,SAC,W (+20),1,26:50,5,12,.417,3,8,.375,0,0,,1,5,6,1,0,0,1,2,13,7.7,+25
12,12,2024-11-13,23-137,SAS,,WAS,W (+9),1,33:23,3,8,.375,3,7,.429,3,3,1.000,0,5,5,2,1,0,0,1,12,11.1,+17
13,13,2024-11-15,23-139,SAS,,LAL,L (-5),1,31:20,4,8,.500,2,6,.333,0,0,,0,8,8,2,0,0,0,2,10,9.0,0
14,14,2024-11-16,23-140,SAS,@,DAL,L (-17),1,25:22,3,10,.300,3,8,.375,4,5,.800,1,1,2,0,0,2,1,2,13,7.4,-14
15,15,2024-11-19,23-143,SAS,,OKC,W (+6),1,28:08,5,11,.455,2,7,.286,0,0,,2,5,7,0,2,1,3,2,12,8.1,-5
16,16,2024-11-21,23-145,SAS,,UTA,W (+8),1,32:25,4,11,.364,2,7,.286,4,5,.800,0,3,3,6,3,1,1,1,14,14.9,+9
17,17,2024-11-23,23-147,SAS,,GSW,W (+10),1,34:28,4,11,.364,1,8,.125,0,0,,0,5,5,1,0,2,0,2,9,5.7,+6
18,18,2024-11-26,23-150,SAS,@,UTA,W (+13),1,35:43,4,9,.444,4,9,.444,3,3,1.000,1,2,3,2,3,0,2,1,15,13.6,+13
19,19,2024-11-27,23-151,SAS,,LAL,L (-18),1,30:37,6,12,.500,3,7,.429,3,3,1.000,1,4,5,1,1,1,1,1,18,14.9,-4
20,20,2024-12-01,23-155,SAS,@,SAC,W (+2),1,31:48,5,10,.500,4,9,.444,5,5,1.000,2,6,8,1,2,1,0,0,19,20.6,+8
21,21,2024-12-03,23-157,SAS,@,PHO,L (-11),1,27:43,3,10,.300,1,8,.125,2,2,1.000,1,5,6,1,0,0,2,2,9,3.3,-6
22,22,2024-12-05,23-159,SAS,,CHI,L (-15),1,24:54,5,11,.455,2,5,.400,0,0,,1,2,3,1,0,1,0,2,12,8.2,-20
23,23,2024-12-06,23-160,SAS,,SAC,L (-27),1,34:41,8,16,.500,6,12,.500,8,8,1.000,0,3,3,1,1,0,1,2,30,22.8,-8
24,24,2024-12-08,23-162,SAS,,NOP,W (+5),1,34:50,5,13,.385,2,8,.250,0,0,,1,5,6,0,0,1,1,2,12,6.0,-6
25,25,2024-12-13,23-167,SAS,@,POR,W (+2),1,30:51,7,14,.500,5,10,.500,0,1,.000,0,5,5,1,0,1,1,2,19,12.7,+8
26,26,2024-12-15,23-169,SAS,,MIN,L (-14),1,29:10,4,14,.286,3,12,.250,0,0,,2,4,6,1,2,0,0,2,11,7.3,-6
27,27,2024-12-19,23-173,SAS,,ATL,W (+7),0,25:59,3,8,.375,2,6,.333,0,0,,0,4,4,2,2,0,1,3,8,6.0,+4
28,28,2024-12-21,23-175,SAS,,POR,W (+20),0,23:48,3,7,.429,1,4,.250,0,0,,0,3,3,0,1,0,3,3,7,1.0,+7
29,29,2024-12-23,23-177,SAS,@,PHI,L (-5),0,28:46,5,10,.500,5,10,.500,0,0,,0,8,8,1,0,1,3,3,15,9.6,+8
30,30,2024-12-25,23-179,SAS,@,NYK,L (-3),0,25:53,3,7,.429,3,7,.429,0,0,,0,2,2,1,0,0,0,2,9,5.8,-4
31,31,2024-12-27,23-181,SAS,@,BRK,W (+9),0,20:02,6,9,.667,5,7,.714,1,1,1.000,0,2,2,1,2,0,1,0,18,16.4,+17
32,32,2024-12-29,23-183,SAS,@,MIN,L (-2),0,11:22,0,4,.000,0,2,.000,0,0,,0,1,1,1,1,1,0,1,0,-0.5,+2
33,33,2024-12-31,23-185,SAS,,LAC,W (+36),0,16:01,3,8,.375,2,6,.333,1,1,1.000,1,1,2,1,0,1,1,0,9,6.0,+16
34,34,2025-01-03,23-188,SAS,@,DEN,W (+3),0,25:00,6,11,.545,3,6,.500,0,0,,2,2,4,0,0,0,1,1,15,10.3,-6
35,35,2025-01-04,23-189,SAS,,DEN,L (-11),0,22:43,2,5,.400,2,3,.667,4,5,.800,1,2,3,1,0,0,1,0,10,7.9,-7
36,36,2025-01-06,23-191,SAS,@,CHI,L (-4),0,16:14,4,9,.444,4,9,.444,0,0,,1,3,4,0,0,0,0,1,12,8.5,0
37,37,2025-01-08,23-193,SAS,@,MIL,L (-16),0,26:43,3,11,.273,3,9,.333,0,0,,0,3,3,1,0,0,1,2,9,2.3,-26
38,38,2025-01-13,23-198,SAS,@,LAL,W (+24),0,16:37,1,7,.143,0,6,.000,0,0,,1,0,1,0,0,0,0,1,2,-2.2,-1
39,39,2025-01-15,23-200,SAS,,MEM,L (-14),0,21:51,3,6,.500,3,5,.600,0,0,,0,4,4,2,0,1,1,1,9,7.9,+4
40,40,2025-01-17,23-202,SAS,,MEM,L (-28),0,22:47,1,5,.200,0,3,.000,2,2,1.000,1,1,2,1,1,0,1,1,4,2.2,-18
41,41,2025-01-19,23-204,SAS,@,MIA,L (-21),0,22:04,2,8,.250,1,6,.167,0,0,,2,1,3,2,0,0,1,0,5,2.3,-7
42,42,2025-01-23,23-208,SAS,@,IND,W (+30),0,16:59,2,4,.500,1,2,.500,2,2,1.000,2,4,6,1,0,0,2,2,7,5.5,+9
43,43,2025-01-25,23-210,SAS,,IND,L (-38),0,10:52,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,2,3,0.9,+1
44,44,2025-01-29,23-214,SAS,,LAC,L (-12),0,14:28,2,5,.400,1,3,.333,0,0,,1,1,2,1,2,0,2,1,5,3.6,-7
45,45,2025-01-31,23-216,SAS,,MIL,W (+26),0,17:31,2,5,.400,2,5,.400,0,0,,3,2,5,1,1,0,0,1,6,7.3,+8
46,46,2025-02-01,23-217,SAS,,MIA,L (-2),0,17:25,2,5,.400,2,5,.400,0,0,,0,2,2,2,1,1,0,1,6,6.6,+16
47,47,2025-02-03,23-219,SAS,@,MEM,L (-19),0,20:01,2,6,.333,1,5,.200,0,0,,0,5,5,0,1,0,1,1,5,2.7,-21
48,48,2025-02-05,23-221,SAS,@,ATL,W (+1),0,22:14,2,6,.333,1,3,.333,0,0,,1,2,3,2,5,1,1,2,5,8.2,+8
49,49,2025-02-07,23-223,SAS,@,CHO,L (-1),0,19:13,1,3,.333,0,2,.000,1,1,1.000,0,0,0,2,1,0,1,1,3,2.3,-9
50,50,2025-02-08,23-224,SAS,@,ORL,L (-1),0,12:36,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,1,0,-0.8,+7
51,51,2025-02-10,23-226,SAS,@,WAS,W (+10),0,16:13,2,3,.667,1,2,.500,1,1,1.000,0,0,0,1,0,0,0,1,6,5.0,+7
52,52,2025-02-12,23-228,SAS,@,BOS,L (-13),0,18:55,3,6,.500,1,3,.333,0,0,,1,2,3,1,1,0,0,0,7,7.0,-13
53,53,2025-02-20,23-236,SAS,,PHO,W (+11),0,15:56,5,7,.714,3,5,.600,2,2,1.000,0,2,2,2,0,0,0,2,15,13.3,-6
54,54,2025-02-21,23-237,SAS,,DET,L (-15),0,14:12,0,4,.000,0,3,.000,1,2,.500,1,0,1,1,2,2,1,2,1,0.8,+1
55,55,2025-02-23,23-239,SAS,@,NOP,L (-18),0,19:26,6,13,.462,6,11,.545,0,0,,2,2,4,4,2,0,0,0,18,18.1,0
56,56,2025-02-25,23-241,SAS,@,NOP,L (-6),0,14:35,1,5,.200,0,3,.000,0,0,,1,1,2,1,2,0,0,0,2,2.6,-12
57,57,2025-02-26,23-242,SAS,@,HOU,L (-12),0,21:04,4,8,.500,1,5,.200,2,2,1.000,1,3,4,1,0,3,1,1,11,10.0,+3
58,58,2025-03-01,23-245,SAS,@,MEM,W (+2),0,23:06,5,8,.625,3,5,.600,1,1,1.000,2,5,7,2,1,0,0,0,14,15.7,+28
59,59,2025-03-02,23-246,SAS,,OKC,L (-14),0,10:49,3,4,.750,2,3,.667,0,0,,0,0,0,2,0,0,1,0,8,6.8,+5
60,60,2025-03-04,23-248,SAS,,BRK,W (+14),0,19:28,3,8,.375,2,6,.333,0,0,,1,0,1,2,0,0,1,3,8,3.5,-18
61,61,2025-03-07,23-251,SAS,@,SAC,L (-18),0,11:32,0,2,.000,0,2,.000,1,1,1.000,1,3,4,1,0,0,0,1,1,1.5,-2
62,62,2025-03-09,23-253,SAS,@,MIN,L (-17),0,17:18,1,7,.143,0,4,.000,2,2,1.000,2,3,5,1,0,0,0,1,4,2.1,-1
