Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,25-013,SAS,@,DAL,L (-11),0,24:47,3,9,.333,1,3,.333,0,0,,0,4,4,2,0,0,2,0,7,2.5,-12
2,2,2024-10-26,25-015,SAS,,HOU,W (+3),0,29:26,5,11,.455,1,3,.333,5,6,.833,1,7,8,0,1,0,0,2,16,12.9,+4
3,3,2024-10-28,25-017,SAS,,HOU,L (-5),0,25:54,3,11,.273,0,5,.000,0,1,.000,1,4,5,0,0,0,0,2,6,0.2,-3
4,4,2024-10-30,25-019,SAS,@,OKC,L (-12),0,29:26,4,11,.364,1,5,.200,0,0,,1,6,7,2,2,0,3,1,9,5.4,-5
5,5,2024-10-31,25-020,SAS,@,UTA,W (+18),0,27:43,3,10,.300,1,6,.167,6,7,.857,2,2,4,0,1,0,2,2,13,7.0,+6
6,6,2024-11-02,25-022,SAS,,MIN,W (+10),0,29:18,10,17,.588,3,8,.375,2,2,1.000,2,6,8,0,2,0,0,1,25,21.9,+10
7,7,2024-11-04,25-024,SAS,@,LAC,L (-9),0,28:08,5,8,.625,0,0,,0,0,,1,4,5,1,0,0,0,2,10,8.2,-17
8,8,2024-11-06,25-026,SAS,@,HOU,L (-27),0,19:21,4,6,.667,0,0,,2,2,1.000,2,2,4,1,1,1,0,1,10,11.4,-18
9,9,2024-11-07,25-027,SAS,,POR,W (+13),0,30:32,6,13,.462,2,5,.400,3,4,.750,2,9,11,3,0,0,0,4,17,14.5,+17
10,10,2024-11-09,25-029,SAS,,UTA,L (-1),0,30:17,4,10,.400,1,6,.167,5,6,.833,1,3,4,5,2,2,1,3,14,14.5,-18
11,11,2024-11-11,25-031,SAS,,SAC,W (+20),0,25:24,5,9,.556,1,2,.500,0,0,,0,3,3,1,0,0,2,1,11,5.9,-4
12,12,2024-11-13,25-033,SAS,,WAS,W (+9),0,22:37,3,7,.429,1,2,.500,1,4,.250,3,3,6,3,0,1,0,3,8,7.7,-4
13,13,2024-11-15,25-035,SAS,,LAL,L (-5),0,27:19,5,10,.500,1,4,.250,1,1,1.000,0,4,4,1,1,0,1,3,12,7.7,-15
14,14,2024-11-16,25-036,SAS,@,DAL,L (-17),0,20:33,3,11,.273,0,2,.000,2,2,1.000,1,4,5,2,4,0,0,1,8,8.4,-7
15,15,2024-11-19,25-039,SAS,,OKC,W (+6),0,29:14,7,15,.467,6,12,.500,2,2,1.000,1,4,5,4,0,0,0,2,22,18.2,+4
16,16,2024-11-21,25-041,SAS,,UTA,W (+8),0,28:10,4,9,.444,0,3,.000,4,6,.667,0,8,8,4,0,0,1,2,12,9.9,-2
17,,2024-11-23,25-043,SAS,,GSW,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,17,2024-11-26,25-046,SAS,@,UTA,W (+13),0,19:11,3,9,.333,1,5,.200,3,4,.750,0,5,5,0,0,0,1,2,10,4.2,+9
19,18,2024-11-27,25-047,SAS,,LAL,L (-18),0,22:25,1,5,.200,0,1,.000,2,2,1.000,0,4,4,2,0,0,1,1,4,2.1,-21
20,19,2024-12-01,25-051,SAS,@,SAC,W (+2),0,29:11,6,10,.600,3,4,.750,2,4,.500,0,4,4,1,0,0,0,3,17,12.3,-10
21,20,2024-12-03,25-053,SAS,@,PHO,L (-11),0,24:27,4,10,.400,1,4,.250,1,1,1.000,2,5,7,1,0,0,0,0,10,8.2,-2
22,21,2024-12-05,25-055,SAS,,CHI,L (-15),0,27:34,11,17,.647,1,3,.333,5,8,.625,3,2,5,0,1,0,3,2,28,19.2,-5
23,22,2024-12-06,25-056,SAS,,SAC,L (-27),0,21:45,6,16,.375,1,6,.167,1,1,1.000,2,3,5,0,2,1,0,1,14,9.8,-11
24,23,2024-12-08,25-058,SAS,,NOP,W (+5),0,10:45,2,5,.400,0,2,.000,4,4,1.000,1,1,2,4,1,0,1,2,8,8.3,-7
25,,2024-12-13,25-063,SAS,@,POR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2024-12-15,25-065,SAS,,MIN,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,24,2024-12-19,25-069,SAS,,ATL,W (+7),0,29:27,5,9,.556,1,2,.500,0,0,,2,3,5,4,2,0,2,0,11,11.8,+5
28,25,2024-12-21,25-071,SAS,,POR,W (+20),0,20:34,5,12,.417,1,4,.250,0,0,,0,2,2,1,0,1,0,0,11,6.6,+5
29,26,2024-12-23,25-073,SAS,@,PHI,L (-5),0,21:44,2,6,.333,0,4,.000,0,0,,0,1,1,2,0,0,1,0,4,1.3,+10
30,27,2024-12-25,25-075,SAS,@,NYK,L (-3),0,17:43,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,0,3,2,1.8,+5
31,28,2024-12-27,25-077,SAS,@,BRK,W (+9),0,27:05,5,11,.455,1,2,.500,4,4,1.000,3,3,6,1,2,0,2,1,15,12.6,+2
32,29,2024-12-29,25-079,SAS,@,MIN,L (-2),0,17:29,5,11,.455,0,5,.000,3,6,.500,0,6,6,0,0,0,0,0,13,7.9,-17
33,30,2024-12-31,25-081,SAS,,LAC,W (+36),0,19:00,7,11,.636,1,4,.250,2,2,1.000,1,5,6,1,0,0,1,0,17,14.0,+15
34,31,2025-01-03,25-084,SAS,@,DEN,W (+3),0,26:27,6,14,.429,3,6,.500,1,1,1.000,2,2,4,1,0,0,1,0,16,10.3,+5
35,32,2025-01-04,25-085,SAS,,DEN,L (-11),0,27:13,3,8,.375,1,5,.200,3,4,.750,4,4,8,1,0,1,1,2,10,8.8,-14
36,33,2025-01-06,25-087,SAS,@,CHI,L (-4),0,21:47,5,10,.500,1,4,.250,0,2,.000,1,2,3,1,1,0,1,2,11,6.4,-1
37,34,2025-01-08,25-089,SAS,@,MIL,L (-16),0,25:20,7,15,.467,2,5,.400,8,9,.889,5,6,11,1,0,0,0,0,24,21.9,-17
38,35,2025-01-13,25-094,SAS,@,LAL,W (+24),0,21:15,4,6,.667,1,2,.500,1,1,1.000,1,1,2,3,1,2,2,2,10,10.1,+11
39,36,2025-01-15,25-096,SAS,,MEM,L (-14),0,26:08,6,12,.500,1,4,.250,4,4,1.000,0,4,4,1,0,0,1,0,17,11.9,-10
40,37,2025-01-17,25-098,SAS,,MEM,L (-28),0,23:06,3,6,.500,2,3,.667,0,0,,1,1,2,0,1,0,2,2,8,4.2,-18
41,38,2025-01-19,25-100,SAS,@,MIA,L (-21),0,17:58,4,9,.444,0,2,.000,0,0,,1,2,3,0,0,1,0,0,8,5.3,-15
42,39,2025-01-23,25-104,SAS,@,IND,W (+30),0,20:25,4,8,.500,1,3,.333,0,0,,1,2,3,1,0,1,1,2,9,5.9,+15
43,40,2025-01-25,25-106,SAS,,IND,L (-38),0,10:35,2,4,.500,0,0,,0,0,,3,1,4,0,0,0,1,2,4,2.6,-18
44,41,2025-01-29,25-110,SAS,,LAC,L (-12),0,25:00,4,9,.444,1,3,.333,0,1,.000,1,1,2,1,1,0,1,3,9,4.4,-6
45,42,2025-01-31,25-112,SAS,,MIL,W (+26),0,25:20,10,15,.667,4,5,.800,0,0,,0,4,4,2,0,0,0,2,24,19.3,+11
46,43,2025-02-01,25-113,SAS,,MIA,L (-2),0,25:57,5,14,.357,2,5,.400,7,10,.700,3,2,5,1,0,0,1,2,19,11.6,-3
47,44,2025-02-03,25-115,SAS,@,MEM,L (-19),0,24:09,1,8,.125,1,5,.200,4,4,1.000,2,0,2,3,0,0,1,1,7,3.9,-18
48,45,2025-02-05,25-117,SAS,@,ATL,W (+1),0,15:29,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,1,1,3,0.8,-4
49,46,2025-02-07,25-119,SAS,@,CHO,L (-1),0,16:17,0,3,.000,0,3,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-0.1,-5
50,47,2025-02-08,25-120,SAS,@,ORL,L (-1),0,17:42,4,6,.667,1,1,1.000,1,1,1.000,1,3,4,0,1,0,1,2,10,8.2,+7
