Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,25-154,SAS,@,DAL,L (-11),0,5:59,0,0,,0,0,,0,0,,0,3,3,0,0,1,1,1,0,0.2,+10
2,,2024-10-26,25-156,SAS,,HOU,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2024-10-28,25-158,SAS,,HOU,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2,2024-10-30,25-160,SAS,@,OKC,L (-12),0,7:50,1,3,.333,1,2,.500,0,0,,1,4,5,1,0,0,2,2,3,1.1,+6
5,3,2024-10-31,25-161,SAS,@,UTA,W (+18),0,10:39,4,5,.800,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,0,10,8.4,+3
6,4,2024-11-02,25-163,SAS,,MIN,W (+10),0,1:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
7,5,2024-11-04,25-165,SAS,@,LAC,L (-9),0,4:35,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,3.0,-6
8,6,2024-11-06,25-167,SAS,@,HOU,L (-27),0,15:07,4,5,.800,2,3,.667,0,0,,3,4,7,1,0,2,2,0,10,11.5,-12
9,7,2024-11-07,25-168,SAS,,POR,W (+13),0,7:52,1,1,1.000,1,1,1.000,0,0,,1,2,3,0,0,1,2,1,3,2.3,0
10,8,2024-11-09,25-170,SAS,,UTA,L (-1),0,7:03,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,0,1,0,-0.5,+1
11,9,2024-11-11,25-172,SAS,,SAC,W (+20),0,15:42,3,5,.600,3,5,.600,0,0,,0,2,2,0,0,0,1,1,9,5.9,+7
12,,2024-11-13,25-174,SAS,,WAS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10,2024-11-15,25-176,SAS,,LAL,L (-5),0,6:25,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,-6
14,11,2024-11-16,25-177,SAS,@,DAL,L (-17),0,17:08,3,7,.429,2,6,.333,6,6,1.000,0,6,6,2,0,1,0,0,14,14.2,+5
15,12,2024-11-19,25-180,SAS,,OKC,W (+6),0,4:58,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-2
16,,2024-11-21,25-182,SAS,,UTA,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,13,2024-11-23,25-184,SAS,,GSW,W (+10),0,16:31,2,6,.333,1,5,.200,0,0,,1,7,8,1,1,0,0,1,5,5.7,+14
18,14,2024-11-26,25-187,SAS,@,UTA,W (+13),0,12:08,4,4,1.000,1,1,1.000,0,0,,1,1,2,0,1,0,0,0,9,9.8,+10
19,15,2024-11-27,25-188,SAS,,LAL,L (-18),0,3:33,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,+1
20,,2024-12-01,25-192,SAS,@,SAC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,,2024-12-03,25-194,SAS,@,PHO,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,16,2024-12-05,25-196,SAS,,CHI,L (-15),0,6:20,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,1,4,2.9,-5
23,17,2024-12-06,25-197,SAS,,SAC,L (-27),0,17:14,2,4,.500,1,3,.333,3,6,.500,2,4,6,1,0,0,0,1,8,7.7,-10
24,,2024-12-08,25-199,SAS,,NOP,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,18,2024-12-13,25-204,SAS,@,POR,W (+2),0,12:45,0,1,.000,0,0,,0,0,,2,3,5,0,0,0,0,0,0,1.6,-15
26,19,2024-12-15,25-206,SAS,,MIN,L (-14),0,8:23,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,1,3,1.9,+3
27,,2024-12-19,25-210,SAS,,ATL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
