Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,19-358,SAS,@,DAL,L (-11),0,18:27,3,7,.429,0,2,.000,2,3,.667,2,1,3,5,0,0,2,3,8,5.9,-3
2,2,2024-10-26,19-360,SAS,,HOU,W (+3),0,26:31,2,8,.250,0,2,.000,4,6,.667,0,1,1,3,2,1,3,3,8,3.3,+5
3,3,2024-10-28,19-362,SAS,,HOU,L (-5),0,17:51,2,5,.400,0,1,.000,0,0,,0,1,1,5,1,0,3,2,4,2.3,+1
4,4,2024-10-30,19-364,SAS,@,OKC,L (-12),0,20:10,0,5,.000,0,3,.000,0,0,,0,2,2,1,0,1,0,0,0,-1.5,-4
5,5,2024-10-31,19-365,SAS,@,UTA,W (+18),0,20:55,3,8,.375,1,2,.500,1,2,.500,2,2,4,1,1,0,0,4,8,5.3,+3
6,6,2024-11-02,20-001,SAS,,MIN,W (+10),0,15:27,1,5,.200,1,3,.333,0,2,.000,0,3,3,0,0,0,0,1,3,-0.4,+3
7,7,2024-11-04,20-003,SAS,@,LAC,L (-9),0,19:55,4,10,.400,0,3,.000,3,4,.750,1,3,4,1,0,1,1,0,11,7.2,-13
8,8,2024-11-06,20-005,SAS,@,HOU,L (-27),1,25:23,2,8,.250,1,5,.200,0,0,,0,2,2,0,3,0,0,1,5,3.4,-17
9,9,2024-11-07,20-006,SAS,,POR,W (+13),1,25:23,6,11,.545,0,3,.000,2,2,1.000,1,2,3,6,0,0,0,1,14,13.8,+12
10,10,2024-11-09,20-008,SAS,,UTA,L (-1),1,34:36,8,16,.500,3,7,.429,4,5,.800,0,2,2,3,2,0,1,4,23,16.7,-3
11,11,2024-11-11,20-010,SAS,,SAC,W (+20),1,30:58,4,11,.364,2,5,.400,0,0,,1,3,4,6,1,1,3,1,10,8.0,+15
12,12,2024-11-13,20-012,SAS,,WAS,W (+9),1,27:12,3,6,.500,1,3,.333,3,4,.750,0,1,1,5,0,1,2,2,10,8.3,+11
13,13,2024-11-15,20-014,SAS,,LAL,L (-5),1,33:08,7,12,.583,3,4,.750,5,8,.625,1,1,2,5,0,0,1,0,22,18.7,+17
14,14,2024-11-16,20-015,SAS,@,DAL,L (-17),1,27:58,4,11,.364,2,4,.500,2,2,1.000,3,1,4,3,2,0,2,1,12,10.0,-19
