Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:54,1,4,.250,0,2,.000,0,0,,0,1,1,2,1,0,2,0,2,0.3,-6,youngtr01
De'Andre Hunter,9:39,2,4,.500,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,4.0,-8,huntede01
Dyson Daniels,8:05,2,3,.667,1,1,1.000,0,0,,1,1,2,2,0,0,0,0,5,6.1,-5,daniedy01
Onyeka Okongwu,6:33,1,1,1.000,1,1,1.000,0,0,,0,1,1,3,0,0,0,1,3,4.7,-4,okongon01
Zaccharie Risacher,7:08,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,0,0,2,-0.8,-4,risacza01
Vit Krejci,4:52,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,2,1,2,-0.4,-6,krejcvi01
Larry Nance Jr.,5:27,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-6,nancela02
Keaton Wallace,3:06,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,5,3.0,-4,wallake01
Dominick Barlow,2:21,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2,barlodo01
Garrison Mathews,3:55,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-5,mathega01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,60,10,22,.455,5,12,.417,0,0,,1,7,8,9,1,0,5,4,25,,,-9999
